"CoC Number","CoC Name","Total Homeless, 2017","Sheltered Homeless, 2017","Unsheltered Homeless, 2017","Homeless Individuals, 2017","Sheltered Homeless Individuals, 2017","Unsheltered Homeless Individuals, 2017","Homeless People in Families, 2017","Sheltered Homeless People in Families, 2017","Unsheltered Homeless People in Families, 2017","Chronically Homeless, 2017","Sheltered Chronically Homeless, 2017","Unsheltered Chronically Homeless, 2017","Chronically Homeless Individuals, 2017","Sheltered Chronically Homeless Individuals, 2017","Unsheltered Chronically Homeless Individuals, 2017","Chronically Homeless People in Families, 2017","Sheltered Chronically Homeless People in Families, 2017","Unsheltered Chronically Homeless People in Families, 2017","Homeless Veterans, 2017","Sheltered Homeless Veterans, 2017","Unsheltered Homeless Veterans, 2017","Homeless Unaccompanied Youth (Under 25), 2017","Sheltered Homeless Unaccompanied Youth (Under 25), 2017","Unsheltered Homeless Unaccompanied Youth (Under 25), 2017","Homeless Unaccompanied Children (Under 18), 2017","Sheltered Homeless Unaccompanied Children (Under 18), 2017","Unsheltered Homeless Unaccompanied Children (Under 18), 2017","Homeless Unaccompanied Young Adults (Age 18-24), 2017","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Parenting Youth (Under 25), 2017","Sheltered Parenting Youth (Under 25), 2017","Unsheltered Parenting Youth (Under 25), 2017","Parenting Youth Under 18, 2017","Sheltered Parenting Youth Under 18, 2017","Unsheltered Parenting Youth Under 18, 2017","Parenting Youth Age 18-24, 2017","Sheltered Parenting Youth Age 18-24, 2017","Unsheltered Parenting Youth Age 18-24, 2017","Children of Parenting Youth, 2017","Sheltered Children of Parenting Youth, 2017","Unsheltered Children of Parenting Youth, 2017"
"OR-502","Medford/Ashland/Jackson County CoC","633.0","369.0","264.0","525.0","290.0","235.0","108.0","79.0","29.0","170.0","59.0","111.0","163.0","57.0","106.0","7.0","2.0","5.0","95.0","65.0","30.0","62.0","41.0","21.0","17.0","15.0","2.0","45.0","26.0","19.0","15.0","14.0","1.0","0.0","0.0","0.0","15.0","14.0","1.0","14.0","13.0","1.0"
"OR-503","Central Oregon CoC","778.0","230.0","548.0","494.0","184.0","310.0","284.0","46.0","238.0","246.0","30.0","216.0","187.0","25.0","162.0","59.0","5.0","54.0","83.0","26.0","57.0","68.0","30.0","38.0","7.0","4.0","3.0","61.0","26.0","35.0","8.0","3.0","5.0","0.0","0.0","0.0","8.0","3.0","5.0","9.0","3.0","6.0"
"OR-505","Oregon Balance of State CoC","5795.0","2026.0","3769.0","3902.0","1347.0","2555.0","1893.0","679.0","1214.0","737.0","224.0","513.0","668.0","200.0","468.0","69.0","24.0","45.0","379.0","139.0","240.0","847.0","199.0","648.0","460.0","58.0","402.0","387.0","141.0","246.0","44.0","23.0","21.0","2.0","2.0","0.0","42.0","21.0","21.0","61.0","31.0","30.0"
"OR-506","Hillsboro/Beaverton/Washington County CoC","544.0","175.0","369.0","348.0","86.0","262.0","196.0","89.0","107.0","150.0","10.0","140.0","143.0","7.0","136.0","7.0","3.0","4.0","58.0","40.0","18.0","45.0","15.0","30.0","8.0","7.0","1.0","37.0","8.0","29.0","8.0","8.0","0.0","0.0","0.0","0.0","8.0","8.0","0.0","6.0","6.0","0.0"
"OR-507","Clackamas County CoC","497.0","151.0","346.0","385.0","84.0","301.0","112.0","67.0","45.0","154.0","29.0","125.0","151.0","29.0","122.0","3.0","0.0","3.0","27.0","7.0","20.0","20.0","12.0","8.0","0.0","0.0","0.0","20.0","12.0","8.0","11.0","11.0","0.0","0.0","0.0","0.0","11.0","11.0","0.0","11.0","11.0","0.0"
"PA-500","Philadelphia CoC","5693.0","4737.0","956.0","3341.0","2389.0","952.0","2352.0","2348.0","4.0","898.0","424.0","474.0","877.0","403.0","474.0","21.0","21.0","0.0","244.0","204.0","40.0","297.0","211.0","86.0","26.0","22.0","4.0","271.0","189.0","82.0","242.0","240.0","2.0","0.0","0.0","0.0","242.0","240.0","2.0","357.0","355.0","2.0"
"PA-501","Harrisburg/Dauphin County CoC","460.0","390.0","70.0","309.0","239.0","70.0","151.0","151.0","0.0","45.0","32.0","13.0","40.0","27.0","13.0","5.0","5.0","0.0","39.0","29.0","10.0","9.0","6.0","3.0","0.0","0.0","0.0","9.0","6.0","3.0","13.0","13.0","0.0","0.0","0.0","0.0","13.0","13.0","0.0","21.0","21.0","0.0"
"PA-502","Upper Darby/Chester/Haverford/Delaware County CoC","453.0","413.0","40.0","251.0","211.0","40.0","202.0","202.0","0.0","26.0","16.0","10.0","26.0","16.0","10.0","0.0","0.0","0.0","11.0","10.0","1.0","19.0","18.0","1.0","0.0","0.0","0.0","19.0","18.0","1.0","15.0","15.0","0.0","0.0","0.0","0.0","15.0","15.0","0.0","15.0","15.0","0.0"
"PA-503","Wilkes-Barre/Hazleton/Luzerne County CoC","174.0","171.0","3.0","82.0","79.0","3.0","92.0","92.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0","14.0","1.0","15.0","15.0","0.0","0.0","0.0","0.0","15.0","15.0","0.0","4.0","4.0","0.0","0.0","0.0","0.0","4.0","4.0","0.0","9.0","9.0","0.0"
"PA-504","Lower Marion/Norristown/Abington/Montgomery County CoC","310.0","291.0","19.0","131.0","112.0","19.0","179.0","179.0","0.0","40.0","35.0","5.0","37.0","32.0","5.0","3.0","3.0","0.0","13.0","9.0","4.0","9.0","9.0","0.0","0.0","0.0","0.0","9.0","9.0","0.0","16.0","16.0","0.0","0.0","0.0","0.0","16.0","16.0","0.0","22.0","22.0","0.0"
"PA-505","Chester County CoC","578.0","554.0","24.0","387.0","365.0","22.0","191.0","189.0","2.0","12.0","12.0","0.0","12.0","12.0","0.0","0.0","0.0","0.0","224.0","223.0","1.0","10.0","10.0","0.0","0.0","0.0","0.0","10.0","10.0","0.0","5.0","4.0","1.0","0.0","0.0","0.0","5.0","4.0","1.0","6.0","5.0","1.0"
"PA-506","Reading/Berks County CoC","534.0","521.0","13.0","366.0","353.0","13.0","168.0","168.0","0.0","2.0","0.0","2.0","2.0","0.0","2.0","0.0","0.0","0.0","38.0","38.0","0.0","29.0","28.0","1.0","0.0","0.0","0.0","29.0","28.0","1.0","12.0","12.0","0.0","0.0","0.0","0.0","12.0","12.0","0.0","18.0","18.0","0.0"
"PA-508","Scranton/Lackawanna County CoC","197.0","183.0","14.0","98.0","84.0","14.0","99.0","99.0","0.0","13.0","7.0","6.0","13.0","7.0","6.0","0.0","0.0","0.0","26.0","26.0","0.0","9.0","7.0","2.0","0.0","0.0","0.0","9.0","7.0","2.0","9.0","9.0","0.0","0.0","0.0","0.0","9.0","9.0","0.0","12.0","12.0","0.0"
"PA-509","Eastern Pennsylvania CoC","2170.0","1765.0","405.0","1209.0","829.0","380.0","961.0","936.0","25.0","156.0","104.0","52.0","148.0","96.0","52.0","8.0","8.0","0.0","82.0","66.0","16.0","142.0","118.0","24.0","18.0","17.0","1.0","124.0","101.0","23.0","64.0","64.0","0.0","0.0","0.0","0.0","64.0","64.0","0.0","92.0","92.0","0.0"
"PA-510","Lancaster City & County CoC","321.0","295.0","26.0","180.0","154.0","26.0","141.0","141.0","0.0","6.0","4.0","2.0","6.0","4.0","2.0","0.0","0.0","0.0","23.0","23.0","0.0","17.0","15.0","2.0","0.0","0.0","0.0","17.0","15.0","2.0","10.0","10.0","0.0","0.0","0.0","0.0","10.0","10.0","0.0","14.0","14.0","0.0"
