"CoC Number","CoC Name","Total Homeless, 2007","Sheltered Homeless, 2007","Unsheltered Homeless, 2007","Homeless Individuals, 2007","Sheltered Homeless Individuals, 2007","Unsheltered Homeless Individuals, 2007","Homeless People in Families, 2007","Sheltered Homeless People in Families, 2007","Unsheltered Homeless People in Families, 2007","Chronically Homeless Individuals, 2007","Sheltered Chronically Homeless Individuals, 2007","Unsheltered Chronically Homeless Individuals, 2007"
"TN-503","Central Tennessee CoC","360.0","281.0","79.0","251.0","200.0","51.0","109.0","81.0","28.0","33.0","22.0","11.0"
"TN-504","Nashville/Davidson County CoC","2156.0","1766.0","390.0","1996.0","1614.0","382.0","160.0","152.0","8.0","824.0","442.0","382.0"
"TN-506","Oak Ridge/Upper Cumberland CoC","704.0","196.0","508.0","333.0","116.0","217.0","371.0","80.0","291.0","217.0","79.0","138.0"
"TN-507","Jackson/West Tennessee CoC","2255.0","254.0","2001.0","1695.0","209.0","1486.0","560.0","45.0","515.0","310.0","20.0","290.0"
"TN-509","Appalachian Regional CoC","559.0","345.0","214.0","478.0","272.0","206.0","81.0","73.0","8.0","88.0","46.0","42.0"
"TN-510","Murfreesboro/Rutherford County CoC","438.0","290.0","148.0","375.0","244.0","131.0","63.0","46.0","17.0","112.0","38.0","74.0"
"TN-512","Morristown/Blount, Sevier, Campbell, Cocke Counties CoC","904.0","433.0","471.0","382.0","46.0","336.0","522.0","387.0","135.0","255.0","28.0","227.0"
"TX-500","San Antonio/Bexar County CoC","2247.0","1798.0","449.0","1375.0","945.0","430.0","872.0","853.0","19.0","218.0","96.0","122.0"
"TX-503","Austin/Travis County CoC","5281.0","1395.0","3886.0","3116.0","773.0","2343.0","2165.0","622.0","1543.0","443.0","92.0","351.0"
"TX-600","Dallas City & County/Irving CoC","3408.0","3041.0","367.0","2046.0","1683.0","363.0","1362.0","1358.0","4.0","574.0","472.0","102.0"
"TX-601","Fort Worth/Arlington/Tarrant County CoC","2876.0","2675.0","201.0","1550.0","1349.0","201.0","1326.0","1326.0","0.0","479.0","392.0","87.0"
"TX-603","El Paso City & County CoC","1241.0","968.0","273.0","804.0","531.0","273.0","437.0","437.0","0.0","208.0","72.0","136.0"
"TX-604","Waco/McLennan County CoC","431.0","259.0","172.0","321.0","176.0","145.0","110.0","83.0","27.0","70.0","32.0","38.0"
"TX-607","Texas Balance of State (BoS) CoC","12958.0","6998.0","5960.0","8406.0","4385.0","4021.0","4552.0","2613.0","1939.0","1990.0","978.0","1012.0"
"TX-611","Amarillo CoC","431.0","298.0","133.0","258.0","136.0","122.0","173.0","162.0","11.0","75.0","53.0","22.0"
"TX-624","Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC","263.0","214.0","49.0","223.0","174.0","49.0","40.0","40.0","0.0","207.0","158.0","49.0"
"TX-700","Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC","10363.0","5017.0","5346.0","8054.0","2860.0","5194.0","2309.0","2157.0","152.0","3627.0","906.0","2721.0"
"TX-701","Bryan/College Station/Brazos Valley CoC","289.0","219.0","70.0","153.0","107.0","46.0","136.0","112.0","24.0","40.0","39.0","1.0"
"UT-500","Salt Lake City & County CoC","2079.0","1881.0","198.0","1390.0","1192.0","198.0","689.0","689.0","0.0","545.0","347.0","198.0"
"UT-503","Utah Balance of State CoC","716.0","630.0","86.0","470.0","384.0","86.0","246.0","246.0","0.0","217.0","131.0","86.0"
"UT-504","Provo/Mountainland CoC","216.0","187.0","29.0","85.0","56.0","29.0","131.0","131.0","0.0","39.0","10.0","29.0"
"VA-500","Richmond/Henrico, Chesterfield, Hanover Counties CoC","1158.0","1014.0","144.0","917.0","775.0","142.0","241.0","239.0","2.0","185.0","43.0","142.0"
"VA-501","Norfolk/Chesapeake/Suffolk/Isle of Wright, Southampton Counties CoC","699.0","543.0","156.0","513.0","373.0","140.0","186.0","170.0","16.0","112.0","74.0","38.0"
"VA-502","Roanoke City & County/Salem CoC","566.0","528.0","38.0","485.0","447.0","38.0","81.0","81.0","0.0","168.0","130.0","38.0"
"VA-503","Virginia Beach CoC","476.0","430.0","46.0","178.0","145.0","33.0","298.0","285.0","13.0","60.0","41.0","19.0"
"VA-504","Charlottesville CoC","265.0","237.0","28.0","196.0","168.0","28.0","69.0","69.0","0.0","31.0","29.0","2.0"
"VA-505","Newport News/Hampton/Virginia Peninsula CoC","908.0","569.0","339.0","562.0","359.0","203.0","346.0","210.0","136.0","247.0","107.0","140.0"
"VA-507","Portsmouth CoC","217.0","165.0","52.0","137.0","85.0","52.0","80.0","80.0","0.0","42.0","10.0","32.0"
"VA-508","Lynchburg CoC","289.0","98.0","191.0","224.0","61.0","163.0","65.0","37.0","28.0","59.0","21.0","38.0"
"VA-513","Harrisburg, Winchester/Western Virginia CoC","382.0","326.0","56.0","195.0","152.0","43.0","187.0","174.0","13.0","36.0","21.0","15.0"
"VA-514","Fredericksburg/Spotsylvania, Stafford Counties CoC","561.0","515.0","46.0","88.0","44.0","44.0","473.0","471.0","2.0","65.0","29.0","36.0"
"VA-521","Virginia Balance of State (BoS) CoC","970.0","707.0","263.0","505.0","341.0","164.0","465.0","366.0","99.0","96.0","69.0","27.0"
"VA-600","Arlington County CoC","462.0","243.0","219.0","325.0","106.0","219.0","137.0","137.0","0.0","273.0","54.0","219.0"
"VA-601","Fairfax County CoC","1593.0","1439.0","154.0","647.0","493.0","154.0","946.0","946.0","0.0","335.0","207.0","128.0"
"VA-602","Loudoun County CoC","211.0","114.0","97.0","81.0","13.0","68.0","130.0","101.0","29.0","52.0","3.0","49.0"
"VA-603","City of Alexandria CoC","375.0","283.0","92.0","230.0","138.0","92.0","145.0","145.0","0.0","114.0","51.0","63.0"
"VA-604","Prince William County CoC","614.0","356.0","258.0","240.0","92.0","148.0","374.0","264.0","110.0","88.0","34.0","54.0"
"VI-500","Virgin Islands CoC","559.0","72.0","487.0","537.0","50.0","487.0","22.0","22.0","0.0","487.0","0.0","487.0"
"VT-500","Vermont Balance of State CoC","796.0","516.0","280.0","485.0","294.0","191.0","311.0","222.0","89.0","162.0","45.0","117.0"
"VT-501","Burlington/Chittenden County CoC","239.0","204.0","35.0","114.0","86.0","28.0","125.0","118.0","7.0","29.0","15.0","14.0"
"WA-500","Seattle/King County CoC","7902.0","5680.0","2222.0","5107.0","2951.0","2156.0","2795.0","2729.0","66.0","932.0","693.0","239.0"
"WA-501","Washington Balance of State CoC","6995.0","4968.0","2027.0","3430.0","2065.0","1365.0","3565.0","2903.0","662.0","787.0","309.0","478.0"
"WA-502","Spokane City & County CoC","1357.0","1012.0","345.0","762.0","546.0","216.0","595.0","466.0","129.0","257.0","179.0","78.0"
"WA-503","Tacoma/Lakewood/Pierce County CoC","1596.0","1342.0","254.0","660.0","435.0","225.0","936.0","907.0","29.0","192.0","0.0","192.0"
"WA-504","Everett/Snohomish County CoC","3453.0","2150.0","1303.0","2196.0","1214.0","982.0","1257.0","936.0","321.0","207.0","68.0","139.0"
"WA-507","Yakima City & County CoC","684.0","541.0","143.0","385.0","286.0","99.0","299.0","255.0","44.0","89.0","18.0","71.0"
"WA-508","Vancouver/Clark County CoC","1392.0","1164.0","228.0","749.0","616.0","133.0","643.0","548.0","95.0","139.0","66.0","73.0"
"WI-500","Wisconsin Balance of State CoC","3105.0","2817.0","288.0","1044.0","866.0","178.0","2061.0","1951.0","110.0","299.0","178.0","121.0"
"WI-501","Milwaukee City & County CoC","1470.0","1295.0","175.0","769.0","683.0","86.0","701.0","612.0","89.0","234.0","190.0","44.0"
"WI-502","Racine City & County CoC","256.0","250.0","6.0","138.0","138.0","0.0","118.0","112.0","6.0","29.0","29.0","0.0"
"WI-503","Madison/Dane County CoC","817.0","723.0","94.0","452.0","384.0","68.0","365.0","339.0","26.0","127.0","71.0","56.0"
"WV-500","Wheeling/Weirton Area CoC","118.0","96.0","22.0","104.0","85.0","19.0","14.0","11.0","3.0","9.0","0.0","9.0"
"WV-501","Huntington/Cabell, Wayne Counties CoC","331.0","273.0","58.0","235.0","177.0","58.0","96.0","96.0","0.0","68.0","48.0","20.0"
"WV-503","Charleston/Kanawha, Putnam, Boone, Clay Counties CoC","325.0","263.0","62.0","262.0","200.0","62.0","63.0","63.0","0.0","133.0","121.0","12.0"
"WV-508","West Virginia Balance of State CoC","1635.0","1515.0","120.0","1314.0","1262.0","52.0","321.0","253.0","68.0","941.0","889.0","52.0"
"WY-500","Wyoming Statewide CoC","537.0","397.0","140.0","331.0","257.0","74.0","206.0","140.0","66.0","38.0","0.0","38.0"
"","Total","647258.0","391401.0","255857.0","412700.0","213073.0","199627.0","234558.0","178328.0","56230.0","119813.0","41768.0","78045.0"
"","","","","","","","","","","","","",""
"a MO-604 covers territory in both Missouri and Kansas. The record described in this file represents the CoC's total territory, the sum of the point-in-time estimates the CoC separately reported for the portions of its territory in MO and in KS. However, in the companion file, Point-in-Time Estimates by State, MO-604's data have been split up between MO and KS.","","","","","","","","","","","","",""
