"CoC Number","CoC Name","Total Homeless, 2009","Sheltered Homeless, 2009","Unsheltered Homeless, 2009","Homeless Individuals, 2009","Sheltered Homeless Individuals, 2009","Unsheltered Homeless Individuals, 2009","Homeless People in Families, 2009","Sheltered Homeless People in Families, 2009","Unsheltered Homeless People in Families, 2009","Chronically Homeless Individuals, 2009","Sheltered Chronically Homeless Individuals, 2009","Unsheltered Chronically Homeless Individuals, 2009"
"AK-500","Anchorage CoC","1267.0","1110.0","157.0","821.0","689.0","132.0","446.0","421.0","25.0","198.0","152.0","46.0"
"AK-501","Alaska Balance of State CoC","725.0","555.0","170.0","418.0","300.0","118.0","307.0","255.0","52.0","125.0","93.0","32.0"
"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","2273.0","1069.0","1204.0","1645.0","756.0","889.0","628.0","313.0","315.0","611.0","285.0","326.0"
"AL-501","Mobile City & County/Baldwin County CoC","747.0","411.0","336.0","572.0","252.0","320.0","175.0","159.0","16.0","73.0","34.0","39.0"
"AL-502","Florence/Northwest Alabama CoC","281.0","213.0","68.0","222.0","179.0","43.0","59.0","34.0","25.0","9.0","6.0","3.0"
"AL-503","Huntsville/North Alabama CoC","664.0","574.0","90.0","578.0","488.0","90.0","86.0","86.0","0.0","287.0","208.0","79.0"
"AL-504","Montgomery City & County CoC","377.0","263.0","114.0","305.0","209.0","96.0","72.0","54.0","18.0","93.0","46.0","47.0"
"AL-505","Gadsden/Northeast Alabama CoC","433.0","307.0","126.0","333.0","236.0","97.0","100.0","71.0","29.0","33.0","23.0","10.0"
"AL-506","Tuscaloosa City & County CoC","270.0","261.0","9.0","202.0","193.0","9.0","68.0","68.0","0.0","20.0","17.0","3.0"
"AL-507","Alabama Balance of State CoC","1035.0","815.0","220.0","829.0","718.0","111.0","206.0","97.0","109.0","63.0","33.0","30.0"
"AR-500","Little Rock/Central Arkansas CoC","1425.0","973.0","452.0","1179.0","735.0","444.0","246.0","238.0","8.0","70.0","54.0","16.0"
"AR-501","Fayetteville/Northwest Arkansas CoC","221.0","191.0","30.0","102.0","73.0","29.0","119.0","118.0","1.0","54.0","38.0","16.0"
"AR-502","Conway/Arkansas River Valley","146.0","34.0","112.0","98.0","26.0","72.0","48.0","8.0","40.0","16.0","3.0","13.0"
"AR-504","Delta Hills CoC","969.0","459.0","510.0","731.0","410.0","321.0","238.0","49.0","189.0","252.0","39.0","213.0"
"AR-505","Southeast Arkansas","51.0","51.0","0.0","31.0","31.0","0.0","20.0","20.0","0.0","12.0","12.0","0.0"
"AR-506","Johnson, Pope, Yell Counties","40.0","22.0","18.0","40.0","22.0","18.0","0.0","0.0","0.0","2.0","0.0","2.0"
"AZ-500","Arizona Balance of State CoC","3236.0","1172.0","2064.0","2217.0","589.0","1628.0","1019.0","583.0","436.0","409.0","98.0","311.0"
"AZ-501","Tucson/Pima County CoC","3596.0","2223.0","1373.0","2608.0","1256.0","1352.0","988.0","967.0","21.0","927.0","171.0","756.0"
"AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","7889.0","4971.0","2918.0","5134.0","2446.0","2688.0","2755.0","2525.0","230.0","893.0","269.0","624.0"
"CA-500","San Jose/Santa Clara City & County CoC","7086.0","2103.0","4983.0","6078.0","1161.0","4917.0","1008.0","942.0","66.0","2270.0","195.0","2075.0"
"CA-501","San Francisco CoC","5823.0","2881.0","2942.0","5309.0","2392.0","2917.0","514.0","489.0","25.0","2816.0","1008.0","1808.0"
"CA-502","Oakland/Alameda County CoC","4341.0","2378.0","1963.0","2771.0","1230.0","1541.0","1570.0","1148.0","422.0","1026.0","266.0","760.0"
"CA-503","Sacramento City & County CoC","2800.0","1606.0","1194.0","2257.0","1079.0","1178.0","543.0","527.0","16.0","468.0","191.0","277.0"
"CA-504","Santa Rosa/Petaluma/Sonoma County CoC","3247.0","1025.0","2222.0","2759.0","543.0","2216.0","488.0","482.0","6.0","979.0","57.0","922.0"
"CA-505","Richmond/Contra Costa County CoC","2759.0","887.0","1872.0","2365.0","503.0","1862.0","394.0","384.0","10.0","940.0","89.0","851.0"
"CA-506","Salinas/Monterey, San Benito Counties CoC","2407.0","779.0","1628.0","1909.0","403.0","1506.0","498.0","376.0","122.0","656.0","159.0","497.0"
"CA-507","Marin County CoC","1026.0","597.0","429.0","767.0","367.0","400.0","259.0","230.0","29.0","135.0","92.0","43.0"
"CA-508","Watsonville/Santa Cruz City & County CoC","2265.0","729.0","1536.0","1815.0","323.0","1492.0","450.0","406.0","44.0","842.0","51.0","791.0"
"CA-509","Mendocino County CoC","1202.0","235.0","967.0","1071.0","126.0","945.0","131.0","109.0","22.0","474.0","34.0","440.0"
"CA-510","Turlock/Modesto/Stanislaus County CoC","1800.0","801.0","999.0","1118.0","484.0","634.0","682.0","317.0","365.0","442.0","68.0","374.0"
"CA-511","Stockton/San Joaquin County CoC","3005.0","2840.0","165.0","2122.0","1957.0","165.0","883.0","883.0","0.0","377.0","278.0","99.0"
"CA-512","Daly/San Mateo County CoC","1567.0","764.0","803.0","1151.0","423.0","728.0","416.0","341.0","75.0","472.0","46.0","426.0"
"CA-513","Visalia, Kings, Tulare Counties CoC","966.0","210.0","756.0","572.0","117.0","455.0","394.0","93.0","301.0","128.0","19.0","109.0"
"CA-514","Fresno/Madera County CoC","4345.0","1888.0","2457.0","3347.0","1082.0","2265.0","998.0","806.0","192.0","901.0","267.0","634.0"
"CA-515","Roseville/Rocklin/Placer, Nevada Counties CoC","1054.0","572.0","482.0","700.0","307.0","393.0","354.0","265.0","89.0","231.0","62.0","169.0"
"CA-516","Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","340.0","194.0","146.0","205.0","90.0","115.0","135.0","104.0","31.0","55.0","11.0","44.0"
"CA-517","Napa City & County CoC","314.0","186.0","128.0","261.0","133.0","128.0","53.0","53.0","0.0","132.0","61.0","71.0"
"CA-518","Vallejo/Solano County CoC","829.0","403.0","426.0","468.0","197.0","271.0","361.0","206.0","155.0","105.0","48.0","57.0"
"CA-519","Chico/Paradise/Butte County CoC","689.0","303.0","386.0","558.0","191.0","367.0","131.0","112.0","19.0","190.0","40.0","150.0"
"CA-520","Merced City & County CoC","372.0","148.0","224.0","344.0","120.0","224.0","28.0","28.0","0.0","51.0","21.0","30.0"
"CA-521","Davis/Woodland/Yolo County CoC","491.0","202.0","289.0","365.0","92.0","273.0","126.0","110.0","16.0","150.0","27.0","123.0"
"CA-522","Humboldt County CoC","1355.0","355.0","1000.0","889.0","210.0","679.0","466.0","145.0","321.0","427.0","40.0","387.0"
"CA-523","Colusa, Glenn, Trinity Counties CoC","197.0","74.0","123.0","145.0","37.0","108.0","52.0","37.0","15.0","40.0","0.0","40.0"
"CA-524","Yuba City & County/Sutter County CoC","411.0","303.0","108.0","169.0","77.0","92.0","242.0","226.0","16.0","78.0","24.0","54.0"
