"CoC Number","CoC Name","Total Homeless, 2009","Sheltered Homeless, 2009","Unsheltered Homeless, 2009","Homeless Individuals, 2009","Sheltered Homeless Individuals, 2009","Unsheltered Homeless Individuals, 2009","Homeless People in Families, 2009","Sheltered Homeless People in Families, 2009","Unsheltered Homeless People in Families, 2009","Chronically Homeless Individuals, 2009","Sheltered Chronically Homeless Individuals, 2009","Unsheltered Chronically Homeless Individuals, 2009"
"CA-525","El Dorado County CoC","146.0","63.0","83.0","98.0","23.0","75.0","48.0","40.0","8.0","15.0","0.0","15.0"
"CA-526","Amador, Calaveras, Tuolumne and Mariposa Counties CoC","372.0","150.0","222.0","175.0","30.0","145.0","197.0","120.0","77.0","89.0","14.0","75.0"
"CA-600","Los Angeles City & County CoC","33243.0","14050.0","19193.0","28358.0","10176.0","18182.0","4885.0","3874.0","1011.0","7661.0","2414.0","5247.0"
"CA-601","San Diego City and County CoC","7995.0","3981.0","4014.0","6294.0","2389.0","3905.0","1701.0","1592.0","109.0","1275.0","354.0","921.0"
"CA-602","Santa Ana/Anaheim/Orange County CoC","8333.0","2609.0","5724.0","6956.0","1313.0","5643.0","1377.0","1296.0","81.0","3783.0","205.0","3578.0"
"CA-603","Santa Maria/Santa Barbara County CoC","4121.0","1148.0","2973.0","3333.0","746.0","2587.0","788.0","402.0","386.0","483.0","236.0","247.0"
"CA-604","Bakersfield/Kern County CoC","1499.0","667.0","832.0","1251.0","464.0","787.0","248.0","203.0","45.0","258.0","39.0","219.0"
"CA-606","Long Beach CoC","3909.0","2154.0","1755.0","3200.0","1660.0","1540.0","709.0","494.0","215.0","789.0","115.0","674.0"
"CA-607","Pasadena CoC","1144.0","403.0","741.0","918.0","250.0","668.0","226.0","153.0","73.0","281.0","27.0","254.0"
"CA-608","Riverside City & County CoC","3366.0","1323.0","2043.0","2282.0","937.0","1345.0","1084.0","386.0","698.0","969.0","274.0","695.0"
"CA-609","San Bernardino City & County CoC","2026.0","768.0","1258.0","1397.0","307.0","1090.0","629.0","461.0","168.0","361.0","70.0","291.0"
"CA-611","Oxnard/San Buenaventura/Ventura County CoC","2193.0","461.0","1732.0","1653.0","300.0","1353.0","540.0","161.0","379.0","745.0","74.0","671.0"
"CA-612","Glendale CoC","306.0","138.0","168.0","157.0","49.0","108.0","149.0","89.0","60.0","105.0","6.0","99.0"
"CA-613","Imperial County CoC","505.0","157.0","348.0","400.0","52.0","348.0","105.0","105.0","0.0","12.0","12.0","0.0"
"CA-614","San Luis Obispo County CoC","3829.0","242.0","3587.0","1547.0","77.0","1470.0","2282.0","165.0","2117.0","201.0","7.0","194.0"
"CO-500","Colorado Balance of State CoC","5267.0","1087.0","4180.0","1324.0","279.0","1045.0","3943.0","808.0","3135.0","259.0","11.0","248.0"
"CO-503","Metropolitan Denver Homeless Initiative","8752.0","7053.0","1699.0","5081.0","3653.0","1428.0","3671.0","3400.0","271.0","839.0","404.0","435.0"
"CO-504","Colorado Springs/El Paso County CoC","1249.0","891.0","358.0","996.0","644.0","352.0","253.0","247.0","6.0","188.0","95.0","93.0"
"CT-503","Bridgeport/Norwalk /Stamford/Fairfield County CoC","825.0","720.0","105.0","545.0","449.0","96.0","280.0","271.0","9.0","180.0","134.0","46.0"
"CT-505","Connecticut Balance of State CoC","3780.0","3383.0","397.0","2228.0","1839.0","389.0","1552.0","1544.0","8.0","644.0","506.0","138.0"
"DC-500","District of Columbia CoC","6228.0","5907.0","321.0","3934.0","3613.0","321.0","2294.0","2294.0","0.0","1923.0","1632.0","291.0"
"DE-500","Delaware Statewide CoC","1130.0","1083.0","47.0","776.0","729.0","47.0","354.0","354.0","0.0","167.0","150.0","17.0"
"FL-500","Sarasota/Bradenton/Manatee, Sarasota Counties CoC","1999.0","348.0","1651.0","1201.0","193.0","1008.0","798.0","155.0","643.0","125.0","27.0","98.0"
"FL-501","Tampa/Hillsborough County CoC","7473.0","726.0","6747.0","4107.0","498.0","3609.0","3366.0","228.0","3138.0","598.0","210.0","388.0"
"FL-502","St. Petersburg/Clearwater/Largo/Pinellas County CoC","3419.0","1691.0","1728.0","2843.0","1252.0","1591.0","576.0","439.0","137.0","631.0","186.0","445.0"
"FL-503","Lakeland/Winter Haven/Polk County CoC","725.0","366.0","359.0","606.0","278.0","328.0","119.0","88.0","31.0","186.0","75.0","111.0"
"FL-504","Daytona Beach/Daytona/Volusia, Flagler Counties CoC","1913.0","593.0","1320.0","1507.0","187.0","1320.0","406.0","406.0","0.0","157.0","0.0","157.0"
"FL-505","Fort Walton Beach/Okaloosa, Walton Counties CoC","2446.0","309.0","2137.0","1515.0","222.0","1293.0","931.0","87.0","844.0","297.0","61.0","236.0"
"FL-506","Tallahassee/Leon County CoC","640.0","536.0","104.0","475.0","398.0","77.0","165.0","138.0","27.0","150.0","100.0","50.0"
"FL-507","Orlando/Orange, Osceola, Seminole Counties CoC","3970.0","2454.0","1516.0","2246.0","1312.0","934.0","1724.0","1142.0","582.0","1537.0","603.0","934.0"
"FL-508","Gainesville/Alachua, Putnam Counties CoC","924.0","301.0","623.0","750.0","176.0","574.0","174.0","125.0","49.0","240.0","8.0","232.0"
"FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","1950.0","289.0","1661.0","1041.0","138.0","903.0","909.0","151.0","758.0","162.0","60.0","102.0"
"FL-510","Jacksonville-Duval, Clay Counties CoC","2442.0","2019.0","423.0","1902.0","1486.0","416.0","540.0","533.0","7.0","756.0","526.0","230.0"
"FL-511","Pensacola/Escambia/Santa Rosa County CoC","1030.0","412.0","618.0","685.0","258.0","427.0","345.0","154.0","191.0","221.0","98.0","123.0"
"FL-512","Saint Johns County CoC","1237.0","106.0","1131.0","1099.0","36.0","1063.0","138.0","70.0","68.0","56.0","0.0","56.0"
"FL-513","Palm Bay/Melbourne/Brevard County CoC","1221.0","1002.0","219.0","881.0","671.0","210.0","340.0","331.0","9.0","112.0","81.0","31.0"
"FL-514","Ocala/Marion County CoC","491.0","297.0","194.0","318.0","220.0","98.0","173.0","77.0","96.0","117.0","117.0","0.0"
"FL-515","Panama City/Bay, Jackson Counties CoC","287.0","249.0","38.0","225.0","187.0","38.0","62.0","62.0","0.0","33.0","16.0","17.0"
"FL-517","Hendry, Hardee, Highlands Counties CoC","4220.0","101.0","4119.0","812.0","63.0","749.0","3408.0","38.0","3370.0","329.0","12.0","317.0"
"FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","1114.0","165.0","949.0","724.0","85.0","639.0","390.0","80.0","310.0","298.0","76.0","222.0"
"FL-519","Pasco County CoC","4527.0","1674.0","2853.0","1312.0","549.0","763.0","3215.0","1125.0","2090.0","995.0","378.0","617.0"
"FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","1025.0","236.0","789.0","571.0","192.0","379.0","454.0","44.0","410.0","28.0","19.0","9.0"
"FL-600","Miami/Dade County CoC","4333.0","3339.0","994.0","3023.0","2029.0","994.0","1310.0","1310.0","0.0","600.0","354.0","246.0"
"FL-601","Ft Lauderdale/Broward County CoC","3225.0","2425.0","800.0","2575.0","1839.0","736.0","650.0","586.0","64.0","377.0","171.0","206.0"
"FL-602","Punta Gorda/Charlotte County CoC","541.0","394.0","147.0","437.0","295.0","142.0","104.0","99.0","5.0","163.0","53.0","110.0"
"FL-603","Ft Myers/Cape Coral/Lee County CoC","931.0","515.0","416.0","824.0","444.0","380.0","107.0","71.0","36.0","177.0","16.0","161.0"
"FL-604","Monroe County CoC","1040.0","324.0","716.0","838.0","226.0","612.0","202.0","98.0","104.0","289.0","164.0","125.0"
"FL-605","West Palm Beach/Palm Beach County CoC","2147.0","740.0","1407.0","1682.0","433.0","1249.0","465.0","307.0","158.0","417.0","79.0","338.0"
"FL-606","Naples/Collier County CoC","329.0","256.0","73.0","233.0","160.0","73.0","96.0","96.0","0.0","11.0","3.0","8.0"
"GA-500","Atlanta Continuum of Care","7019.0","4855.0","2164.0","5781.0","3713.0","2068.0","1238.0","1142.0","96.0","1649.0","947.0","702.0"
"GA-501","Georgia Balance of State CoC","9941.0","2134.0","7807.0","6379.0","703.0","5676.0","3562.0","1431.0","2131.0","1306.0","201.0","1105.0"
"GA-503","Athens/Clarke County CoC","454.0","248.0","206.0","324.0","146.0","178.0","130.0","102.0","28.0","121.0","36.0","85.0"
"GA-504","Augusta CoC","556.0","512.0","44.0","405.0","384.0","21.0","151.0","128.0","23.0","142.0","142.0","0.0"
"GA-505","Columbus-Muscogee/Russell County CoC","458.0","254.0","204.0","340.0","192.0","148.0","118.0","62.0","56.0","129.0","44.0","85.0"
"GA-506","Marietta/Cobb County CoC","480.0","354.0","126.0","267.0","144.0","123.0","213.0","210.0","3.0","135.0","38.0","97.0"
"GA-507","Savannah/Chatham County CoC","1452.0","1062.0","390.0","869.0","483.0","386.0","583.0","579.0","4.0","289.0","212.0","77.0"
"GU-500","Guam CoC","1088.0","182.0","906.0","391.0","52.0","339.0","697.0","130.0","567.0","87.0","19.0","68.0"
"HI-500","Hawaii Balance of State CoC","2144.0","823.0","1321.0","1129.0","237.0","892.0","1015.0","586.0","429.0","286.0","28.0","258.0"
"HI-501","Honolulu CoC","3638.0","2445.0","1193.0","1812.0","772.0","1040.0","1826.0","1673.0","153.0","486.0","96.0","390.0"
"IA-500","Sioux City/Dakota, Woodbury Counties CoC","289.0","259.0","30.0","146.0","129.0","17.0","143.0","130.0","13.0","74.0","59.0","15.0"
"IA-501","Iowa Balance of State CoC","1962.0","1891.0","71.0","771.0","711.0","60.0","1191.0","1180.0","11.0","112.0","93.0","19.0"
"IA-502","Des Moines/Polk County CoC","1129.0","1071.0","58.0","738.0","684.0","54.0","391.0","387.0","4.0","120.0","86.0","34.0"
"ID-500","Boise/Ada County CoC","786.0","644.0","142.0","586.0","466.0","120.0","200.0","178.0","22.0","111.0","97.0","14.0"
"ID-501","Idaho Balance of State","1153.0","833.0","320.0","531.0","355.0","176.0","622.0","478.0","144.0","99.0","60.0","39.0"
"IL-500","McHenry County CoC","257.0","247.0","10.0","153.0","143.0","10.0","104.0","104.0","0.0","45.0","39.0","6.0"
"IL-501","Rockford/Winnebago, Boone Counties CoC","452.0","347.0","105.0","338.0","263.0","75.0","114.0","84.0","30.0","196.0","157.0","39.0"
"IL-502","Waukegan/North Chicago/Lake County CoC","370.0","368.0","2.0","202.0","200.0","2.0","168.0","168.0","0.0","33.0","33.0","0.0"
"IL-503","Champaign/Urbana/Rantoul/Champaign County CoC","534.0","530.0","4.0","209.0","205.0","4.0","325.0","325.0","0.0","47.0","47.0","0.0"
"IL-504","Madison County CoC","202.0","161.0","41.0","62.0","31.0","31.0","140.0","130.0","10.0","9.0","0.0","9.0"
"IL-506","Joliet/Bolingbrook/Will County CoC","340.0","331.0","9.0","180.0","171.0","9.0","160.0","160.0","0.0","80.0","76.0","4.0"
"IL-507","Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC","397.0","330.0","67.0","276.0","209.0","67.0","121.0","121.0","0.0","133.0","127.0","6.0"
"IL-508","East Saint Louis/Belleville/Saint Clair County CoC","536.0","242.0","294.0","261.0","46.0","215.0","275.0","196.0","79.0","60.0","30.0","30.0"
"IL-509","Dekalb City & County CoC","115.0","84.0","31.0","52.0","21.0","31.0","63.0","63.0","0.0","4.0","4.0","0.0"
"IL-510","Chicago CoC","6240.0","5356.0","884.0","3342.0","2548.0","794.0","2898.0","2808.0","90.0","689.0","416.0","273.0"
"IL-511","Cook County CoC","1378.0","1127.0","251.0","747.0","511.0","236.0","631.0","616.0","15.0","275.0","159.0","116.0"
"IL-512","Bloomington/Central Illinois CoC","515.0","482.0","33.0","214.0","190.0","24.0","301.0","292.0","9.0","58.0","51.0","7.0"
"IL-513","Springfield/Sangamon County CoC","257.0","248.0","9.0","152.0","150.0","2.0","105.0","98.0","7.0","96.0","96.0","0.0"
"IL-514","DuPage County CoC","695.0","587.0","108.0","350.0","251.0","99.0","345.0","336.0","9.0","182.0","83.0","99.0"
"IL-515","South Central Illinois CoC","329.0","234.0","95.0","52.0","32.0","20.0","277.0","202.0","75.0","19.0","8.0","11.0"
"IL-516","Decatur/Macon County CoC","176.0","150.0","26.0","110.0","84.0","26.0","66.0","66.0","0.0","33.0","33.0","0.0"
"IL-517","Aurora/Elgin/Kane County CoC","445.0","392.0","53.0","333.0","280.0","53.0","112.0","112.0","0.0","188.0","155.0","33.0"
"IL-518","Rock Island/Moline/Northwestern Illinois CoC","400.0","348.0","52.0","230.0","185.0","45.0","170.0","163.0","7.0","55.0","40.0","15.0"
"IL-519","West Central Illinois CoC","127.0","127.0","0.0","35.0","35.0","0.0","92.0","92.0","0.0","2.0","2.0","0.0"
"IL-520","Southern Illinois CoC","290.0","160.0","130.0","177.0","87.0","90.0","113.0","73.0","40.0","8.0","8.0","0.0"
"IN-502","Indiana Balance of State CoC","5530.0","3939.0","1591.0","3302.0","2019.0","1283.0","2228.0","1920.0","308.0","549.0","367.0","182.0"
"IN-503","Indianapolis CoC","1454.0","1267.0","187.0","849.0","668.0","181.0","605.0","599.0","6.0","216.0","138.0","78.0"
"KS-502","Wichita/Sedgwick County CoC","384.0","352.0","32.0","310.0","278.0","32.0","74.0","74.0","0.0","71.0","60.0","11.0"
"KS-503","Topeka/Shawnee County CoC","217.0","198.0","19.0","139.0","120.0","19.0","78.0","78.0","0.0","39.0","34.0","5.0"
"KS-505","Overland Park/Shawnee/Johnson County CoC","210.0","166.0","44.0","58.0","45.0","13.0","152.0","121.0","31.0","8.0","5.0","3.0"
"KS-507","Kansas Balance of State CoC","859.0","800.0","59.0","593.0","547.0","46.0","266.0","253.0","13.0","77.0","68.0","9.0"
"KY-500","Kentucky Balance of State CoC","3174.0","2688.0","486.0","1279.0","942.0","337.0","1895.0","1746.0","149.0","236.0","138.0","98.0"
"KY-501","Louisville/Jefferson County CoC","1515.0","1361.0","154.0","1147.0","999.0","148.0","368.0","362.0","6.0","247.0","174.0","73.0"
"KY-502","Lexington/Fayette County CoC","1310.0","1250.0","60.0","876.0","824.0","52.0","434.0","426.0","8.0","188.0","179.0","9.0"
"LA-500","Lafayette/Acadiana CoC","731.0","538.0","193.0","383.0","267.0","116.0","348.0","271.0","77.0","36.0","21.0","15.0"
"LA-502","Shreveport/Bossier/Northwest CoC","830.0","739.0","91.0","461.0","389.0","72.0","369.0","350.0","19.0","56.0","17.0","39.0"
"LA-503","New Orleans/Jefferson Parish CoC","8725.0","1340.0","7385.0","7957.0","863.0","7094.0","768.0","477.0","291.0","4579.0","146.0","4433.0"
"LA-505","Monroe/Northeast Louisiana CoC","228.0","187.0","41.0","93.0","69.0","24.0","135.0","118.0","17.0","19.0","9.0","10.0"
"LA-506","Slidell/Southeast Louisiana CoC","379.0","217.0","162.0","164.0","79.0","85.0","215.0","138.0","77.0","24.0","2.0","22.0"
"LA-507","Alexandria/Central Louisiana CoC","151.0","104.0","47.0","103.0","74.0","29.0","48.0","30.0","18.0","8.0","0.0","8.0"
"LA-508","Houma-Terrebonne/Thibodaux CoC","270.0","225.0","45.0","74.0","59.0","15.0","196.0","166.0","30.0","12.0","6.0","6.0"
"LA-509","Louisiana Balance of State (BoS)","1190.0","768.0","422.0","863.0","587.0","276.0","327.0","181.0","146.0","81.0","25.0","56.0"
"MA-500","Boston CoC","5101.0","4882.0","219.0","2663.0","2444.0","219.0","2438.0","2438.0","0.0","817.0","662.0","155.0"
"MA-501","Holyoke/Franklin, Hampden, Hampshire Counties CoC","1394.0","1336.0","58.0","482.0","424.0","58.0","912.0","912.0","0.0","83.0","44.0","39.0"
"MA-502","Lynn CoC","610.0","580.0","30.0","300.0","270.0","30.0","310.0","310.0","0.0","59.0","38.0","21.0"
"MA-503","Cape Cod/Islands CoC","611.0","407.0","204.0","336.0","192.0","144.0","275.0","215.0","60.0","145.0","68.0","77.0"
"MA-504","Springfield CoC","774.0","762.0","12.0","307.0","295.0","12.0","467.0","467.0","0.0","81.0","72.0","9.0"
"MA-505","New Bedford CoC","510.0","408.0","102.0","409.0","311.0","98.0","101.0","97.0","4.0","43.0","43.0","0.0"
"MA-506","Worcester City & County CoC","1397.0","1361.0","36.0","518.0","488.0","30.0","879.0","873.0","6.0","120.0","100.0","20.0"
"MA-507","Pittsfield/Berkshire County CoC","286.0","191.0","95.0","204.0","162.0","42.0","82.0","29.0","53.0","39.0","21.0","18.0"
"MA-508","Lowell CoC","309.0","298.0","11.0","163.0","152.0","11.0","146.0","146.0","0.0","36.0","34.0","2.0"
"MA-509","Cambridge CoC","637.0","594.0","43.0","303.0","260.0","43.0","334.0","334.0","0.0","155.0","112.0","43.0"
"MA-510","Gloucester/Haverhill/Salem/Essex County CoC","813.0","744.0","69.0","406.0","337.0","69.0","407.0","407.0","0.0","106.0","88.0","18.0"
"MA-511","Quincy/Brockton/Weymouth/Plymouth City and County CoC","1263.0","1217.0","46.0","367.0","321.0","46.0","896.0","896.0","0.0","145.0","116.0","29.0"
"MA-515","Fall River CoC","154.0","144.0","10.0","104.0","94.0","10.0","50.0","50.0","0.0","14.0","14.0","0.0"
"MA-516","Massachusetts Balance of State","1349.0","1311.0","38.0","357.0","319.0","38.0","992.0","992.0","0.0","59.0","51.0","8.0"
"MA-517","Somerville CoC","132.0","128.0","4.0","70.0","66.0","4.0","62.0","62.0","0.0","18.0","17.0","1.0"
"MA-519","Attleboro/Taunton/Bristol County CoC","142.0","113.0","29.0","68.0","39.0","29.0","74.0","74.0","0.0","17.0","10.0","7.0"
"MD-500","Cumberland/Allegany County CoC","218.0","203.0","15.0","76.0","64.0","12.0","142.0","139.0","3.0","37.0","31.0","6.0"
"MD-501","Baltimore City CoC","3419.0","2191.0","1228.0","2484.0","1747.0","737.0","935.0","444.0","491.0","853.0","625.0","228.0"
"MD-502","Harford County CoC","152.0","128.0","24.0","86.0","62.0","24.0","66.0","66.0","0.0","32.0","21.0","11.0"
"MD-503","Annapolis/Anne Arundel County CoC","326.0","232.0","94.0","198.0","104.0","94.0","128.0","128.0","0.0","53.0","31.0","22.0"
"MD-504","Howard County CoC","180.0","133.0","47.0","88.0","43.0","45.0","92.0","90.0","2.0","58.0","17.0","41.0"
"MD-505","Baltimore County CoC","1520.0","1114.0","406.0","1179.0","837.0","342.0","341.0","277.0","64.0","76.0","52.0","24.0"
"MD-506","Carroll County CoC","151.0","123.0","28.0","116.0","98.0","18.0","35.0","25.0","10.0","29.0","21.0","8.0"
"MD-507","Cecil County CoC","173.0","146.0","27.0","90.0","69.0","21.0","83.0","77.0","6.0","40.0","25.0","15.0"
"MD-508","Charles, Calvert, St.Mary's Counties CoC","2560.0","536.0","2024.0","640.0","224.0","416.0","1920.0","312.0","1608.0","456.0","129.0","327.0"
"MD-509","Frederick City & County CoC","324.0","257.0","67.0","186.0","149.0","37.0","138.0","108.0","30.0","66.0","39.0","27.0"
"MD-510","Garrett County CoC","11.0","4.0","7.0","11.0","4.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MD-511","Mid-Shore Regional CoC","144.0","138.0","6.0","85.0","79.0","6.0","59.0","59.0","0.0","8.0","7.0","1.0"
"MD-512","Hagerstown/Washington County CoC","137.0","110.0","27.0","60.0","53.0","7.0","77.0","57.0","20.0","19.0","15.0","4.0"
"MD-513","Wicomico/Somerset/Worcester County CoC","283.0","240.0","43.0","202.0","159.0","43.0","81.0","81.0","0.0","55.0","37.0","18.0"
"MD-600","Prince George`s County/Maryland CoC","853.0","771.0","82.0","419.0","337.0","82.0","434.0","434.0","0.0","107.0","57.0","50.0"
"MD-601","Montgomery County CoC","1247.0","1120.0","127.0","721.0","594.0","127.0","526.0","526.0","0.0","173.0","136.0","37.0"
"ME-500","Maine Balance of State CoC","2444.0","2406.0","38.0","1124.0","1092.0","32.0","1320.0","1314.0","6.0","186.0","178.0","8.0"
"MI-500","Michigan Balance of State CoC","2953.0","2031.0","922.0","1151.0","616.0","535.0","1802.0","1415.0","387.0","211.0","130.0","81.0"
"MI-501","Detroit CoC","3694.0","3432.0","262.0","2969.0","2707.0","262.0","725.0","725.0","0.0","446.0","369.0","77.0"
"MI-502","Dearborn/Dearborn Heights/Westland/Wayne County CoC","428.0","422.0","6.0","159.0","153.0","6.0","269.0","269.0","0.0","26.0","24.0","2.0"
"MI-503","St. Clair Shores/Warren/Macomb County CoC","877.0","292.0","585.0","589.0","250.0","339.0","288.0","42.0","246.0","259.0","85.0","174.0"
"MI-504","Pontiac/Royal Oak/Oakland County CoC","661.0","381.0","280.0","419.0","177.0","242.0","242.0","204.0","38.0","58.0","44.0","14.0"
"MI-505","Flint/Genesee County CoC","275.0","193.0","82.0","154.0","94.0","60.0","121.0","99.0","22.0","56.0","21.0","35.0"
"MI-506","Grand Rapids/Wyoming/Kent County CoC","868.0","834.0","34.0","390.0","366.0","24.0","478.0","468.0","10.0","142.0","118.0","24.0"
