"State","Number of CoCs","Total Homeless, 2011","Sheltered Homeless, 2011","Unsheltered Homeless, 2011","Homeless Individuals, 2011","Sheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals, 2011","Homeless People in Families, 2011","Sheltered Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Chronically Homeless, 2011","Sheltered Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Chronically Homeless Individuals, 2011","Sheltered Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Chronically Homeless People in Families, 2011","Sheltered Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Homeless Veterans, 2011","Sheltered Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011"
"AK","2.0","2128.0","1760.0","368.0","1286.0","1042.0","244.0","842.0","718.0","124.0","253.0","194.0","59.0","226.0","169.0","57.0","27.0","25.0","2.0","288.0","236.0","52.0"
"AL","8.0","5558.0","3749.0","1809.0","4325.0","2782.0","1543.0","1233.0","967.0","266.0","1114.0","418.0","696.0","1046.0","396.0","650.0","68.0","22.0","46.0","659.0","387.0","272.0"
"AR","7.0","3424.0","1802.0","1622.0","2505.0","1320.0","1185.0","919.0","482.0","437.0","607.0","328.0","279.0","500.0","267.0","233.0","107.0","61.0","46.0","411.0","268.0","143.0"
"AZ","3.0","10504.0","7302.0","3202.0","6403.0","3684.0","2719.0","4101.0","3618.0","483.0","2283.0","1028.0","1255.0","1939.0","738.0","1201.0","344.0","290.0","54.0","1528.0","1018.0","510.0"
"CA","42.0","125128.0","50691.0","74437.0","97964.0","29028.0","68936.0","27164.0","21663.0","5501.0","34589.0","7039.0","27550.0","30807.0","5826.0","24981.0","3782.0","1213.0","2569.0","16783.0","6689.0","10094.0"
"CO","3.0","15116.0","6146.0","8970.0","4546.0","2651.0","1895.0","10570.0","3495.0","7075.0","1495.0","549.0","946.0","1288.0","376.0","912.0","207.0","173.0","34.0","2074.0","1381.0","693.0"
"CT","7.0","4456.0","3761.0","695.0","3071.0","2417.0","654.0","1385.0","1344.0","41.0","1099.0","769.0","330.0","1043.0","713.0","330.0","56.0","56.0","0.0","443.0","396.0","47.0"
"DC","1.0","6546.0","6241.0","305.0","3858.0","3553.0","305.0","2688.0","2688.0","0.0","2509.0","2234.0","275.0","2093.0","1818.0","275.0","416.0","416.0","0.0","515.0","490.0","25.0"
"DE","1.0","1035.0","1013.0","22.0","663.0","641.0","22.0","372.0","372.0","0.0","70.0","59.0","11.0","70.0","59.0","11.0","0.0","0.0","0.0","55.0","53.0","2.0"
"FL","28.0","56687.0","20824.0","35863.0","37584.0","13934.0","23650.0","19103.0","6890.0","12213.0","11638.0","3577.0","8061.0","10263.0","3195.0","7068.0","1375.0","382.0","993.0","5644.0","2276.0","3368.0"
