"CoC Number","CoC Name","Total Homeless, 2011","Sheltered Homeless, 2011","Unsheltered Homeless, 2011","Homeless Individuals, 2011","Sheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals, 2011","Homeless People in Families, 2011","Sheltered Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Chronically Homeless, 2011","Sheltered Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Chronically Homeless Individuals, 2011","Sheltered Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Chronically Homeless People in Families, 2011","Sheltered Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Homeless Veterans, 2011","Sheltered Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011"
"CA-600","Los Angeles City & County CoC","34622.0","16882.0","17740.0","25404.0","9628.0","15776.0","9218.0","7254.0","1964.0","9640.0","3083.0","6557.0","7668.0","2357.0","5311.0","1972.0","726.0","1246.0","6281.0","3243.0","3038.0"
"CA-601","San Diego City and County CoC","9436.0","3980.0","5456.0","7763.0","2503.0","5260.0","1673.0","1477.0","196.0","2348.0","174.0","2174.0","2278.0","166.0","2112.0","70.0","8.0","62.0","1649.0","756.0","893.0"
"CA-602","Santa Ana/Anaheim/Orange County CoC","6939.0","2667.0","4272.0","5231.0","981.0","4250.0","1708.0","1686.0","22.0","1670.0","81.0","1589.0","1651.0","66.0","1585.0","19.0","15.0","4.0","856.0","96.0","760.0"
"CA-603","Santa Maria/Santa Barbara County CoC","1698.0","830.0","868.0","1377.0","552.0","825.0","321.0","278.0","43.0","558.0","172.0","386.0","511.0","141.0","370.0","47.0","31.0","16.0","158.0","70.0","88.0"
"CA-604","Bakersfield/Kern County CoC","1439.0","606.0","833.0","1236.0","447.0","789.0","203.0","159.0","44.0","441.0","48.0","393.0","372.0","40.0","332.0","69.0","8.0","61.0","173.0","79.0","94.0"
"CA-606","Long Beach CoC","3164.0","961.0","2203.0","2596.0","660.0","1936.0","568.0","301.0","267.0","1101.0","117.0","984.0","1074.0","112.0","962.0","27.0","5.0","22.0","658.0","349.0","309.0"
"CA-607","Pasadena CoC","1216.0","453.0","763.0","1022.0","298.0","724.0","194.0","155.0","39.0","425.0","105.0","320.0","421.0","101.0","320.0","4.0","4.0","0.0","89.0","13.0","76.0"
"CA-608","Riverside City & County CoC","6203.0","1113.0","5090.0","5655.0","596.0","5059.0","548.0","517.0","31.0","2530.0","79.0","2451.0","2515.0","70.0","2445.0","15.0","9.0","6.0","890.0","76.0","814.0"
"CA-609","San Bernardino City & County CoC","2825.0","1133.0","1692.0","1916.0","550.0","1366.0","909.0","583.0","326.0","240.0","60.0","180.0","169.0","47.0","122.0","71.0","13.0","58.0","246.0","80.0","166.0"
"CA-611","Oxnard/San Buenaventura/Ventura County CoC","1810.0","830.0","980.0","1459.0","592.0","867.0","351.0","238.0","113.0","679.0","150.0","529.0","503.0","83.0","420.0","176.0","67.0","109.0","140.0","31.0","109.0"
"CA-612","Glendale CoC","412.0","291.0","121.0","297.0","176.0","121.0","115.0","115.0","0.0","107.0","94.0","13.0","102.0","89.0","13.0","5.0","5.0","0.0","39.0","20.0","19.0"
"CA-613","Imperial County CoC","508.0","194.0","314.0","398.0","84.0","314.0","110.0","110.0","0.0","16.0","0.0","16.0","16.0","0.0","16.0","0.0","0.0","0.0","6.0","6.0","0.0"
"CA-614","San Luis Obispo County CoC","2129.0","228.0","1901.0","1724.0","110.0","1614.0","405.0","118.0","287.0","556.0","68.0","488.0","339.0","38.0","301.0","217.0","30.0","187.0","271.0","60.0","211.0"
"CO-500","Colorado Balance of State CoC","9283.0","1015.0","8268.0","1615.0","295.0","1320.0","7668.0","720.0","6948.0","729.0","31.0","698.0","729.0","31.0","698.0","0.0","0.0","0.0","572.0","77.0","495.0"
"CO-503","Metropolitan Denver Homeless Initiative","4809.0","4277.0","532.0","2200.0","1786.0","414.0","2609.0","2491.0","118.0","588.0","422.0","166.0","393.0","261.0","132.0","195.0","161.0","34.0","1322.0","1188.0","134.0"
"CO-504","Colorado Springs/El Paso County CoC","1024.0","854.0","170.0","731.0","570.0","161.0","293.0","284.0","9.0","178.0","96.0","82.0","166.0","84.0","82.0","12.0","12.0","0.0","180.0","116.0","64.0"
"CT-503","Bridgeport/Norwalk /Stamford/Fairfield County CoC","1005.0","844.0","161.0","737.0","588.0","149.0","268.0","256.0","12.0","277.0","204.0","73.0","273.0","200.0","73.0","4.0","4.0","0.0","88.0","74.0","14.0"
"CT-505","Connecticut Balance of State CoC","3451.0","2917.0","534.0","2334.0","1829.0","505.0","1117.0","1088.0","29.0","822.0","565.0","257.0","770.0","513.0","257.0","52.0","52.0","0.0","355.0","322.0","33.0"
"DC-500","District of Columbia CoC","6546.0","6241.0","305.0","3858.0","3553.0","305.0","2688.0","2688.0","0.0","2509.0","2234.0","275.0","2093.0","1818.0","275.0","416.0","416.0","0.0","515.0","490.0","25.0"
"DE-500","Delaware Statewide CoC","1035.0","1013.0","22.0","663.0","641.0","22.0","372.0","372.0","0.0","70.0","59.0","11.0","70.0","59.0","11.0","0.0","0.0","0.0","55.0","53.0","2.0"
"FL-500","Sarasota/Bradenton/Manatee, Sarasota Counties CoC","1152.0","895.0","257.0","922.0","688.0","234.0","230.0","207.0","23.0","222.0","72.0","150.0","111.0","36.0","75.0","111.0","36.0","75.0","64.0","23.0","41.0"
"FL-501","Tampa/Hillsborough County CoC","7336.0","889.0","6447.0","4468.0","577.0","3891.0","2868.0","312.0","2556.0","679.0","48.0","631.0","679.0","48.0","631.0","0.0","0.0","0.0","792.0","97.0","695.0"
"FL-502","St. Petersburg/Clearwater/Largo/Pinellas County CoC","3890.0","1870.0","2020.0","2689.0","1469.0","1220.0","1201.0","401.0","800.0","466.0","163.0","303.0","458.0","163.0","295.0","8.0","0.0","8.0","431.0","313.0","118.0"
"FL-503","Lakeland/Winter Haven/Polk County CoC","1100.0","498.0","602.0","933.0","331.0","602.0","167.0","167.0","0.0","32.0","11.0","21.0","32.0","11.0","21.0","0.0","0.0","0.0","78.0","46.0","32.0"
"FL-504","Daytona Beach/Daytona/Volusia, Flagler Counties CoC","2210.0","535.0","1675.0","2015.0","340.0","1675.0","195.0","195.0","0.0","202.0","3.0","199.0","202.0","3.0","199.0","0.0","0.0","0.0","153.0","59.0","94.0"
"FL-505","Fort Walton Beach/Okaloosa, Walton Counties CoC","2764.0","475.0","2289.0","827.0","365.0","462.0","1937.0","110.0","1827.0","367.0","183.0","184.0","333.0","176.0","157.0","34.0","7.0","27.0","246.0","124.0","122.0"
"FL-506","Tallahassee/Leon County CoC","787.0","728.0","59.0","609.0","550.0","59.0","178.0","178.0","0.0","112.0","94.0","18.0","110.0","92.0","18.0","2.0","2.0","0.0","63.0","60.0","3.0"
"FL-507","Orlando/Orange, Osceola, Seminole Counties CoC","4515.0","2127.0","2388.0","3135.0","1239.0","1896.0","1380.0","888.0","492.0","2363.0","567.0","1796.0","2284.0","537.0","1747.0","79.0","30.0","49.0","690.0","190.0","500.0"
"FL-508","Gainesville/Alachua, Putnam Counties CoC","1179.0","439.0","740.0","969.0","325.0","644.0","210.0","114.0","96.0","363.0","76.0","287.0","350.0","70.0","280.0","13.0","6.0","7.0","331.0","197.0","134.0"
"FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","1683.0","194.0","1489.0","609.0","45.0","564.0","1074.0","149.0","925.0","171.0","43.0","128.0","117.0","10.0","107.0","54.0","33.0","21.0","95.0","8.0","87.0"
"FL-510","Jacksonville-Duval, Clay Counties CoC","3025.0","1593.0","1432.0","2377.0","945.0","1432.0","648.0","648.0","0.0","1104.0","756.0","348.0","1104.0","756.0","348.0","0.0","0.0","0.0","345.0","186.0","159.0"
"FL-511","Pensacola/Escambia/Santa Rosa County CoC","733.0","455.0","278.0","590.0","339.0","251.0","143.0","116.0","27.0","200.0","71.0","129.0","193.0","70.0","123.0","7.0","1.0","6.0","158.0","52.0","106.0"
"FL-512","Saint Johns County CoC","1391.0","190.0","1201.0","1004.0","64.0","940.0","387.0","126.0","261.0","75.0","0.0","75.0","75.0","0.0","75.0","0.0","0.0","0.0","41.0","6.0","35.0"
"FL-513","Palm Bay/Melbourne/Brevard County CoC","1907.0","690.0","1217.0","1298.0","304.0","994.0","609.0","386.0","223.0","136.0","71.0","65.0","136.0","71.0","65.0","0.0","0.0","0.0","355.0","126.0","229.0"
"FL-514","Ocala/Marion County CoC","1032.0","432.0","600.0","961.0","367.0","594.0","71.0","65.0","6.0","122.0","37.0","85.0","122.0","37.0","85.0","0.0","0.0","0.0","144.0","23.0","121.0"
"FL-515","Panama City/Bay, Jackson Counties CoC","411.0","296.0","115.0","320.0","225.0","95.0","91.0","71.0","20.0","68.0","46.0","22.0","61.0","39.0","22.0","7.0","7.0","0.0","46.0","24.0","22.0"
"FL-517","Hendry, Hardee, Highlands Counties CoC","1319.0","114.0","1205.0","559.0","114.0","445.0","760.0","0.0","760.0","412.0","0.0","412.0","206.0","0.0","206.0","206.0","0.0","206.0","10.0","0.0","10.0"
"FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","1179.0","83.0","1096.0","792.0","52.0","740.0","387.0","31.0","356.0","236.0","7.0","229.0","184.0","4.0","180.0","52.0","3.0","49.0","244.0","27.0","217.0"
"FL-519","Pasco County CoC","4502.0","343.0","4159.0","1338.0","171.0","1167.0","3164.0","172.0","2992.0","1830.0","372.0","1458.0","1228.0","186.0","1042.0","602.0","186.0","416.0","140.0","65.0","75.0"
"FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","1715.0","330.0","1385.0","1192.0","203.0","989.0","523.0","127.0","396.0","23.0","10.0","13.0","23.0","10.0","13.0","0.0","0.0","0.0","35.0","30.0","5.0"
"FL-600","Miami/Dade County CoC","3817.0","3028.0","789.0","2468.0","1679.0","789.0","1349.0","1349.0","0.0","529.0","300.0","229.0","513.0","284.0","229.0","16.0","16.0","0.0","308.0","218.0","90.0"
"FL-601","Ft Lauderdale/Broward County CoC","3801.0","2533.0","1268.0","3247.0","2010.0","1237.0","554.0","523.0","31.0","816.0","400.0","416.0","793.0","381.0","412.0","23.0","19.0","4.0","393.0","172.0","221.0"
"FL-602","Punta Gorda/Charlotte County CoC","828.0","192.0","636.0","738.0","156.0","582.0","90.0","36.0","54.0","193.0","27.0","166.0","125.0","6.0","119.0","68.0","21.0","47.0","100.0","44.0","56.0"
"FL-603","Ft Myers/Cape Coral/Lee County CoC","969.0","513.0","456.0","750.0","431.0","319.0","219.0","82.0","137.0","206.0","91.0","115.0","189.0","85.0","104.0","17.0","6.0","11.0","88.0","51.0","37.0"
"FL-604","Monroe County CoC","904.0","346.0","558.0","798.0","306.0","492.0","106.0","40.0","66.0","261.0","57.0","204.0","226.0","54.0","172.0","35.0","3.0","32.0","96.0","56.0","40.0"
"FL-605","West Palm Beach/Palm Beach County CoC","2148.0","751.0","1397.0","1665.0","433.0","1232.0","483.0","318.0","165.0","423.0","58.0","365.0","382.0","52.0","330.0","41.0","6.0","35.0","181.0","71.0","110.0"
"FL-606","Naples/Collier County CoC","390.0","285.0","105.0","311.0","206.0","105.0","79.0","79.0","0.0","27.0","14.0","13.0","27.0","14.0","13.0","0.0","0.0","0.0","17.0","8.0","9.0"
"GA-500","Atlanta Continuum of Care","6805.0","4427.0","2378.0","5732.0","3396.0","2336.0","1073.0","1031.0","42.0","2372.0","1745.0","627.0","2093.0","1477.0","616.0","279.0","268.0","11.0","1237.0","803.0","434.0"
"GA-501","Georgia Balance of State CoC","11168.0","2313.0","8855.0","7989.0","711.0","7278.0","3179.0","1602.0","1577.0","1761.0","145.0","1616.0","1341.0","145.0","1196.0","420.0","0.0","420.0","758.0","49.0","709.0"
"GA-503","Athens/Clarke County CoC","407.0","278.0","129.0","296.0","167.0","129.0","111.0","111.0","0.0","86.0","35.0","51.0","83.0","32.0","51.0","3.0","3.0","0.0","27.0","16.0","11.0"
"GA-504","Augusta CoC","497.0","492.0","5.0","291.0","289.0","2.0","206.0","203.0","3.0","82.0","80.0","2.0","82.0","80.0","2.0","0.0","0.0","0.0","69.0","69.0","0.0"
"GA-505","Columbus-Muscogee/Russell County CoC","486.0","261.0","225.0","378.0","193.0","185.0","108.0","68.0","40.0","105.0","57.0","48.0","105.0","57.0","48.0","0.0","0.0","0.0","64.0","39.0","25.0"
"GA-506","Marietta/Cobb County CoC","370.0","321.0","49.0","188.0","142.0","46.0","182.0","179.0","3.0","37.0","7.0","30.0","37.0","7.0","30.0","0.0","0.0","0.0","40.0","20.0","20.0"
"GA-507","Savannah/Chatham County CoC","1242.0","631.0","611.0","1101.0","490.0","611.0","141.0","141.0","0.0","138.0","43.0","95.0","138.0","43.0","95.0","0.0","0.0","0.0","48.0","29.0","19.0"
"GU-500","Guam CoC","1745.0","204.0","1541.0","279.0","36.0","243.0","1466.0","168.0","1298.0","370.0","0.0","370.0","25.0","0.0","25.0","345.0","0.0","345.0","33.0","7.0","26.0"
"HI-500","Hawaii Balance of State CoC","1954.0","720.0","1234.0","1196.0","223.0","973.0","758.0","497.0","261.0","366.0","40.0","326.0","348.0","36.0","312.0","18.0","4.0","14.0","173.0","25.0","148.0"
"HI-501","Honolulu CoC","4234.0","2912.0","1322.0","1999.0","854.0","1145.0","2235.0","2058.0","177.0","569.0","76.0","493.0","556.0","75.0","481.0","13.0","1.0","12.0","332.0","185.0","147.0"
"IA-500","Sioux City/Dakota, Woodbury Counties CoC","366.0","337.0","29.0","167.0","149.0","18.0","199.0","188.0","11.0","106.0","91.0","15.0","88.0","73.0","15.0","18.0","18.0","0.0","25.0","21.0","4.0"
"IA-501","Iowa Balance of State CoC","1782.0","1754.0","28.0","777.0","749.0","28.0","1005.0","1005.0","0.0","114.0","103.0","11.0","104.0","93.0","11.0","10.0","10.0","0.0","121.0","116.0","5.0"
"IA-502","Des Moines/Polk County CoC","986.0","922.0","64.0","684.0","620.0","64.0","302.0","302.0","0.0","131.0","90.0","41.0","123.0","82.0","41.0","8.0","8.0","0.0","121.0","118.0","3.0"
"ID-500","Boise/Ada County CoC","838.0","741.0","97.0","630.0","535.0","95.0","208.0","206.0","2.0","139.0","114.0","25.0","125.0","104.0","21.0","14.0","10.0","4.0","135.0","120.0","15.0"
"ID-501","Idaho Balance of State","1361.0","844.0","517.0","680.0","306.0","374.0","681.0","538.0","143.0","169.0","35.0","134.0","111.0","25.0","86.0","58.0","10.0","48.0","115.0","49.0","66.0"
"IL-500","McHenry County CoC","182.0","179.0","3.0","113.0","110.0","3.0","69.0","69.0","0.0","33.0","33.0","0.0","33.0","33.0","0.0","0.0","0.0","0.0","51.0","51.0","0.0"
"IL-501","Rockford/Winnebago, Boone Counties CoC","580.0","451.0","129.0","355.0","272.0","83.0","225.0","179.0","46.0","243.0","191.0","52.0","243.0","191.0","52.0","0.0","0.0","0.0","71.0","65.0","6.0"
"IL-502","Waukegan/North Chicago/Lake County CoC","464.0","461.0","3.0","269.0","266.0","3.0","195.0","195.0","0.0","64.0","64.0","0.0","59.0","59.0","0.0","5.0","5.0","0.0","60.0","60.0","0.0"
"IL-503","Champaign/Urbana/Rantoul/Champaign County CoC","231.0","205.0","26.0","87.0","70.0","17.0","144.0","135.0","9.0","52.0","29.0","23.0","46.0","29.0","17.0","6.0","0.0","6.0","23.0","23.0","0.0"
"IL-504","Madison County CoC","256.0","207.0","49.0","98.0","56.0","42.0","158.0","151.0","7.0","19.0","2.0","17.0","14.0","2.0","12.0","5.0","0.0","5.0","6.0","3.0","3.0"
"IL-506","Joliet/Bolingbrook/Will County CoC","353.0","320.0","33.0","191.0","158.0","33.0","162.0","162.0","0.0","46.0","34.0","12.0","38.0","26.0","12.0","8.0","8.0","0.0","20.0","18.0","2.0"
"IL-507","Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC","313.0","304.0","9.0","194.0","188.0","6.0","119.0","116.0","3.0","74.0","73.0","1.0","74.0","73.0","1.0","0.0","0.0","0.0","26.0","25.0","1.0"
"IL-508","East Saint Louis/Belleville/Saint Clair County CoC","370.0","185.0","185.0","176.0","54.0","122.0","194.0","131.0","63.0","124.0","63.0","61.0","64.0","37.0","27.0","60.0","26.0","34.0","31.0","18.0","13.0"
"IL-509","Dekalb City & County CoC","160.0","117.0","43.0","63.0","45.0","18.0","97.0","72.0","25.0","4.0","4.0","0.0","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"IL-510","Chicago CoC","6635.0","4913.0","1722.0","4261.0","2600.0","1661.0","2374.0","2313.0","61.0","1155.0","432.0","723.0","1149.0","432.0","717.0","6.0","0.0","6.0","500.0","250.0","250.0"
