"CoC Number","CoC Name","Total Homeless, 2011","Sheltered Homeless, 2011","Unsheltered Homeless, 2011","Homeless Individuals, 2011","Sheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals, 2011","Homeless People in Families, 2011","Sheltered Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Chronically Homeless, 2011","Sheltered Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Chronically Homeless Individuals, 2011","Sheltered Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Chronically Homeless People in Families, 2011","Sheltered Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Homeless Veterans, 2011","Sheltered Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011"
"AK-500","Anchorage CoC","1223.0","1082.0","141.0","794.0","677.0","117.0","429.0","405.0","24.0","129.0","109.0","20.0","112.0","94.0","18.0","17.0","15.0","2.0","199.0","168.0","31.0"
"AK-501","Alaska Balance of State CoC","905.0","678.0","227.0","492.0","365.0","127.0","413.0","313.0","100.0","124.0","85.0","39.0","114.0","75.0","39.0","10.0","10.0","0.0","89.0","68.0","21.0"
"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","1950.0","1024.0","926.0","1445.0","695.0","750.0","505.0","329.0","176.0","564.0","149.0","415.0","536.0","138.0","398.0","28.0","11.0","17.0","281.0","110.0","171.0"
"AL-501","Mobile City & County/Baldwin County CoC","718.0","407.0","311.0","542.0","231.0","311.0","176.0","176.0","0.0","65.0","7.0","58.0","65.0","7.0","58.0","0.0","0.0","0.0","60.0","19.0","41.0"
"AL-502","Florence/Northwest Alabama CoC","244.0","234.0","10.0","219.0","209.0","10.0","25.0","25.0","0.0","6.0","0.0","6.0","3.0","0.0","3.0","3.0","0.0","3.0","5.0","1.0","4.0"
"AL-503","Huntsville/North Alabama CoC","656.0","481.0","175.0","489.0","351.0","138.0","167.0","130.0","37.0","244.0","164.0","80.0","238.0","158.0","80.0","6.0","6.0","0.0","69.0","59.0","10.0"
"AL-504","Montgomery City & County CoC","433.0","287.0","146.0","333.0","198.0","135.0","100.0","89.0","11.0","84.0","12.0","72.0","82.0","12.0","70.0","2.0","0.0","2.0","59.0","34.0","25.0"
"AL-505","Gadsden/Northeast Alabama CoC","495.0","353.0","142.0","414.0","310.0","104.0","81.0","43.0","38.0","73.0","32.0","41.0","44.0","27.0","17.0","29.0","5.0","24.0","15.0","7.0","8.0"
"AL-506","Tuscaloosa City & County CoC","265.0","236.0","29.0","257.0","228.0","29.0","8.0","8.0","0.0","37.0","33.0","4.0","37.0","33.0","4.0","0.0","0.0","0.0","107.0","107.0","0.0"
"AL-507","Alabama Balance of State CoC","797.0","727.0","70.0","626.0","560.0","66.0","171.0","167.0","4.0","41.0","21.0","20.0","41.0","21.0","20.0","0.0","0.0","0.0","63.0","50.0","13.0"
"AR-500","Little Rock/Central Arkansas CoC","1276.0","789.0","487.0","1094.0","607.0","487.0","182.0","182.0","0.0","202.0","155.0","47.0","202.0","155.0","47.0","0.0","0.0","0.0","303.0","193.0","110.0"
"AR-501","Fayetteville/Northwest Arkansas CoC","238.0","199.0","39.0","128.0","97.0","31.0","110.0","102.0","8.0","102.0","66.0","36.0","51.0","33.0","18.0","51.0","33.0","18.0","39.0","33.0","6.0"
"AR-503","Arkansas  Balance of State  CoC","943.0","605.0","338.0","754.0","499.0","255.0","189.0","106.0","83.0","207.0","76.0","131.0","156.0","51.0","105.0","51.0","25.0","26.0","59.0","38.0","21.0"
"AR-504","Delta Hills CoC","790.0","72.0","718.0","441.0","49.0","392.0","349.0","23.0","326.0","86.0","25.0","61.0","86.0","25.0","61.0","0.0","0.0","0.0","4.0","0.0","4.0"
"AR-505","Southeast Arkansas","94.0","94.0","0.0","55.0","55.0","0.0","39.0","39.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AR-507","Eastern Arkansas CoC",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"AR-512","Boone, Baxter, Marion, Newton Counties CoC","83.0","43.0","40.0","33.0","13.0","20.0","50.0","30.0","20.0","10.0","6.0","4.0","5.0","3.0","2.0","5.0","3.0","2.0","6.0","4.0","2.0"
"AZ-500","Arizona Balance of State CoC","2047.0","1318.0","729.0","1027.0","731.0","296.0","1020.0","587.0","433.0","466.0","199.0","267.0","386.0","165.0","221.0","80.0","34.0","46.0","320.0","207.0","113.0"
"AZ-501","Tucson/Pima County CoC","2626.0","1902.0","724.0","1783.0","1101.0","682.0","843.0","801.0","42.0","725.0","526.0","199.0","461.0","270.0","191.0","264.0","256.0","8.0","454.0","304.0","150.0"
"AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","5831.0","4082.0","1749.0","3593.0","1852.0","1741.0","2238.0","2230.0","8.0","1092.0","303.0","789.0","1092.0","303.0","789.0","0.0","0.0","0.0","754.0","507.0","247.0"
"CA-500","San Jose/Santa Clara City & County CoC","7067.0","1898.0","5169.0","6450.0","1337.0","5113.0","617.0","561.0","56.0","2555.0","225.0","2330.0","2520.0","225.0","2295.0","35.0","0.0","35.0","667.0","152.0","515.0"
"CA-501","San Francisco CoC","5669.0","2298.0","3371.0","5034.0","1758.0","3276.0","635.0","540.0","95.0","1738.0","628.0","1110.0","1738.0","628.0","1110.0","0.0","0.0","0.0","919.0","489.0","430.0"
"CA-502","Oakland/Alameda County CoC","4178.0","1966.0","2212.0","3042.0","970.0","2072.0","1136.0","996.0","140.0","1214.0","230.0","984.0","1116.0","174.0","942.0","98.0","56.0","42.0","488.0","143.0","345.0"
"CA-503","Sacramento City & County CoC","2376.0","1421.0","955.0","1772.0","822.0","950.0","604.0","599.0","5.0","353.0","111.0","242.0","353.0","111.0","242.0","0.0","0.0","0.0","297.0","116.0","181.0"
"CA-504","Santa Rosa/Petaluma/Sonoma County CoC","4541.0","1175.0","3366.0","3974.0","648.0","3326.0","567.0","527.0","40.0","1018.0","63.0","955.0","1015.0","61.0","954.0","3.0","2.0","1.0","404.0","77.0","327.0"
"CA-505","Richmond/Contra Costa County CoC","2415.0","925.0","1490.0","1948.0","461.0","1487.0","467.0","464.0","3.0","743.0","210.0","533.0","719.0","191.0","528.0","24.0","19.0","5.0","77.0","69.0","8.0"
"CA-506","Salinas/Monterey, San Benito Counties CoC","2699.0","788.0","1911.0","2115.0","358.0","1757.0","584.0","430.0","154.0","831.0","52.0","779.0","792.0","41.0","751.0","39.0","11.0","28.0","296.0","52.0","244.0"
"CA-507","Marin County CoC","862.0","509.0","353.0","626.0","279.0","347.0","236.0","230.0","6.0","224.0","86.0","138.0","224.0","86.0","138.0","0.0","0.0","0.0","68.0","32.0","36.0"
"CA-508","Watsonville/Santa Cruz City & County CoC","2771.0","646.0","2125.0","2397.0","332.0","2065.0","374.0","314.0","60.0","1005.0","58.0","947.0","979.0","48.0","931.0","26.0","10.0","16.0","276.0","31.0","245.0"
"CA-509","Mendocino County CoC","1456.0","142.0","1314.0","1352.0","98.0","1254.0","104.0","44.0","60.0","370.0","58.0","312.0","300.0","40.0","260.0","70.0","18.0","52.0","92.0","18.0","74.0"
"CA-510","Turlock/Modesto/Stanislaus County CoC","1434.0","643.0","791.0","987.0","388.0","599.0","447.0","255.0","192.0","236.0","96.0","140.0","218.0","96.0","122.0","18.0","0.0","18.0","73.0","43.0","30.0"
"CA-511","Stockton/San Joaquin County CoC","2540.0","2293.0","247.0","1538.0","1316.0","222.0","1002.0","977.0","25.0","323.0","212.0","111.0","286.0","192.0","94.0","37.0","20.0","17.0","112.0","92.0","20.0"
"CA-512","Daly/San Mateo County CoC","1926.0","764.0","1162.0","1425.0","396.0","1029.0","501.0","368.0","133.0","486.0","10.0","476.0","486.0","10.0","476.0","0.0","0.0","0.0","324.0","177.0","147.0"
"CA-513","Visalia, Kings, Tulare Counties CoC","804.0","457.0","347.0","640.0","332.0","308.0","164.0","125.0","39.0","134.0","50.0","84.0","67.0","25.0","42.0","67.0","25.0","42.0","36.0","3.0","33.0"
"CA-514","Fresno/Madera County CoC","5135.0","1313.0","3822.0","3710.0","486.0","3224.0","1425.0","827.0","598.0","836.0","49.0","787.0","654.0","40.0","614.0","182.0","9.0","173.0","619.0","77.0","542.0"
"CA-515","Roseville/Rocklin/Placer, Nevada Counties CoC","821.0","466.0","355.0","544.0","227.0","317.0","277.0","239.0","38.0","149.0","27.0","122.0","101.0","25.0","76.0","48.0","2.0","46.0","74.0","37.0","37.0"
"CA-516","Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","527.0","356.0","171.0","403.0","255.0","148.0","124.0","101.0","23.0","93.0","38.0","55.0","62.0","26.0","36.0","31.0","12.0","19.0","46.0","38.0","8.0"
"CA-517","Napa City & County CoC","230.0","138.0","92.0","171.0","88.0","83.0","59.0","50.0","9.0","52.0","18.0","34.0","52.0","18.0","34.0","0.0","0.0","0.0","18.0","9.0","9.0"
"CA-518","Vallejo/Solano County CoC","569.0","334.0","235.0","376.0","190.0","186.0","193.0","144.0","49.0","140.0","140.0","0.0","122.0","122.0","0.0","18.0","18.0","0.0","41.0","27.0","14.0"
"CA-519","Chico/Paradise/Butte County CoC","897.0","357.0","540.0","753.0","240.0","513.0","144.0","117.0","27.0","261.0","24.0","237.0","258.0","22.0","236.0","3.0","2.0","1.0","117.0","47.0","70.0"
"CA-520","Merced City & County CoC","486.0","187.0","299.0","460.0","161.0","299.0","26.0","26.0","0.0","265.0","62.0","203.0","261.0","58.0","203.0","4.0","4.0","0.0","43.0","9.0","34.0"
"CA-521","Davis/Woodland/Yolo County CoC","468.0","205.0","263.0","350.0","104.0","246.0","118.0","101.0","17.0","203.0","36.0","167.0","187.0","32.0","155.0","16.0","4.0","12.0","50.0","14.0","36.0"
"CA-522","Humboldt County CoC","861.0","407.0","454.0","599.0","198.0","401.0","262.0","209.0","53.0","387.0","234.0","153.0","306.0","171.0","135.0","81.0","63.0","18.0","99.0","20.0","79.0"
"CA-523","Colusa, Glenn, Trinity Counties CoC","322.0","183.0","139.0","200.0","93.0","107.0","122.0","90.0","32.0","106.0","38.0","68.0","94.0","33.0","61.0","12.0","5.0","7.0","28.0","17.0","11.0"
"CA-524","Yuba City & County/Sutter County CoC","649.0","355.0","294.0","408.0","199.0","209.0","241.0","156.0","85.0","51.0","19.0","32.0","51.0","19.0","32.0","0.0","0.0","0.0","26.0","13.0","13.0"
"CA-525","El Dorado County CoC","170.0","133.0","37.0","107.0","76.0","31.0","63.0","57.0","6.0","19.0","12.0","7.0","16.0","9.0","7.0","3.0","3.0","0.0","2.0","1.0","1.0"
"CA-526","Amador, Calaveras, Tuolumne and Mariposa Counties CoC","406.0","137.0","269.0","189.0","28.0","161.0","217.0","109.0","108.0","102.0","22.0","80.0","85.0","13.0","72.0","17.0","9.0","8.0","25.0","7.0","18.0"
"CA-528","Del Norte County CoC","448.0","27.0","421.0","316.0","11.0","305.0","132.0","16.0","116.0","384.0","0.0","384.0","126.0","0.0","126.0","258.0","0.0","258.0","10.0","0.0","10.0"
