"CoC Number","CoC Name","Total Homeless, 2010","Sheltered Homeless, 2010","Unsheltered Homeless, 2010","Homeless Individuals, 2010","Sheltered Homeless Individuals, 2010","Unsheltered Homeless Individuals, 2010","Homeless People in Families, 2010","Sheltered Homeless People in Families, 2010","Unsheltered Homeless People in Families, 2010","Chronically Homeless Individuals, 2010","Sheltered Chronically Homeless Individuals, 2010","Unsheltered Chronically Homeless Individuals, 2010"
"AK-500","Anchorage CoC","1231.0","1113.0","118.0","740.0","633.0","107.0","491.0","480.0","11.0","56.0","43.0","13.0"
"AK-501","Alaska Balance of State CoC","632.0","558.0","74.0","378.0","320.0","58.0","254.0","238.0","16.0","108.0","76.0","32.0"
"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","2273.0","1069.0","1204.0","1645.0","756.0","889.0","628.0","313.0","315.0","611.0","285.0","326.0"
"AL-501","Mobile City & County/Baldwin County CoC","883.0","482.0","401.0","540.0","209.0","331.0","343.0","273.0","70.0","68.0","18.0","50.0"
"AL-502","Florence/Northwest Alabama CoC","170.0","162.0","8.0","131.0","127.0","4.0","39.0","35.0","4.0","4.0","0.0","4.0"
"AL-503","Huntsville/North Alabama CoC","819.0","645.0","174.0","678.0","518.0","160.0","141.0","127.0","14.0","203.0","127.0","76.0"
"AL-504","Montgomery City & County CoC","444.0","294.0","150.0","376.0","238.0","138.0","68.0","56.0","12.0","72.0","17.0","55.0"
"AL-505","Gadsden/Northeast Alabama CoC","370.0","294.0","76.0","221.0","175.0","46.0","149.0","119.0","30.0","4.0","2.0","2.0"
"AL-506","Tuscaloosa City & County CoC","278.0","263.0","15.0","271.0","256.0","15.0","7.0","7.0","0.0","40.0","33.0","7.0"
"AL-507","Alabama Balance of State CoC","809.0","682.0","127.0","691.0","578.0","113.0","118.0","104.0","14.0","41.0","20.0","21.0"
"AR-500","Little Rock/Central Arkansas CoC","1425.0","973.0","452.0","1179.0","735.0","444.0","246.0","238.0","8.0","70.0","54.0","16.0"
"AR-501","Fayetteville/Northwest Arkansas CoC","251.0","221.0","30.0","147.0","118.0","29.0","104.0","103.0","1.0","54.0","38.0","16.0"
"AR-504","Delta Hills CoC","969.0","459.0","510.0","731.0","410.0","321.0","238.0","49.0","189.0","252.0","39.0","213.0"
"AR-505","Southeast Arkansas","51.0","51.0","0.0","31.0","31.0","0.0","20.0","20.0","0.0","12.0","12.0","0.0"
"AR-512","Boone, Baxter, Marion, Newton Counties CoC","66.0","24.0","42.0","32.0","18.0","14.0","34.0","6.0","28.0","7.0","2.0","5.0"
"AZ-500","Arizona Balance of State CoC","3069.0","1005.0","2064.0","2085.0","457.0","1628.0","984.0","548.0","436.0","395.0","84.0","311.0"
"AZ-501","Tucson/Pima County CoC","3643.0","1939.0","1704.0","2709.0","1064.0","1645.0","934.0","875.0","59.0","627.0","162.0","465.0"
"AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","6999.0","4270.0","2729.0","4432.0","1845.0","2587.0","2567.0","2425.0","142.0","913.0","298.0","615.0"
"CA-500","San Jose/Santa Clara City & County CoC","7086.0","2103.0","4983.0","6078.0","1161.0","4917.0","1008.0","942.0","66.0","2270.0","195.0","2075.0"
"CA-501","San Francisco CoC","5823.0","2881.0","2942.0","5309.0","2392.0","2917.0","514.0","489.0","25.0","2816.0","1008.0","1808.0"
"CA-502","Oakland/Alameda County CoC","4341.0","2378.0","1963.0","2771.0","1230.0","1541.0","1570.0","1148.0","422.0","1026.0","266.0","760.0"
"CA-503","Sacramento City & County CoC","2734.0","1540.0","1194.0","2163.0","985.0","1178.0","571.0","555.0","16.0","432.0","155.0","277.0"
"CA-504","Santa Rosa/Petaluma/Sonoma County CoC","3345.0","1123.0","2222.0","2770.0","554.0","2216.0","575.0","569.0","6.0","1025.0","103.0","922.0"
"CA-505","Richmond/Contra Costa County CoC","2759.0","887.0","1872.0","2365.0","503.0","1862.0","394.0","384.0","10.0","940.0","89.0","851.0"
"CA-506","Salinas/Monterey, San Benito Counties CoC","2407.0","779.0","1628.0","1909.0","403.0","1506.0","498.0","376.0","122.0","656.0","159.0","497.0"
"CA-507","Marin County CoC","1026.0","597.0","429.0","767.0","367.0","400.0","259.0","230.0","29.0","135.0","92.0","43.0"
"CA-508","Watsonville/Santa Cruz City & County CoC","2265.0","729.0","1536.0","1815.0","323.0","1492.0","450.0","406.0","44.0","842.0","51.0","791.0"
"CA-509","Mendocino County CoC","1202.0","235.0","967.0","1071.0","126.0","945.0","131.0","109.0","22.0","474.0","34.0","440.0"
"CA-510","Turlock/Modesto/Stanislaus County CoC","1800.0","801.0","999.0","1118.0","484.0","634.0","682.0","317.0","365.0","442.0","68.0","374.0"
"CA-511","Stockton/San Joaquin County CoC","3005.0","2840.0","165.0","2122.0","1957.0","165.0","883.0","883.0","0.0","377.0","278.0","99.0"
"CA-512","Daly/San Mateo County CoC","1424.0","621.0","803.0","1013.0","285.0","728.0","411.0","336.0","75.0","455.0","29.0","426.0"
"CA-513","Visalia, Kings, Tulare Counties CoC","966.0","406.0","560.0","606.0","246.0","360.0","360.0","160.0","200.0","132.0","24.0","108.0"
"CA-514","Fresno/Madera County CoC","4288.0","1831.0","2457.0","3294.0","1029.0","2265.0","994.0","802.0","192.0","879.0","245.0","634.0"
"CA-515","Roseville/Rocklin/Placer, Nevada Counties CoC","1054.0","572.0","482.0","700.0","307.0","393.0","354.0","265.0","89.0","231.0","62.0","169.0"
"CA-516","Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","336.0","215.0","121.0","243.0","152.0","91.0","93.0","63.0","30.0","53.0","26.0","27.0"
"CA-517","Napa City & County CoC","314.0","186.0","128.0","261.0","133.0","128.0","53.0","53.0","0.0","132.0","61.0","71.0"
"CA-518","Vallejo/Solano County CoC","829.0","403.0","426.0","468.0","197.0","271.0","361.0","206.0","155.0","105.0","48.0","57.0"
"CA-519","Chico/Paradise/Butte County CoC","742.0","347.0","395.0","615.0","248.0","367.0","127.0","99.0","28.0","186.0","31.0","155.0"
"CA-520","Merced City & County CoC","372.0","148.0","224.0","344.0","120.0","224.0","28.0","28.0","0.0","51.0","21.0","30.0"
"CA-521","Davis/Woodland/Yolo County CoC","491.0","202.0","289.0","365.0","92.0","273.0","126.0","110.0","16.0","150.0","27.0","123.0"
