"State","Number of CoCs","Total Homeless, 2013","Sheltered Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Chronically Homeless, 2013","Sheltered Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013"
"KY","3.0","5245.0","4491.0","754.0","3302.0","2733.0","569.0","1943.0","1758.0","185.0","541.0","268.0","273.0","394.0","219.0","175.0","147.0","49.0","98.0","607.0","510.0","97.0"
"LA","9.0","5226.0","3651.0","1575.0","3908.0","2401.0","1507.0","1318.0","1250.0","68.0","1115.0","245.0","870.0","1015.0","227.0","788.0","100.0","18.0","82.0","575.0","383.0","192.0"
"MA","18.0","19029.0","18179.0","850.0","6694.0","5883.0","811.0","12335.0","12296.0","39.0","2115.0","1715.0","400.0","1577.0","1180.0","397.0","538.0","535.0","3.0","1253.0","1204.0","49.0"
"MD","16.0","8205.0","6283.0","1922.0","5221.0","3717.0","1504.0","2984.0","2566.0","418.0","1480.0","862.0","618.0","1249.0","725.0","524.0","231.0","137.0","94.0","673.0","563.0","110.0"
"ME","2.0","3016.0","2954.0","62.0","1563.0","1518.0","45.0","1453.0","1436.0","17.0","176.0","176.0","0.0","159.0","159.0","0.0","17.0","17.0","0.0","164.0","150.0","14.0"
"MI","21.0","11527.0","9339.0","2188.0","7236.0","5519.0","1717.0","4291.0","3820.0","471.0","1106.0","666.0","440.0","969.0","578.0","391.0","137.0","88.0","49.0","1100.0","945.0","155.0"
"MN","10.0","8214.0","7299.0","915.0","3728.0","3023.0","705.0","4486.0","4276.0","210.0","1350.0","1001.0","349.0","915.0","622.0","293.0","435.0","379.0","56.0","349.0","286.0","63.0"
"MO","8.0","8581.0","6501.0","2080.0","4652.0","3365.0","1287.0","3929.0","3136.0","793.0","1037.0","601.0","436.0","695.0","394.0","301.0","342.0","207.0","135.0","843.0","667.0","176.0"
"MP","0.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MS","3.0","2403.0","1083.0","1320.0","1753.0","648.0","1105.0","650.0","435.0","215.0","475.0","68.0","407.0","408.0","61.0","347.0","67.0","7.0","60.0","210.0","129.0","81.0"
"MT","1.0","1878.0","1094.0","784.0","1211.0","574.0","637.0","667.0","520.0","147.0","227.0","65.0","162.0","210.0","55.0","155.0","17.0","10.0","7.0","309.0","118.0","191.0"
"NC","12.0","12168.0","9013.0","3155.0","7530.0","5383.0","2147.0","4638.0","3630.0","1008.0","1842.0","802.0","1040.0","1451.0","675.0","776.0","391.0","127.0","264.0","1123.0","934.0","189.0"
"ND","1.0","2069.0","674.0","1395.0","1230.0","443.0","787.0","839.0","231.0","608.0","179.0","68.0","111.0","110.0","68.0","42.0","69.0","0.0","69.0","241.0","60.0","181.0"
"NE","3.0","3145.0","2972.0","173.0","1892.0","1733.0","159.0","1253.0","1239.0","14.0","414.0","342.0","72.0","339.0","273.0","66.0","75.0","69.0","6.0","183.0","161.0","22.0"
"NH","3.0","1447.0","1245.0","202.0","798.0","626.0","172.0","649.0","619.0","30.0","255.0","135.0","120.0","226.0","118.0","108.0","29.0","17.0","12.0","125.0","112.0","13.0"
"NJ","17.0","12002.0","10603.0","1399.0","6093.0","4916.0","1177.0","5909.0","5687.0","222.0","1237.0","847.0","390.0","1002.0","638.0","364.0","235.0","209.0","26.0","540.0","420.0","120.0"
"NM","2.0","2819.0","2391.0","428.0","1786.0","1411.0","375.0","1033.0","980.0","53.0","525.0","306.0","219.0","399.0","240.0","159.0","126.0","66.0","60.0","243.0","183.0","60.0"
"NV","3.0","7039.0","3698.0","3341.0","6200.0","2899.0","3301.0","839.0","799.0","40.0","724.0","377.0","347.0","718.0","375.0","343.0","6.0","2.0","4.0","790.0","477.0","313.0"
"NY","30.0","77430.0","73273.0","4157.0","31235.0","27214.0","4021.0","46195.0","46059.0","136.0","6317.0","3885.0","2432.0","4045.0","1673.0","2372.0","2272.0","2212.0","60.0","4659.0","4201.0","458.0"
"OH","9.0","12325.0","10987.0","1338.0","7611.0","6472.0","1139.0","4714.0","4515.0","199.0","1753.0","1207.0","546.0","1677.0","1135.0","542.0","76.0","72.0","4.0","1212.0","1050.0","162.0"
"OK","8.0","4408.0","3262.0","1146.0","3179.0","2320.0","859.0","1229.0","942.0","287.0","719.0","330.0","389.0","617.0","260.0","357.0","102.0","70.0","32.0","437.0","338.0","99.0"
"OR","7.0","13822.0","6432.0","7390.0","8994.0","3602.0","5392.0","4828.0","2830.0","1998.0","3043.0","723.0","2320.0","2444.0","588.0","1856.0","599.0","135.0","464.0","1494.0","709.0","785.0"
"PA","18.0","15086.0","13727.0","1359.0","7973.0","6767.0","1206.0","7113.0","6960.0","153.0","1681.0","1010.0","671.0","1536.0","889.0","647.0","145.0","121.0","24.0","1462.0","1290.0","172.0"
"PR","2.0","4128.0","1402.0","2726.0","3470.0","1057.0","2413.0","658.0","345.0","313.0","2130.0","261.0","1869.0","1629.0","256.0","1373.0","501.0","5.0","496.0","82.0","40.0","42.0"
"RI","1.0","1384.0","1267.0","117.0","862.0","753.0","109.0","522.0","514.0","8.0","251.0","198.0","53.0","243.0","190.0","53.0","8.0","8.0","0.0","97.0","95.0","2.0"
"SC","4.0","6544.0","3411.0","3133.0","4736.0","2339.0","2397.0","1808.0","1072.0","736.0","483.0","143.0","340.0","453.0","125.0","328.0","30.0","18.0","12.0","636.0","345.0","291.0"
"SD","1.0","1094.0","755.0","339.0","557.0","394.0","163.0","537.0","361.0","176.0","217.0","71.0","146.0","117.0","42.0","75.0","100.0","29.0","71.0","125.0","106.0","19.0"
"TN","10.0","9528.0","6321.0","3207.0","6909.0","4632.0","2277.0","2619.0","1689.0","930.0","2219.0","1162.0","1057.0","1929.0","1079.0","850.0","290.0","83.0","207.0","991.0","728.0","263.0"
"TX","12.0","29615.0","17525.0","12090.0","20758.0","9681.0","11077.0","8857.0","7844.0","1013.0","5535.0","2168.0","3367.0","4770.0","1677.0","3093.0","765.0","491.0","274.0","3878.0","2007.0","1871.0"
"UT","3.0","3277.0","2859.0","418.0","1959.0","1593.0","366.0","1318.0","1266.0","52.0","454.0","349.0","105.0","347.0","268.0","79.0","107.0","81.0","26.0","327.0","290.0","37.0"
"VA","16.0","7625.0","6603.0","1022.0","4532.0","3587.0","945.0","3093.0","3016.0","77.0","1356.0","875.0","481.0","1262.0","797.0","465.0","94.0","78.0","16.0","719.0","625.0","94.0"
"VI","1.0","482.0","119.0","363.0","444.0","81.0","363.0","38.0","38.0","0.0","87.0","0.0","87.0","87.0","0.0","87.0","0.0","0.0","0.0","33.0","2.0","31.0"
"VT","2.0","1454.0","1270.0","184.0","701.0","547.0","154.0","753.0","723.0","30.0","217.0","140.0","77.0","183.0","110.0","73.0","34.0","30.0","4.0","128.0","111.0","17.0"
"WA","7.0","17760.0","12707.0","5053.0","10617.0","6032.0","4585.0","7143.0","6675.0","468.0","2196.0","1076.0","1120.0","1927.0","955.0","972.0","269.0","121.0","148.0","1318.0","1058.0","260.0"
"WI","4.0","6104.0","5736.0","368.0","3005.0","2703.0","302.0","3099.0","3033.0","66.0","521.0","383.0","138.0","449.0","313.0","136.0","72.0","70.0","2.0","552.0","528.0","24.0"
"WV","4.0","2240.0","1612.0","628.0","1544.0","1038.0","506.0","696.0","574.0","122.0","432.0","250.0","182.0","390.0","211.0","179.0","42.0","39.0","3.0","329.0","292.0","37.0"
"WY","1.0","953.0","501.0","452.0","677.0","306.0","371.0","276.0","195.0","81.0","244.0","116.0","128.0","221.0","116.0","105.0","23.0","0.0","23.0","137.0","110.0","27.0"
"Total","415.0","590364.0","394698.0","195666.0","368174.0","203127.0","165047.0","222190.0","191571.0","30619.0","102828.0","37568.0","65260.0","86289.0","29418.0","56871.0","16539.0","8150.0","8389.0","55619.0","34909.0","20710.0"
