"State","Number of CoCs","Total Homeless, 2013","Sheltered Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Chronically Homeless, 2013","Sheltered Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013"
"AK","2.0","1946.0","1741.0","205.0","1362.0","1208.0","154.0","584.0","533.0","51.0","184.0","138.0","46.0","166.0","124.0","42.0","18.0","14.0","4.0","210.0","188.0","22.0"
"AL","8.0","4689.0","3246.0","1443.0","3387.0","2212.0","1175.0","1302.0","1034.0","268.0","858.0","295.0","563.0","768.0","249.0","519.0","90.0","46.0","44.0","511.0","363.0","148.0"
"AR","6.0","3812.0","1664.0","2148.0","3174.0","1177.0","1997.0","638.0","487.0","151.0","602.0","171.0","431.0","565.0","142.0","423.0","37.0","29.0","8.0","462.0","326.0","136.0"
"AZ","3.0","10562.0","7431.0","3131.0","6510.0","3662.0","2848.0","4052.0","3769.0","283.0","1188.0","520.0","668.0","1064.0","450.0","614.0","124.0","70.0","54.0","1222.0","901.0","321.0"
"CA","40.0","118552.0","45554.0","72998.0","93458.0","26426.0","67032.0","25094.0","19128.0","5966.0","33112.0","5251.0","27861.0","29248.0","4177.0","25071.0","3864.0","1074.0","2790.0","12895.0","4886.0","8009.0"
"CO","3.0","9754.0","7591.0","2163.0","4664.0","3075.0","1589.0","5090.0","4516.0","574.0","1780.0","846.0","934.0","1354.0","665.0","689.0","426.0","181.0","245.0","685.0","452.0","233.0"
"CT","6.0","4448.0","3529.0","919.0","3101.0","2275.0","826.0","1347.0","1254.0","93.0","1046.0","678.0","368.0","872.0","542.0","330.0","174.0","136.0","38.0","341.0","267.0","74.0"
"DC","1.0","6865.0","6353.0","512.0","3696.0","3184.0","512.0","3169.0","3169.0","0.0","2027.0","1566.0","461.0","1764.0","1303.0","461.0","263.0","263.0","0.0","499.0","435.0","64.0"
"DE","1.0","946.0","936.0","10.0","575.0","565.0","10.0","371.0","371.0","0.0","71.0","68.0","3.0","65.0","62.0","3.0","6.0","6.0","0.0","89.0","86.0","3.0"
"FL","28.0","47862.0","19670.0","28192.0","31359.0","12330.0","19029.0","16503.0","7340.0","9163.0","9647.0","1873.0","7774.0","7778.0","1608.0","6170.0","1869.0","265.0","1604.0","5505.0","2328.0","3177.0"
"GA","9.0","16971.0","8510.0","8461.0","12880.0","5250.0","7630.0","4091.0","3260.0","831.0","3082.0","936.0","2146.0","2713.0","842.0","1871.0","369.0","94.0","275.0","1805.0","900.0","905.0"
"GU","1.0","1271.0","128.0","1143.0","296.0","35.0","261.0","975.0","93.0","882.0","290.0","1.0","289.0","51.0","1.0","50.0","239.0","0.0","239.0","32.0","2.0","30.0"
"HI","2.0","6335.0","3745.0","2590.0","3355.0","1142.0","2213.0","2980.0","2603.0","377.0","1180.0","273.0","907.0","1031.0","212.0","819.0","149.0","61.0","88.0","558.0","234.0","324.0"
"IA","3.0","3084.0","2950.0","134.0","1524.0","1392.0","132.0","1560.0","1558.0","2.0","327.0","258.0","69.0","277.0","208.0","69.0","50.0","50.0","0.0","229.0","220.0","9.0"
"ID","2.0","1781.0","1404.0","377.0","1084.0","775.0","309.0","697.0","629.0","68.0","271.0","165.0","106.0","193.0","105.0","88.0","78.0","60.0","18.0","208.0","162.0","46.0"
"IL","20.0","13425.0","11229.0","2196.0","7958.0","6104.0","1854.0","5467.0","5125.0","342.0","1574.0","980.0","594.0","1403.0","890.0","513.0","171.0","90.0","81.0","1267.0","882.0","385.0"
"IN","3.0","6096.0","5396.0","700.0","3751.0","3167.0","584.0","2345.0","2229.0","116.0","580.0","409.0","171.0","511.0","343.0","168.0","69.0","66.0","3.0","743.0","666.0","77.0"
"KS","5.0","2693.0","2382.0","311.0","1480.0","1238.0","242.0","1213.0","1144.0","69.0","356.0","249.0","107.0","304.0","204.0","100.0","52.0","45.0","7.0","414.0","384.0","30.0"
