"State","Number of CoCs","Total Homeless, 2014","Sheltered Homeless, 2014","Unsheltered Homeless, 2014","Homeless Individuals, 2014","Sheltered Homeless Individuals, 2014","Unsheltered Homeless Individuals, 2014","Homeless People in Families, 2014","Sheltered Homeless People in Families, 2014","Unsheltered Homeless People in Families, 2014","Chronically Homeless, 2014","Sheltered Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Chronically Homeless Individuals, 2014","Sheltered Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Chronically Homeless People in Families, 2014","Sheltered Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Homeless Veterans, 2014","Sheltered Homeless Veterans, 2014","Unsheltered Homeless Veterans, 2014"
"HI","2.0","6918.0","3813.0","3105.0","3750.0","1164.0","2586.0","3168.0","2649.0","519.0","1301.0","199.0","1102.0","1109.0","145.0","964.0","192.0","54.0","138.0","593.0","247.0","346.0"
"IA","3.0","3122.0","2926.0","196.0","1544.0","1368.0","176.0","1578.0","1558.0","20.0","244.0","154.0","90.0","211.0","121.0","90.0","33.0","33.0","0.0","202.0","177.0","25.0"
"ID","2.0","2104.0","1468.0","636.0","1234.0","848.0","386.0","870.0","620.0","250.0","244.0","105.0","139.0","156.0","69.0","87.0","88.0","36.0","52.0","215.0","135.0","80.0"
"IL","20.0","13107.0","11409.0","1698.0","7350.0","5793.0","1557.0","5757.0","5616.0","141.0","1488.0","1010.0","478.0","1349.0","891.0","458.0","139.0","119.0","20.0","1234.0","913.0","321.0"
"IN","3.0","5971.0","5568.0","403.0","3953.0","3560.0","393.0","2018.0","2008.0","10.0","596.0","485.0","111.0","542.0","433.0","109.0","54.0","52.0","2.0","725.0","687.0","38.0"
"KS*","5.0","2783.0","2534.0","249.0","1533.0","1295.0","238.0","1250.0","1239.0","11.0","320.0","212.0","108.0","290.0","184.0","106.0","30.0","28.0","2.0","393.0","356.0","37.0"
"KY","3.0","5089.0","4258.0","831.0","3352.0","2805.0","547.0","1737.0","1453.0","284.0","727.0","499.0","228.0","614.0","424.0","190.0","113.0","75.0","38.0","600.0","558.0","42.0"
"LA","9.0","4606.0","3503.0","1103.0","3444.0","2364.0","1080.0","1162.0","1139.0","23.0","776.0","262.0","514.0","743.0","232.0","511.0","33.0","30.0","3.0","437.0","332.0","105.0"
"MA","18.0","21237.0","20478.0","759.0","6788.0","6041.0","747.0","14449.0","14437.0","12.0","3311.0","3006.0","305.0","1590.0","1285.0","305.0","1721.0","1721.0","0.0","1264.0","1234.0","30.0"
"MD","16.0","7856.0","6267.0","1589.0","4980.0","3872.0","1108.0","2876.0","2395.0","481.0","1740.0","1135.0","605.0","1515.0","997.0","518.0","225.0","138.0","87.0","654.0","555.0","99.0"
"ME","2.0","2726.0","2633.0","93.0","1348.0","1282.0","66.0","1378.0","1351.0","27.0","244.0","218.0","26.0","218.0","200.0","18.0","26.0","18.0","8.0","152.0","138.0","14.0"
"MI","21.0","12227.0","10075.0","2152.0","7535.0","5916.0","1619.0","4692.0","4159.0","533.0","1293.0","825.0","468.0","1160.0","745.0","415.0","133.0","80.0","53.0","1122.0","994.0","128.0"
"MN","10.0","8377.0","7582.0","795.0","3652.0","3006.0","646.0","4725.0","4576.0","149.0","1235.0","889.0","346.0","885.0","562.0","323.0","350.0","327.0","23.0","317.0","263.0","54.0"
"MO","8.0","7282.0","6309.0","973.0","4307.0","3651.0","656.0","2975.0","2658.0","317.0","997.0","714.0","283.0","735.0","469.0","266.0","262.0","245.0","17.0","652.0","563.0","89.0"
"MP","0.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MS","3.0","2226.0","1405.0","821.0","1714.0","933.0","781.0","512.0","472.0","40.0","282.0","79.0","203.0","275.0","74.0","201.0","7.0","5.0","2.0","279.0","221.0","58.0"
"MT","1.0","1745.0","911.0","834.0","1167.0","493.0","674.0","578.0","418.0","160.0","270.0","77.0","193.0","256.0","71.0","185.0","14.0","6.0","8.0","256.0","94.0","162.0"
"NC","12.0","11491.0","8874.0","2617.0","7498.0","5738.0","1760.0","3993.0","3136.0","857.0","1431.0","720.0","711.0","1284.0","639.0","645.0","147.0","81.0","66.0","1164.0","982.0","182.0"
"ND","1.0","1258.0","794.0","464.0","886.0","526.0","360.0","372.0","268.0","104.0","115.0","101.0","14.0","111.0","97.0","14.0","4.0","4.0","0.0","151.0","117.0","34.0"
"NE","3.0","3026.0","2917.0","109.0","1893.0","1788.0","105.0","1133.0","1129.0","4.0","426.0","397.0","29.0","365.0","336.0","29.0","61.0","61.0","0.0","241.0","224.0","17.0"
"NH","3.0","1376.0","1243.0","133.0","795.0","676.0","119.0","581.0","567.0","14.0","338.0","286.0","52.0","301.0","251.0","50.0","37.0","35.0","2.0","171.0","162.0","9.0"
"NJ","17.0","11671.0","10736.0","935.0","6446.0","5536.0","910.0","5225.0","5200.0","25.0","1399.0","1007.0","392.0","1150.0","760.0","390.0","249.0","247.0","2.0","630.0","554.0","76.0"
"NM","2.0","2746.0","2318.0","428.0","1804.0","1429.0","375.0","942.0","889.0","53.0","709.0","490.0","219.0","617.0","458.0","159.0","92.0","32.0","60.0","318.0","258.0","60.0"
"NV","3.0","8582.0","4797.0","3785.0","7356.0","3571.0","3785.0","1226.0","1226.0","0.0","705.0","104.0","601.0","697.0","96.0","601.0","8.0","8.0","0.0","1036.0","546.0","490.0"
"NY","29.0","80590.0","76487.0","4103.0","32643.0","28600.0","4043.0","47947.0","47887.0","60.0","7212.0","4783.0","2429.0","4350.0","1947.0","2403.0","2862.0","2836.0","26.0","2542.0","2085.0","457.0"
"OH","9.0","11823.0","10720.0","1103.0","7704.0","6769.0","935.0","4119.0","3951.0","168.0","1481.0","1009.0","472.0","1340.0","894.0","446.0","141.0","115.0","26.0","1236.0","1102.0","134.0"
"OK","8.0","4191.0","3259.0","932.0","2964.0","2291.0","673.0","1227.0","968.0","259.0","671.0","416.0","255.0","585.0","366.0","219.0","86.0","50.0","36.0","408.0","273.0","135.0"
"OR","7.0","12164.0","6101.0","6063.0","7988.0","3665.0","4323.0","4176.0","2436.0","1740.0","2695.0","577.0","2118.0","2207.0","505.0","1702.0","488.0","72.0","416.0","1292.0","702.0","590.0"
"PA","18.0","15333.0","14301.0","1032.0","8359.0","7420.0","939.0","6974.0","6881.0","93.0","1607.0","1134.0","473.0","1449.0","983.0","466.0","158.0","151.0","7.0","1411.0","1336.0","75.0"
"PR","2.0","4132.0","1406.0","2726.0","3432.0","1019.0","2413.0","700.0","387.0","313.0","2063.0","194.0","1869.0","1567.0","194.0","1373.0","496.0","0.0","496.0","87.0","45.0","42.0"
"RI","1.0","1190.0","1170.0","20.0","779.0","761.0","18.0","411.0","409.0","2.0","204.0","198.0","6.0","204.0","198.0","6.0","0.0","0.0","0.0","108.0","108.0","0.0"
"SC","4.0","5057.0","3249.0","1808.0","3813.0","2252.0","1561.0","1244.0","997.0","247.0","273.0","100.0","173.0","273.0","100.0","173.0","0.0","0.0","0.0","703.0","399.0","304.0"
"SD","1.0","885.0","830.0","55.0","490.0","450.0","40.0","395.0","380.0","15.0","118.0","92.0","26.0","81.0","68.0","13.0","37.0","24.0","13.0","132.0","128.0","4.0"
"TN","10.0","9415.0","6383.0","3032.0","6800.0","4693.0","2107.0","2615.0","1690.0","925.0","2195.0","1364.0","831.0","1904.0","1169.0","735.0","291.0","195.0","96.0","1142.0","920.0","222.0"
"TX","12.0","28495.0","18228.0","10267.0","19177.0","9758.0","9419.0","9318.0","8470.0","848.0","5416.0","2231.0","3185.0","4952.0","1892.0","3060.0","464.0","339.0","125.0","2718.0","1576.0","1142.0"
"UT","3.0","3081.0","2768.0","313.0","1729.0","1540.0","189.0","1352.0","1228.0","124.0","422.0","380.0","42.0","386.0","346.0","40.0","36.0","34.0","2.0","317.0","293.0","24.0"
"VA","16.0","7020.0","6330.0","690.0","4234.0","3570.0","664.0","2786.0","2760.0","26.0","1021.0","730.0","291.0","965.0","674.0","291.0","56.0","56.0","0.0","620.0","535.0","85.0"
"VI","1.0","448.0","85.0","363.0","425.0","62.0","363.0","23.0","23.0","0.0","88.0","1.0","87.0","88.0","1.0","87.0","0.0","0.0","0.0","32.0","1.0","31.0"
"VT","2.0","1559.0","1396.0","163.0","823.0","704.0","119.0","736.0","692.0","44.0","283.0","228.0","55.0","199.0","159.0","40.0","84.0","69.0","15.0","120.0","111.0","9.0"
"WA","7.0","18442.0","12540.0","5902.0","11390.0","6257.0","5133.0","7052.0","6283.0","769.0","2535.0","1129.0","1406.0","2311.0","1015.0","1296.0","224.0","114.0","110.0","1433.0","1089.0","344.0"
"WI","4.0","6055.0","5712.0","343.0","2929.0","2676.0","253.0","3126.0","3036.0","90.0","524.0","447.0","77.0","436.0","359.0","77.0","88.0","88.0","0.0","520.0","496.0","24.0"
"WV","4.0","2013.0","1583.0","430.0","1488.0","1175.0","313.0","525.0","408.0","117.0","482.0","304.0","178.0","424.0","279.0","145.0","58.0","25.0","33.0","333.0","303.0","30.0"
"WY","1.0","757.0","563.0","194.0","463.0","327.0","136.0","294.0","236.0","58.0","144.0","104.0","40.0","105.0","86.0","19.0","39.0","18.0","21.0","116.0","95.0","21.0"
"Total","414.0","576450.0","401051.0","175399.0","360189.0","209148.0","151041.0","216261.0","191903.0","24358.0","99132.0","40565.0","58567.0","83989.0","31203.0","52786.0","15143.0","9362.0","5781.0","49689.0","32119.0","17570.0"
" ","","","","","","","","","","","","","","","","","","","","","",""
