"State","Number of CoCs","Total Homeless, 2014","Sheltered Homeless, 2014","Unsheltered Homeless, 2014","Homeless Individuals, 2014","Sheltered Homeless Individuals, 2014","Unsheltered Homeless Individuals, 2014","Homeless People in Families, 2014","Sheltered Homeless People in Families, 2014","Unsheltered Homeless People in Families, 2014","Chronically Homeless, 2014","Sheltered Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Chronically Homeless Individuals, 2014","Sheltered Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Chronically Homeless People in Families, 2014","Sheltered Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Homeless Veterans, 2014","Sheltered Homeless Veterans, 2014","Unsheltered Homeless Veterans, 2014"
"AK","2.0","1784.0","1639.0","145.0","1209.0","1109.0","100.0","575.0","530.0","45.0","206.0","137.0","69.0","182.0","119.0","63.0","24.0","18.0","6.0","178.0","160.0","18.0"
"AL","8.0","4561.0","3518.0","1043.0","3115.0","2373.0","742.0","1446.0","1145.0","301.0","729.0","283.0","446.0","618.0","245.0","373.0","111.0","38.0","73.0","542.0","450.0","92.0"
"AR","6.0","2936.0","1503.0","1433.0","2303.0","1070.0","1233.0","633.0","433.0","200.0","519.0","85.0","434.0","516.0","82.0","434.0","3.0","3.0","0.0","361.0","220.0","141.0"
"AZ","3.0","10495.0","7926.0","2569.0","6194.0","3851.0","2343.0","4301.0","4075.0","226.0","959.0","316.0","643.0","904.0","303.0","601.0","55.0","13.0","42.0","858.0","635.0","223.0"
"CA","40.0","113952.0","42515.0","71437.0","90765.0","24857.0","65908.0","23187.0","17658.0","5529.0","31078.0","5131.0","25947.0","28200.0","4417.0","23783.0","2878.0","714.0","2164.0","12096.0","4457.0","7639.0"
"CO","3.0","10028.0","8083.0","1945.0","5573.0","4035.0","1538.0","4455.0","4048.0","407.0","1621.0","747.0","874.0","1335.0","635.0","700.0","286.0","112.0","174.0","753.0","528.0","225.0"
"CT","6.0","4450.0","3531.0","919.0","3069.0","2243.0","826.0","1381.0","1288.0","93.0","1215.0","847.0","368.0","1026.0","696.0","330.0","189.0","151.0","38.0","295.0","221.0","74.0"
"DC","1.0","7748.0","7352.0","396.0","3953.0","3557.0","396.0","3795.0","3795.0","0.0","2029.0","1694.0","335.0","1609.0","1274.0","335.0","420.0","420.0","0.0","406.0","375.0","31.0"
"DE","1.0","901.0","864.0","37.0","584.0","554.0","30.0","317.0","310.0","7.0","91.0","82.0","9.0","88.0","79.0","9.0","3.0","3.0","0.0","93.0","89.0","4.0"
"FL","28.0","41542.0","19851.0","21691.0","28730.0","12886.0","15844.0","12812.0","6965.0","5847.0","7989.0","1903.0","6086.0","6843.0","1717.0","5126.0","1146.0","186.0","960.0","4552.0","2424.0","2128.0"
"GA","9.0","16521.0","8214.0","8307.0","12403.0","4932.0","7471.0","4118.0","3282.0","836.0","3004.0","945.0","2059.0","2645.0","862.0","1783.0","359.0","83.0","276.0","1443.0","647.0","796.0"
"GU","1.0","1356.0","126.0","1230.0","332.0","37.0","295.0","1024.0","89.0","935.0","67.0","0.0","67.0","24.0","0.0","24.0","43.0","0.0","43.0","36.0","6.0","30.0"
