"CoC Number","CoC Name","Total Homeless, 2016","Sheltered Homeless, 2016","Unsheltered Homeless, 2016","Homeless Individuals, 2016","Sheltered Homeless Individuals, 2016","Unsheltered Homeless Individuals, 2016","Homeless People in Families, 2016","Sheltered Homeless People in Families, 2016","Unsheltered Homeless People in Families, 2016","Chronically Homeless, 2016","Sheltered Chronically Homeless, 2016","Unsheltered Chronically Homeless, 2016","Chronically Homeless Individuals, 2016","Sheltered Chronically Homeless Individuals, 2016","Unsheltered Chronically Homeless Individuals, 2016","Chronically Homeless People in Families, 2016","Sheltered Chronically Homeless People in Families, 2016","Unsheltered Chronically Homeless People in Families, 2016","Homeless Veterans, 2016","Sheltered Homeless Veterans, 2016","Unsheltered Homeless Veterans, 2016","Homeless Unaccompanied Youth (Under 25), 2016","Sheltered Homeless Unaccompanied Youth (Under 25), 2016","Unsheltered Homeless Unaccompanied Youth (Under 25), 2016","Homeless Unaccompanied Children (Under 18), 2016","Sheltered Homeless Unaccompanied Children (Under 18), 2016","Unsheltered Homeless Unaccompanied Children (Under 18), 2016","Homeless Unaccompanied Young Adults (Age 18-24), 2016","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Parenting Youth (Under 25), 2016","Sheltered Parenting Youth (Under 25), 2016","Unsheltered Parenting Youth (Under 25), 2016","Parenting Youth Under 18, 2016","Sheltered Parenting Youth Under 18, 2016","Unsheltered Parenting Youth Under 18, 2016","Parenting Youth Age 18-24, 2016","Sheltered Parenting Youth Age 18-24, 2016","Unsheltered Parenting Youth Age 18-24, 2016","Children of Parenting Youth, 2016","Sheltered Children of Parenting Youth, 2016","Unsheltered Children of Parenting Youth, 2016"
"AK-500","Anchorage CoC","1105.0","865.0","240.0","905.0","665.0","240.0","200.0","200.0","0.0","50.0","48.0","2.0","48.0","46.0","2.0","2.0","2.0","0.0","89.0","60.0","29.0","94.0","84.0","10.0","3.0","3.0","0.0","91.0","81.0","10.0","6.0","6.0","0.0","0.0","0.0","0.0","6.0","6.0","0.0","6.0","6.0","0.0"
"AK-501","Alaska Balance of State CoC","835.0","633.0","202.0","622.0","424.0","198.0","213.0","209.0","4.0","72.0","46.0","26.0","64.0","38.0","26.0","8.0","8.0","0.0","79.0","52.0","27.0","79.0","53.0","26.0","16.0","16.0","0.0","63.0","37.0","26.0","3.0","3.0","0.0","0.0","0.0","0.0","3.0","3.0","0.0","4.0","4.0","0.0"
"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","1228.0","1032.0","196.0","927.0","743.0","184.0","301.0","289.0","12.0","92.0","29.0","63.0","92.0","29.0","63.0","0.0","0.0","0.0","158.0","156.0","2.0","110.0","88.0","22.0","9.0","9.0","0.0","101.0","79.0","22.0","12.0","12.0","0.0","5.0","5.0","0.0","7.0","7.0","0.0","19.0","19.0","0.0"
"AL-501","Mobile City & County/Baldwin County CoC","623.0","387.0","236.0","477.0","253.0","224.0","146.0","134.0","12.0","80.0","30.0","50.0","80.0","30.0","50.0","0.0","0.0","0.0","66.0","56.0","10.0","16.0","11.0","5.0","0.0","0.0","0.0","16.0","11.0","5.0","7.0","6.0","1.0","0.0","0.0","0.0","7.0","6.0","1.0","9.0","8.0","1.0"
"AL-502","Florence/Northwest Alabama CoC","337.0","286.0","51.0","194.0","155.0","39.0","143.0","131.0","12.0","39.0","20.0","19.0","32.0","13.0","19.0","7.0","7.0","0.0","19.0","17.0","2.0","4.0","2.0","2.0","0.0","0.0","0.0","4.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AL-503","Huntsville/North Alabama CoC","385.0","298.0","87.0","283.0","196.0","87.0","102.0","102.0","0.0","102.0","59.0","43.0","100.0","57.0","43.0","2.0","2.0","0.0","29.0","21.0","8.0","33.0","18.0","15.0","3.0","3.0","0.0","30.0","15.0","15.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","2.0","2.0","0.0"
"AL-504","Montgomery City & County CoC","367.0","293.0","74.0","285.0","214.0","71.0","82.0","79.0","3.0","28.0","18.0","10.0","28.0","18.0","10.0","0.0","0.0","0.0","41.0","40.0","1.0","10.0","10.0","0.0","0.0","0.0","0.0","10.0","10.0","0.0","3.0","2.0","1.0","0.0","0.0","0.0","3.0","2.0","1.0","6.0","5.0","1.0"
"AL-505","Gadsden/Northeast Alabama CoC","167.0","91.0","76.0","133.0","70.0","63.0","34.0","21.0","13.0","22.0","11.0","11.0","22.0","11.0","11.0","0.0","0.0","0.0","13.0","5.0","8.0","18.0","16.0","2.0","14.0","14.0","0.0","4.0","2.0","2.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","0.0"
"AL-506","Tuscaloosa City & County CoC","177.0","47.0","130.0","105.0","33.0","72.0","72.0","14.0","58.0","13.0","0.0","13.0","1.0","0.0","1.0","12.0","0.0","12.0","19.0","17.0","2.0","12.0","0.0","12.0","0.0","0.0","0.0","12.0","0.0","12.0","2.0","1.0","1.0","0.0","0.0","0.0","2.0","1.0","1.0","3.0","2.0","1.0"
"AL-507","Alabama Balance of State CoC","827.0","459.0","368.0","615.0","353.0","262.0","212.0","106.0","106.0","44.0","5.0","39.0","35.0","5.0","30.0","9.0","0.0","9.0","28.0","9.0","19.0","51.0","28.0","23.0","2.0","2.0","0.0","49.0","26.0","23.0","5.0","2.0","3.0","0.0","0.0","0.0","5.0","2.0","3.0","5.0","2.0","3.0"
