"CoC Number","CoC Name","Total Homeless, 2016","Sheltered Homeless, 2016","Unsheltered Homeless, 2016","Homeless Individuals, 2016","Sheltered Homeless Individuals, 2016","Unsheltered Homeless Individuals, 2016","Homeless People in Families, 2016","Sheltered Homeless People in Families, 2016","Unsheltered Homeless People in Families, 2016","Chronically Homeless, 2016","Sheltered Chronically Homeless, 2016","Unsheltered Chronically Homeless, 2016","Chronically Homeless Individuals, 2016","Sheltered Chronically Homeless Individuals, 2016","Unsheltered Chronically Homeless Individuals, 2016","Chronically Homeless People in Families, 2016","Sheltered Chronically Homeless People in Families, 2016","Unsheltered Chronically Homeless People in Families, 2016","Homeless Veterans, 2016","Sheltered Homeless Veterans, 2016","Unsheltered Homeless Veterans, 2016","Homeless Unaccompanied Youth (Under 25), 2016","Sheltered Homeless Unaccompanied Youth (Under 25), 2016","Unsheltered Homeless Unaccompanied Youth (Under 25), 2016","Homeless Unaccompanied Children (Under 18), 2016","Sheltered Homeless Unaccompanied Children (Under 18), 2016","Unsheltered Homeless Unaccompanied Children (Under 18), 2016","Homeless Unaccompanied Young Adults (Age 18-24), 2016","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Parenting Youth (Under 25), 2016","Sheltered Parenting Youth (Under 25), 2016","Unsheltered Parenting Youth (Under 25), 2016","Parenting Youth Under 18, 2016","Sheltered Parenting Youth Under 18, 2016","Unsheltered Parenting Youth Under 18, 2016","Parenting Youth Age 18-24, 2016","Sheltered Parenting Youth Age 18-24, 2016","Unsheltered Parenting Youth Age 18-24, 2016","Children of Parenting Youth, 2016","Sheltered Children of Parenting Youth, 2016","Unsheltered Children of Parenting Youth, 2016"
"AR-500","Little Rock/Central Arkansas CoC","808.0","469.0","339.0","742.0","408.0","334.0","66.0","61.0","5.0","208.0","66.0","142.0","206.0","66.0","140.0","2.0","0.0","2.0","121.0","84.0","37.0","39.0","28.0","11.0","3.0","3.0","0.0","36.0","25.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AR-501","Fayetteville/Northwest Arkansas CoC","550.0","489.0","61.0","359.0","302.0","57.0","191.0","187.0","4.0","90.0","60.0","30.0","76.0","50.0","26.0","14.0","10.0","4.0","56.0","45.0","11.0","45.0","34.0","11.0","32.0","32.0","0.0","13.0","2.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AR-503","Arkansas  Balance of State  CoC","734.0","369.0","365.0","519.0","272.0","247.0","215.0","97.0","118.0","89.0","22.0","67.0","81.0","20.0","61.0","8.0","2.0","6.0","22.0","14.0","8.0","82.0","21.0","61.0","0.0","0.0","0.0","82.0","21.0","61.0","4.0","4.0","0.0","0.0","0.0","0.0","4.0","4.0","0.0","4.0","4.0","0.0"
"AR-504","Delta Hills CoC","89.0","89.0","0.0","27.0","27.0","0.0","62.0","62.0","0.0","24.0","24.0","0.0","0.0","0.0","0.0","24.0","24.0","0.0","0.0","0.0","0.0","11.0","11.0","0.0","0.0","0.0","0.0","11.0","11.0","0.0","7.0","7.0","0.0","0.0","0.0","0.0","7.0","7.0","0.0","7.0","7.0","0.0"
"AR-505","Southeast Arkansas","89.0","78.0","11.0","46.0","40.0","6.0","43.0","38.0","5.0","26.0","26.0","0.0","1.0","1.0","0.0","25.0","25.0","0.0","2.0","2.0","0.0","19.0","19.0","0.0","14.0","14.0","0.0","5.0","5.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","2.0","2.0","0.0"
"AR-508","Old Fort Homeless Coalition","166.0","111.0","55.0","131.0","88.0","43.0","35.0","23.0","12.0","54.0","24.0","30.0","48.0","24.0","24.0","6.0","0.0","6.0","18.0","14.0","4.0","5.0","4.0","1.0","0.0","0.0","0.0","5.0","4.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AR-512","Boone, Baxter, Marion, Newton Counties CoC","27.0","11.0","16.0","14.0","3.0","11.0","13.0","8.0","5.0","12.0","4.0","8.0","5.0","2.0","3.0","7.0","2.0","5.0","3.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AZ-500","Arizona Balance of State CoC","2240.0","1023.0","1217.0","1734.0","658.0","1076.0","506.0","365.0","141.0","437.0","43.0","394.0","407.0","36.0","371.0","30.0","7.0","23.0","305.0","112.0","193.0","98.0","64.0","34.0","18.0","17.0","1.0","80.0","47.0","33.0","15.0","15.0","0.0","1.0","1.0","0.0","14.0","14.0","0.0","19.0","19.0","0.0"
"AZ-501","Tucson/Pima County CoC","1765.0","1384.0","381.0","1305.0","926.0","379.0","460.0","458.0","2.0","213.0","93.0","120.0","211.0","91.0","120.0","2.0","2.0","0.0","281.0","232.0","49.0","121.0","107.0","14.0","16.0","15.0","1.0","105.0","92.0","13.0","44.0","44.0","0.0","0.0","0.0","0.0","44.0","44.0","0.0","60.0","60.0","0.0"
"AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","5702.0","4056.0","1646.0","3620.0","1980.0","1640.0","2082.0","2076.0","6.0","745.0","332.0","413.0","709.0","296.0","413.0","36.0","36.0","0.0","450.0","319.0","131.0","370.0","260.0","110.0","66.0","60.0","6.0","304.0","200.0","104.0","91.0","91.0","0.0","0.0","0.0","0.0","91.0","91.0","0.0","143.0","143.0","0.0"
"CA-500","San Jose/Santa Clara City & County CoC","6524.0","1897.0","4627.0","5585.0","1021.0","4564.0","939.0","876.0","63.0","2146.0","128.0","2018.0","2095.0","110.0","1985.0","51.0","18.0","33.0","701.0","255.0","446.0","885.0","105.0","780.0","50.0","9.0","41.0","835.0","96.0","739.0","53.0","47.0","6.0","0.0","0.0","0.0","53.0","47.0","6.0","55.0","49.0","6.0"
"CA-501","San Francisco CoC","6996.0","2638.0","4358.0","6309.0","1984.0","4325.0","687.0","654.0","33.0","1932.0","718.0","1214.0","1805.0","616.0","1189.0","127.0","102.0","25.0","580.0","228.0","352.0","1488.0","125.0","1363.0","131.0","12.0","119.0","1357.0","113.0","1244.0","77.0","72.0","5.0","0.0","0.0","0.0","77.0","72.0","5.0","103.0","88.0","15.0"
"CA-502","Oakland/Alameda County CoC","4145.0","1748.0","2397.0","3148.0","995.0","2153.0","997.0","753.0","244.0","753.0","214.0","539.0","668.0","167.0","501.0","85.0","47.0","38.0","401.0","170.0","231.0","271.0","200.0","71.0","11.0","11.0","0.0","260.0","189.0","71.0","65.0","65.0","0.0","0.0","0.0","0.0","65.0","65.0","0.0","71.0","71.0","0.0"
"CA-503","Sacramento City & County CoC","2500.0","1552.0","948.0","1921.0","1010.0","911.0","579.0","542.0","37.0","540.0","222.0","318.0","507.0","194.0","313.0","33.0","28.0","5.0","308.0","166.0","142.0","250.0","100.0","150.0","6.0","2.0","4.0","244.0","98.0","146.0","47.0","47.0","0.0","0.0","0.0","0.0","47.0","47.0","0.0","64.0","64.0","0.0"
"CA-504","Santa Rosa/Petaluma/Sonoma County CoC","2906.0","1000.0","1906.0","2517.0","631.0","1886.0","389.0","369.0","20.0","747.0","192.0","555.0","699.0","150.0","549.0","48.0","42.0","6.0","274.0","54.0","220.0","664.0","64.0","600.0","98.0","1.0","97.0","566.0","63.0","503.0","4.0","4.0","0.0","2.0","2.0","0.0","2.0","2.0","0.0","5.0","5.0","0.0"
"CA-505","Richmond/Contra Costa County CoC","1730.0","620.0","1110.0","1366.0","385.0","981.0","364.0","235.0","129.0","384.0","164.0","220.0","346.0","145.0","201.0","38.0","19.0","19.0","136.0","51.0","85.0","91.0","40.0","51.0","6.0","5.0","1.0","85.0","35.0","50.0","21.0","13.0","8.0","0.0","0.0","0.0","21.0","13.0","8.0","21.0","14.0","7.0"
"CA-506","Salinas/Monterey, San Benito Counties CoC","3022.0","915.0","2107.0","2536.0","442.0","2094.0","486.0","473.0","13.0","660.0","98.0","562.0","631.0","69.0","562.0","29.0","29.0","0.0","204.0","83.0","121.0","322.0","50.0","272.0","46.0","0.0","46.0","276.0","50.0","226.0","29.0","29.0","0.0","0.0","0.0","0.0","29.0","29.0","0.0","29.0","29.0","0.0"
"CA-507","Marin County CoC","1258.0","423.0","835.0","1070.0","244.0","826.0","188.0","179.0","9.0","257.0","24.0","233.0","257.0","24.0","233.0","0.0","0.0","0.0","78.0","37.0","41.0","354.0","3.0","351.0","6.0","0.0","6.0","348.0","3.0","345.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CA-508","Watsonville/Santa Cruz City & County CoC","1959.0","605.0","1354.0","1454.0","306.0","1148.0","505.0","299.0","206.0","573.0","156.0","417.0","498.0","123.0","375.0","75.0","33.0","42.0","146.0","33.0","113.0","303.0","54.0","249.0","32.0","4.0","28.0","271.0","50.0","221.0","34.0","20.0","14.0","0.0","0.0","0.0","34.0","20.0","14.0","42.0","21.0","21.0"
"CA-509","Mendocino County CoC","1242.0","192.0","1050.0","1147.0","140.0","1007.0","95.0","52.0","43.0","177.0","76.0","101.0","177.0","76.0","101.0","0.0","0.0","0.0","19.0","5.0","14.0","236.0","21.0","215.0","0.0","0.0","0.0","236.0","21.0","215.0","3.0","2.0","1.0","0.0","0.0","0.0","3.0","2.0","1.0","3.0","2.0","1.0"
"CA-510","Turlock/Modesto/Stanislaus County CoC","1434.0","704.0","730.0","1147.0","485.0","662.0","287.0","219.0","68.0","361.0","114.0","247.0","238.0","106.0","132.0","123.0","8.0","115.0","74.0","39.0","35.0","108.0","46.0","62.0","10.0","10.0","0.0","98.0","36.0","62.0","14.0","9.0","5.0","4.0","4.0","0.0","10.0","5.0","5.0","14.0","9.0","5.0"
"CA-511","Stockton/San Joaquin County CoC","1780.0","1245.0","535.0","947.0","460.0","487.0","833.0","785.0","48.0","247.0","37.0","210.0","244.0","34.0","210.0","3.0","3.0","0.0","138.0","77.0","61.0","36.0","23.0","13.0","4.0","4.0","0.0","32.0","19.0","13.0","34.0","34.0","0.0","0.0","0.0","0.0","34.0","34.0","0.0","45.0","45.0","0.0"
"CA-512","Daly/San Mateo County CoC","1361.0","586.0","775.0","911.0","251.0","660.0","450.0","335.0","115.0","238.0","5.0","233.0","235.0","5.0","230.0","3.0","0.0","3.0","136.0","46.0","90.0","53.0","27.0","26.0","4.0","4.0","0.0","49.0","23.0","26.0","18.0","15.0","3.0","0.0","0.0","0.0","18.0","15.0","3.0","17.0","12.0","5.0"
"CA-513","Visalia, Kings, Tulare Counties CoC","792.0","326.0","466.0","646.0","199.0","447.0","146.0","127.0","19.0","251.0","20.0","231.0","241.0","13.0","228.0","10.0","7.0","3.0","37.0","4.0","33.0","50.0","29.0","21.0","0.0","0.0","0.0","50.0","29.0","21.0","5.0","5.0","0.0","0.0","0.0","0.0","5.0","5.0","0.0","8.0","8.0","0.0"
"CA-514","Fresno/Madera County CoC","1883.0","452.0","1431.0","1684.0","276.0","1408.0","199.0","176.0","23.0","546.0","18.0","528.0","529.0","18.0","511.0","17.0","0.0","17.0","228.0","84.0","144.0","101.0","44.0","57.0","2.0","2.0","0.0","99.0","42.0","57.0","25.0","25.0","0.0","1.0","1.0","0.0","24.0","24.0","0.0","30.0","30.0","0.0"
"CA-515","Roseville/Rocklin/Placer, Nevada Counties CoC","1021.0","522.0","499.0","861.0","437.0","424.0","160.0","85.0","75.0","347.0","110.0","237.0","313.0","93.0","220.0","34.0","17.0","17.0","67.0","24.0","43.0","66.0","25.0","41.0","1.0","0.0","1.0","65.0","25.0","40.0","3.0","3.0","0.0","0.0","0.0","0.0","3.0","3.0","0.0","3.0","3.0","0.0"
"CA-516","Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","1272.0","312.0","960.0","1065.0","224.0","841.0","207.0","88.0","119.0","425.0","57.0","368.0","394.0","49.0","345.0","31.0","8.0","23.0","98.0","32.0","66.0","151.0","21.0","130.0","7.0","0.0","7.0","144.0","21.0","123.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CA-517","Napa City & County CoC","317.0","199.0","118.0","235.0","127.0","108.0","82.0","72.0","10.0","98.0","57.0","41.0","94.0","53.0","41.0","4.0","4.0","0.0","22.0","8.0","14.0","24.0","20.0","4.0","0.0","0.0","0.0","24.0","20.0","4.0","5.0","5.0","0.0","1.0","1.0","0.0","4.0","4.0","0.0","10.0","10.0","0.0"
"CA-518","Vallejo/Solano County CoC","1118.0","323.0","795.0","955.0","177.0","778.0","163.0","146.0","17.0","259.0","41.0","218.0","252.0","38.0","214.0","7.0","3.0","4.0","119.0","54.0","65.0","114.0","6.0","108.0","9.0","0.0","9.0","105.0","6.0","99.0","3.0","2.0","1.0","1.0","1.0","0.0","2.0","1.0","1.0","5.0","4.0","1.0"
"CA-519","Chico/Paradise/Butte County CoC","574.0","289.0","285.0","440.0","157.0","283.0","134.0","132.0","2.0","251.0","45.0","206.0","238.0","32.0","206.0","13.0","13.0","0.0","49.0","22.0","27.0","69.0","33.0","36.0","4.0","4.0","0.0","65.0","29.0","36.0","2.0","2.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","5.0","5.0","0.0"
"CA-520","Merced City & County CoC","516.0","160.0","356.0","504.0","156.0","348.0","12.0","4.0","8.0","224.0","27.0","197.0","224.0","27.0","197.0","0.0","0.0","0.0","25.0","5.0","20.0","43.0","14.0","29.0","3.0","0.0","3.0","40.0","14.0","26.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CA-521","Davis/Woodland/Yolo County CoC","532.0","339.0","193.0","322.0","139.0","183.0","210.0","200.0","10.0","89.0","45.0","44.0","75.0","31.0","44.0","14.0","14.0","0.0","29.0","13.0","16.0","47.0","16.0","31.0","4.0","1.0","3.0","43.0","15.0","28.0","7.0","7.0","0.0","0.0","0.0","0.0","7.0","7.0","0.0","10.0","10.0","0.0"
"CA-522","Humboldt County CoC","1134.0","198.0","936.0","989.0","100.0","889.0","145.0","98.0","47.0","377.0","0.0","377.0","362.0","0.0","362.0","15.0","0.0","15.0","131.0","39.0","92.0","102.0","18.0","84.0","22.0","18.0","4.0","80.0","0.0","80.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CA-523","Colusa, Glenn, Trinity Counties CoC","115.0","35.0","80.0","71.0","4.0","67.0","44.0","31.0","13.0","33.0","3.0","30.0","31.0","1.0","30.0","2.0","2.0","0.0","7.0","0.0","7.0","4.0","0.0","4.0","0.0","0.0","0.0","4.0","0.0","4.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","0.0"
"CA-524","Yuba City & County/Sutter County CoC","702.0","191.0","511.0","387.0","75.0","312.0","315.0","116.0","199.0","233.0","35.0","198.0","70.0","31.0","39.0","163.0","4.0","159.0","21.0","1.0","20.0","73.0","7.0","66.0","23.0","1.0","22.0","50.0","6.0","44.0","9.0","5.0","4.0","1.0","1.0","0.0","8.0","4.0","4.0","23.0","8.0","15.0"
"CA-525","El Dorado County CoC","269.0","121.0","148.0","192.0","100.0","92.0","77.0","21.0","56.0","139.0","48.0","91.0","95.0","45.0","50.0","44.0","3.0","41.0","17.0","6.0","11.0","15.0","10.0","5.0","6.0","6.0","0.0","9.0","4.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CA-526","Amador, Calaveras, Tuolumne and Mariposa Counties CoC","632.0","151.0","481.0","509.0","67.0","442.0","123.0","84.0","39.0","129.0","3.0","126.0","129.0","3.0","126.0","0.0","0.0","0.0","35.0","14.0","21.0","45.0","3.0","42.0","0.0","0.0","0.0","45.0","3.0","42.0","3.0","1.0","2.0","0.0","0.0","0.0","3.0","1.0","2.0","4.0","2.0","2.0"
"CA-527","Tehama County CoC","133.0","73.0","60.0","103.0","48.0","55.0","30.0","25.0","5.0","31.0","8.0","23.0","29.0","8.0","21.0","2.0","0.0","2.0","16.0","8.0","8.0","5.0","1.0","4.0","0.0","0.0","0.0","5.0","1.0","4.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","0.0"
"CA-529","Lake County CoC","332.0","44.0","288.0","210.0","2.0","208.0","122.0","42.0","80.0","24.0","24.0","0.0","12.0","12.0","0.0","12.0","12.0","0.0","21.0","0.0","21.0","7.0","2.0","5.0","1.0","0.0","1.0","6.0","2.0","4.0","5.0","5.0","0.0","0.0","0.0","0.0","5.0","5.0","0.0","7.0","7.0","0.0"
"CA-530","Inyo, Mono, Alpine Counties CoC","130.0","11.0","119.0","110.0","1.0","109.0","20.0","10.0","10.0","33.0","0.0","33.0","31.0","0.0","31.0","2.0","0.0","2.0","8.0","0.0","8.0","2.0","0.0","2.0","0.0","0.0","0.0","2.0","0.0","2.0","3.0","3.0","0.0","0.0","0.0","0.0","3.0","3.0","0.0","7.0","7.0","0.0"
"CA-600","Los Angeles City & County CoC","43854.0","11073.0","32781.0","37726.0","6776.0","30950.0","6128.0","4297.0","1831.0","13468.0","660.0","12808.0","12970.0","616.0","12354.0","498.0","44.0","454.0","2728.0","1243.0","1485.0","3086.0","814.0","2272.0","125.0","42.0","83.0","2961.0","772.0","2189.0","196.0","148.0","48.0","0.0","0.0","0.0","196.0","148.0","48.0","258.0","190.0","68.0"
"CA-601","San Diego City and County CoC","8669.0","3729.0","4940.0","6955.0","2297.0","4658.0","1714.0","1432.0","282.0","1417.0","309.0","1108.0","1345.0","258.0","1087.0","72.0","51.0","21.0","1156.0","584.0","572.0","830.0","257.0","573.0","145.0","31.0","114.0","685.0","226.0","459.0","82.0","82.0","0.0","0.0","0.0","0.0","82.0","82.0","0.0","106.0","106.0","0.0"
"CA-602","Santa Ana/Anaheim/Orange County CoC","4319.0","2118.0","2201.0","3028.0","833.0","2195.0","1291.0","1285.0","6.0","716.0","269.0","447.0","711.0","264.0","447.0","5.0","5.0","0.0","455.0","99.0","356.0","145.0","40.0","105.0","14.0","12.0","2.0","131.0","28.0","103.0","32.0","32.0","0.0","0.0","0.0","0.0","32.0","32.0","0.0","42.0","42.0","0.0"
"CA-603","Santa Maria/Santa Barbara County CoC","1813.0","923.0","890.0","1385.0","577.0","808.0","428.0","346.0","82.0","453.0","122.0","331.0","426.0","122.0","304.0","27.0","0.0","27.0","122.0","43.0","79.0","133.0","75.0","58.0","9.0","7.0","2.0","124.0","68.0","56.0","9.0","9.0","0.0","0.0","0.0","0.0","9.0","9.0","0.0","10.0","10.0","0.0"
"CA-604","Bakersfield/Kern County CoC","1067.0","561.0","506.0","875.0","381.0","494.0","192.0","180.0","12.0","272.0","65.0","207.0","254.0","53.0","201.0","18.0","12.0","6.0","99.0","65.0","34.0","89.0","31.0","58.0","0.0","0.0","0.0","89.0","31.0","58.0","5.0","5.0","0.0","0.0","0.0","0.0","5.0","5.0","0.0","11.0","11.0","0.0"
"CA-606","Long Beach CoC","2250.0","737.0","1513.0","1908.0","547.0","1361.0","342.0","190.0","152.0","838.0","89.0","749.0","800.0","86.0","714.0","38.0","3.0","35.0","289.0","195.0","94.0","69.0","19.0","50.0","1.0","0.0","1.0","68.0","19.0","49.0","9.0","6.0","3.0","0.0","0.0","0.0","9.0","6.0","3.0","14.0","11.0","3.0"
"CA-607","Pasadena CoC","530.0","178.0","352.0","453.0","104.0","349.0","77.0","74.0","3.0","201.0","47.0","154.0","193.0","39.0","154.0","8.0","8.0","0.0","44.0","13.0","31.0","38.0","5.0","33.0","1.0","0.0","1.0","37.0","5.0","32.0","2.0","2.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","3.0","3.0","0.0"
"CA-608","Riverside City & County CoC","2165.0","814.0","1351.0","1900.0","579.0","1321.0","265.0","235.0","30.0","378.0","77.0","301.0","369.0","70.0","299.0","9.0","7.0","2.0","211.0","111.0","100.0","157.0","75.0","82.0","17.0","16.0","1.0","140.0","59.0","81.0","10.0","9.0","1.0","0.0","0.0","0.0","10.0","9.0","1.0","13.0","12.0","1.0"
"CA-609","San Bernardino City & County CoC","1887.0","696.0","1191.0","1422.0","297.0","1125.0","465.0","399.0","66.0","405.0","20.0","385.0","376.0","16.0","360.0","29.0","4.0","25.0","122.0","29.0","93.0","169.0","46.0","123.0","25.0","7.0","18.0","144.0","39.0","105.0","15.0","12.0","3.0","0.0","0.0","0.0","15.0","12.0","3.0","25.0","19.0","6.0"
"CA-611","Oxnard/San Buenaventura/Ventura County CoC","1271.0","494.0","777.0","1011.0","363.0","648.0","260.0","131.0","129.0","303.0","42.0","261.0","296.0","42.0","254.0","7.0","0.0","7.0","78.0","21.0","57.0","78.0","35.0","43.0","10.0","4.0","6.0","68.0","31.0","37.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","3.0","3.0","0.0"
"CA-612","Glendale CoC","240.0","185.0","55.0","176.0","133.0","43.0","64.0","52.0","12.0","115.0","80.0","35.0","95.0","65.0","30.0","20.0","15.0","5.0","10.0","2.0","8.0","6.0","4.0","2.0","0.0","0.0","0.0","6.0","4.0","2.0","3.0","3.0","0.0","0.0","0.0","0.0","3.0","3.0","0.0","3.0","3.0","0.0"
"CA-613","Imperial County CoC","380.0","128.0","252.0","280.0","28.0","252.0","100.0","100.0","0.0","60.0","0.0","60.0","60.0","0.0","60.0","0.0","0.0","0.0","12.0","1.0","11.0","37.0","6.0","31.0","0.0","0.0","0.0","37.0","6.0","31.0","13.0","13.0","0.0","0.0","0.0","0.0","13.0","13.0","0.0","13.0","13.0","0.0"
"CA-614","San Luis Obispo County CoC","1368.0","245.0","1123.0","1200.0","162.0","1038.0","168.0","83.0","85.0","418.0","9.0","409.0","388.0","6.0","382.0","30.0","3.0","27.0","161.0","48.0","113.0","406.0","17.0","389.0","14.0","0.0","14.0","392.0","17.0","375.0","14.0","7.0","7.0","0.0","0.0","0.0","14.0","7.0","7.0","14.0","7.0","7.0"
