"State","Number of CoCs","Total Homeless, 2008","Sheltered Homeless, 2008","Unsheltered Homeless, 2008","Homeless Individuals, 2008","Sheltered Homeless Individuals, 2008","Unsheltered Homeless Individuals, 2008","Homeless People in Families, 2008","Sheltered Homeless People in Families, 2008","Unsheltered Homeless People in Families, 2008","Chronically Homeless Individuals, 2008","Sheltered Chronically Homeless Individuals, 2008","Unsheltered Chronically Homeless Individuals, 2008","Homeless Veterans, 2008","Sheltered Homeless Veterans, 2008","Unsheltered Homeless Veterans, 2008"
"AK","2.0","1646.0","1452.0","194.0","1067.0","912.0","155.0","579.0","540.0","39.0","439.0","355.0","84.0","218.0","189.0","29.0"
"AL","8.0","5387.0","3843.0","1544.0","4086.0","2803.0","1283.0","1301.0","1040.0","261.0","1052.0","579.0","473.0","801.0","677.0","124.0"
"AR","6.0","3255.0","2020.0","1235.0","2625.0","1617.0","1008.0","630.0","403.0","227.0","893.0","492.0","401.0","235.0","219.0","16.0"
"AZ","3.0","12488.0","6970.0","5518.0","8428.0","3376.0","5052.0","4060.0","3594.0","466.0","3097.0","1223.0","1874.0","736.0","736.0","0.0"
"CA","42.0","136531.0","46965.0","89566.0","109050.0","28505.0","80545.0","27481.0","18460.0","9021.0","40254.0","6206.0","34048.0","17276.0","5735.0","11541.0"
"CO","3.0","14747.0","6877.0","7870.0","6260.0","2984.0","3276.0","8487.0","3893.0","4594.0","1082.0","449.0","633.0","1608.0","915.0","693.0"
"CT","12.0","4627.0","4020.0","607.0","2773.0","2185.0","588.0","1854.0","1835.0","19.0","875.0","578.0","297.0","524.0","401.0","123.0"
"DC","1.0","6044.0","5666.0","378.0","4208.0","3830.0","378.0","1836.0","1836.0","0.0","2184.0","1840.0","344.0","667.0","641.0","26.0"
"DE","1.0","933.0","862.0","71.0","652.0","581.0","71.0","281.0","281.0","0.0","248.0","221.0","27.0","127.0","108.0","19.0"
"FL","28.0","50158.0","20724.0","29434.0","32959.0","12331.0","20628.0","17199.0","8393.0","8806.0","8578.0","2555.0","6023.0","5780.0","2691.0","3089.0"
"GA","7.0","19095.0","8865.0","10230.0","13728.0","5716.0","8012.0","5367.0","3149.0","2218.0","2671.0","1037.0","1634.0","3336.0","1921.0","1415.0"
"GU","1.0","725.0","103.0","622.0","254.0","53.0","201.0","471.0","50.0","421.0","50.0","39.0","11.0","3.0","3.0","0.0"
"HI","2.0","6061.0","2703.0","3358.0","3326.0","1091.0","2235.0","2735.0","1612.0","1123.0","778.0","132.0","646.0","223.0","223.0","0.0"
"IA","3.0","3346.0","3087.0","259.0","1609.0","1421.0","188.0","1737.0","1666.0","71.0","277.0","225.0","52.0","284.0","271.0","13.0"
"ID","2.0","1464.0","1250.0","214.0","817.0","657.0","160.0","647.0","593.0","54.0","46.0","11.0","35.0","131.0","78.0","53.0"
"IL","21.0","14724.0","11480.0","3244.0","8356.0","5697.0","2659.0","6368.0","5783.0","585.0","2557.0","1436.0","1121.0","1286.0","839.0","447.0"
"IN","3.0","7395.0","5923.0","1472.0","4937.0","3617.0","1320.0","2458.0","2306.0","152.0","696.0","249.0","447.0","535.0","455.0","80.0"
