"State","Number of CoCs","Total Homeless, 2008","Sheltered Homeless, 2008","Unsheltered Homeless, 2008","Homeless Individuals, 2008","Sheltered Homeless Individuals, 2008","Unsheltered Homeless Individuals, 2008","Homeless People in Families, 2008","Sheltered Homeless People in Families, 2008","Unsheltered Homeless People in Families, 2008","Chronically Homeless Individuals, 2008","Sheltered Chronically Homeless Individuals, 2008","Unsheltered Chronically Homeless Individuals, 2008","Homeless Veterans, 2008","Sheltered Homeless Veterans, 2008","Unsheltered Homeless Veterans, 2008"
"KS","5.0","1738.0","1500.0","238.0","1080.0","897.0","183.0","658.0","603.0","55.0","177.0","132.0","45.0","313.0","295.0","18.0"
"KY","3.0","8137.0","6195.0","1942.0","4344.0","3247.0","1097.0","3793.0","2948.0","845.0","642.0","380.0","262.0","1046.0","944.0","102.0"
"LA","9.0","5481.0","3700.0","1781.0","2894.0","1905.0","989.0","2587.0","1795.0","792.0","613.0","177.0","436.0","432.0","305.0","127.0"
"MA","21.0","14506.0","13437.0","1069.0","7127.0","6223.0","904.0","7379.0","7214.0","165.0","2352.0","1830.0","522.0","1302.0","1262.0","40.0"
"MD","16.0","9219.0","6054.0","3165.0","4806.0","3335.0","1471.0","4413.0","2719.0","1694.0","1489.0","729.0","760.0","541.0","499.0","42.0"
"ME","3.0","2632.0","2588.0","44.0","1241.0","1201.0","40.0","1391.0","1387.0","4.0","132.0","123.0","9.0","89.0","89.0","0.0"
"MI","22.0","28248.0","11781.0","16467.0","17364.0","7014.0","10350.0","10884.0","4767.0","6117.0","2771.0","1084.0","1687.0","832.0","715.0","117.0"
"MN","11.0","7644.0","6270.0","1374.0","3388.0","2317.0","1071.0","4256.0","3953.0","303.0","1537.0","1052.0","485.0","595.0","477.0","118.0"
"MO","8.0","7687.0","5607.0","2080.0","4195.0","2784.0","1411.0","3492.0","2823.0","669.0","1226.0","903.0","323.0","377.0","312.0","65.0"
"MP","0.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MS","3.0","1961.0","1206.0","755.0","1697.0","948.0","749.0","264.0","258.0","6.0","877.0","417.0","460.0","197.0","194.0","3.0"
"MT","1.0","1417.0","1007.0","410.0","968.0","617.0","351.0","449.0","390.0","59.0","138.0","46.0","92.0","247.0","138.0","109.0"
"NC","13.0","12411.0","8025.0","4386.0","8749.0","5337.0","3412.0","3662.0","2688.0","974.0","1827.0","964.0","863.0","1096.0","724.0","372.0"
"ND","1.0","615.0","596.0","19.0","375.0","362.0","13.0","240.0","234.0","6.0","51.0","50.0","1.0","78.0","75.0","3.0"
"NE","7.0","3985.0","3227.0","758.0","2244.0","1824.0","420.0","1741.0","1403.0","338.0","707.0","627.0","80.0","144.0","123.0","21.0"
"NH","3.0","2019.0","1535.0","484.0","1172.0","785.0","387.0","847.0","750.0","97.0","437.0","297.0","140.0","208.0","115.0","93.0"
"NJ","20.0","13832.0","11860.0","1972.0","6848.0","5421.0","1427.0","6984.0","6439.0","545.0","1269.0","968.0","301.0","847.0","648.0","199.0"
"NM","2.0","3015.0","1748.0","1267.0","1861.0","1063.0","798.0","1154.0","685.0","469.0","711.0","245.0","466.0","163.0","163.0","0.0"
"NV","3.0","8726.0","4863.0","3863.0","6512.0","3658.0","2854.0","2214.0","1205.0","1009.0","954.0","224.0","730.0","1632.0","912.0","720.0"
"NY","29.0","61125.0","56516.0","4609.0","25771.0","21304.0","4467.0","35354.0","35212.0","142.0","5089.0","2071.0","3018.0","4234.0","4230.0","4.0"
"OH","9.0","12912.0","10377.0","2535.0","7865.0","6116.0","1749.0","5047.0","4261.0","786.0","2252.0","1673.0","579.0","1033.0","964.0","69.0"
"OK","8.0","3846.0","2803.0","1043.0","2674.0","1905.0","769.0","1172.0","898.0","274.0","561.0","331.0","230.0","354.0","299.0","55.0"
"OR","8.0","20653.0","9946.0","10707.0","11548.0","5260.0","6288.0","9105.0","4686.0","4419.0","3346.0","1502.0","1844.0","767.0","523.0","244.0"
"PA","17.0","15378.0","14079.0","1299.0","7734.0","6541.0","1193.0","7644.0","7538.0","106.0","1622.0","859.0","763.0","1101.0","971.0","130.0"
"PR","2.0","3012.0","810.0","2202.0","2668.0","663.0","2005.0","344.0","147.0","197.0","2917.0","1026.0","1891.0","157.0","65.0","92.0"
"RI","1.0","1196.0","1142.0","54.0","714.0","660.0","54.0","482.0","482.0","0.0","245.0","208.0","37.0","99.0","87.0","12.0"
"SC","5.0","5660.0","3086.0","2574.0","3809.0","2031.0","1778.0","1851.0","1055.0","796.0","743.0","398.0","345.0","475.0","350.0","125.0"
"SD","1.0","579.0","538.0","41.0","268.0","235.0","33.0","311.0","303.0","8.0","104.0","79.0","25.0","108.0","106.0","2.0"
"TN","10.0","9705.0","5660.0","4045.0","7242.0","3829.0","3413.0","2463.0","1831.0","632.0","3364.0","1438.0","1926.0","903.0","672.0","231.0"
"TX","18.0","40190.0","24080.0","16110.0","27950.0","14095.0","13855.0","12240.0","9985.0","2255.0","8844.0","3656.0","5188.0","5982.0","3428.0","2554.0"
"UT","3.0","3434.0","3178.0","256.0","2018.0","1762.0","256.0","1416.0","1416.0","0.0","702.0","446.0","256.0","218.0","199.0","19.0"
"VA","22.0","8469.0","6895.0","1574.0","4838.0","3541.0","1297.0","3631.0","3354.0","277.0","1678.0","967.0","711.0","898.0","710.0","188.0"
"VI","1.0","602.0","115.0","487.0","566.0","79.0","487.0","36.0","36.0","0.0","513.0","26.0","487.0","19.0","4.0","15.0"
"VT","2.0","954.0","696.0","258.0","627.0","401.0","226.0","327.0","295.0","32.0","234.0","115.0","119.0","32.0","19.0","13.0"
"WA","7.0","21954.0","15456.0","6498.0","12156.0","6831.0","5325.0","9798.0","8625.0","1173.0","3073.0","1974.0","1099.0","1330.0","1185.0","145.0"
"WI","4.0","5449.0","4934.0","515.0","2285.0","1975.0","310.0","3164.0","2959.0","205.0","687.0","480.0","207.0","481.0","464.0","17.0"
"WV","4.0","2016.0","1422.0","594.0","1435.0","993.0","442.0","581.0","429.0","152.0","387.0","264.0","123.0","104.0","98.0","6.0"
"WY","1.0","751.0","619.0","132.0","357.0","320.0","37.0","394.0","299.0","95.0","67.0","30.0","37.0","19.0","19.0","0.0"
"Total","448.0","639784.0","386361.0","253423.0","404525.0","204855.0","199670.0","235259.0","181506.0","53753.0","120115.0","45418.0","74697.0","62223.0","38485.0","23738.0"
