"CoC Number","CoC Name","Total Homeless, 2012","Sheltered Homeless, 2012","Unsheltered Homeless, 2012","Homeless Individuals, 2012","Sheltered Homeless Individuals, 2012","Unsheltered Homeless Individuals, 2012","Homeless People in Families, 2012","Sheltered Homeless People in Families, 2012","Unsheltered Homeless People in Families, 2012","Chronically Homeless, 2012","Sheltered Chronically Homeless, 2012","Unsheltered Chronically Homeless, 2012","Chronically Homeless Individuals, 2012","Sheltered Chronically Homeless Individuals, 2012","Unsheltered Chronically Homeless Individuals, 2012","Chronically Homeless People in Families, 2012","Sheltered Chronically Homeless People in Families, 2012","Unsheltered Chronically Homeless People in Families, 2012","Homeless Veterans, 2012","Sheltered Homeless Veterans, 2012","Unsheltered Homeless Veterans, 2012"
"AK-500","Anchorage CoC","1147.0","1097.0","50.0","791.0","756.0","35.0","356.0","341.0","15.0","114.0","109.0","5.0","113.0","108.0","5.0","1.0","1.0","0.0","174.0","167.0","7.0"
"AK-501","Alaska Balance of State CoC","766.0","619.0","147.0","507.0","401.0","106.0","259.0","218.0","41.0","165.0","154.0","11.0","160.0","149.0","11.0","5.0","5.0","0.0","82.0","60.0","22.0"
"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","1707.0","1009.0","698.0","1222.0","673.0","549.0","485.0","336.0","149.0","495.0","140.0","355.0","484.0","137.0","347.0","11.0","3.0","8.0","175.0","117.0","58.0"
"AL-501","Mobile City & County/Baldwin County CoC","634.0","324.0","310.0","422.0","155.0","267.0","212.0","169.0","43.0","75.0","17.0","58.0","75.0","17.0","58.0","0.0","0.0","0.0","52.0","12.0","40.0"
"AL-502","Florence/Northwest Alabama CoC","192.0","188.0","4.0","162.0","158.0","4.0","30.0","30.0","0.0","3.0","3.0","0.0","3.0","3.0","0.0","0.0","0.0","0.0","7.0","7.0","0.0"
"AL-503","Huntsville/North Alabama CoC","607.0","432.0","175.0","448.0","310.0","138.0","159.0","122.0","37.0","185.0","105.0","80.0","176.0","96.0","80.0","9.0","9.0","0.0","42.0","32.0","10.0"
"AL-504","Montgomery City & County CoC","487.0","343.0","144.0","383.0","248.0","135.0","104.0","95.0","9.0","82.0","15.0","67.0","76.0","15.0","61.0","6.0","0.0","6.0","67.0","40.0","27.0"
"AL-505","Gadsden/Northeast Alabama CoC","544.0","424.0","120.0","451.0","382.0","69.0","93.0","42.0","51.0","44.0","16.0","28.0","17.0","8.0","9.0","27.0","8.0","19.0","13.0","12.0","1.0"
"AL-506","Tuscaloosa City & County CoC","152.0","128.0","24.0","99.0","75.0","24.0","53.0","53.0","0.0","39.0","31.0","8.0","35.0","31.0","4.0","4.0","0.0","4.0","114.0","114.0","0.0"
"AL-507","Alabama Balance of State CoC","886.0","816.0","70.0","638.0","572.0","66.0","248.0","244.0","4.0","46.0","26.0","20.0","44.0","24.0","20.0","2.0","2.0","0.0","56.0","43.0","13.0"
