"CoC Number","CoC Name","Total Homeless, 2012","Sheltered Homeless, 2012","Unsheltered Homeless, 2012","Homeless Individuals, 2012","Sheltered Homeless Individuals, 2012","Unsheltered Homeless Individuals, 2012","Homeless People in Families, 2012","Sheltered Homeless People in Families, 2012","Unsheltered Homeless People in Families, 2012","Chronically Homeless, 2012","Sheltered Chronically Homeless, 2012","Unsheltered Chronically Homeless, 2012","Chronically Homeless Individuals, 2012","Sheltered Chronically Homeless Individuals, 2012","Unsheltered Chronically Homeless Individuals, 2012","Chronically Homeless People in Families, 2012","Sheltered Chronically Homeless People in Families, 2012","Unsheltered Chronically Homeless People in Families, 2012","Homeless Veterans, 2012","Sheltered Homeless Veterans, 2012","Unsheltered Homeless Veterans, 2012"
"AR-500","Little Rock/Central Arkansas CoC","1249.0","762.0","487.0","1065.0","578.0","487.0","184.0","184.0","0.0","123.0","76.0","47.0","119.0","72.0","47.0","4.0","4.0","0.0","266.0","156.0","110.0"
"AR-501","Fayetteville/Northwest Arkansas CoC","186.0","147.0","39.0","109.0","78.0","31.0","77.0","69.0","8.0","60.0","24.0","36.0","35.0","17.0","18.0","25.0","7.0","18.0","30.0","24.0","6.0"
"AR-503","Arkansas  Balance of State  CoC","1873.0","545.0","1328.0","1754.0","447.0","1307.0","119.0","98.0","21.0","167.0","49.0","118.0","134.0","43.0","91.0","33.0","6.0","27.0","56.0","21.0","35.0"
"AR-504","Delta Hills CoC","785.0","67.0","718.0","423.0","31.0","392.0","362.0","36.0","326.0","83.0","22.0","61.0","71.0","10.0","61.0","12.0","12.0","0.0","6.0","2.0","4.0"
"AR-505","Southeast Arkansas","64.0","64.0","0.0","43.0","43.0","0.0","21.0","21.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AR-512","Boone, Baxter, Marion, Newton Counties CoC","57.0","17.0","40.0","34.0","14.0","20.0","23.0","3.0","20.0","4.0","0.0","4.0","2.0","0.0","2.0","2.0","0.0","2.0","4.0","2.0","2.0"
"AZ-500","Arizona Balance of State CoC","2451.0","1722.0","729.0","1381.0","1085.0","296.0","1070.0","637.0","433.0","545.0","278.0","267.0","307.0","86.0","221.0","238.0","192.0","46.0","273.0","160.0","113.0"
"AZ-501","Tucson/Pima County CoC","2366.0","1757.0","609.0","1508.0","1021.0","487.0","858.0","736.0","122.0","395.0","171.0","224.0","366.0","160.0","206.0","29.0","11.0","18.0","353.0","242.0","111.0"
"AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","6485.0","4736.0","1749.0","3421.0","1680.0","1741.0","3064.0","3056.0","8.0","955.0","166.0","789.0","932.0","143.0","789.0","23.0","23.0","0.0","852.0","605.0","247.0"
"CA-500","San Jose/Santa Clara City & County CoC","7053.0","1884.0","5169.0","6270.0","1157.0","5113.0","783.0","727.0","56.0","2657.0","327.0","2330.0","2617.0","322.0","2295.0","40.0","5.0","35.0","667.0","152.0","515.0"
"CA-501","San Francisco CoC","5895.0","2524.0","3371.0","5177.0","1901.0","3276.0","718.0","623.0","95.0","1899.0","789.0","1110.0","1818.0","708.0","1110.0","81.0","81.0","0.0","774.0","344.0","430.0"
"CA-502","Oakland/Alameda County CoC","4257.0","2045.0","2212.0","3208.0","1136.0","2072.0","1049.0","909.0","140.0","1092.0","108.0","984.0","1041.0","99.0","942.0","51.0","9.0","42.0","440.0","95.0","345.0"
"CA-503","Sacramento City & County CoC","2812.0","1857.0","955.0","1985.0","1035.0","950.0","827.0","822.0","5.0","463.0","221.0","242.0","454.0","212.0","242.0","9.0","9.0","0.0","329.0","148.0","181.0"
"CA-504","Santa Rosa/Petaluma/Sonoma County CoC","4483.0","1117.0","3366.0","3890.0","564.0","3326.0","593.0","553.0","40.0","1032.0","77.0","955.0","1014.0","60.0","954.0","18.0","17.0","1.0","384.0","57.0","327.0"
"CA-505","Richmond/Contra Costa County CoC","2386.0","896.0","1490.0","1960.0","473.0","1487.0","426.0","423.0","3.0","753.0","220.0","533.0","721.0","193.0","528.0","32.0","27.0","5.0","82.0","74.0","8.0"
"CA-506","Salinas/Monterey, San Benito Counties CoC","2673.0","762.0","1911.0","1761.0","4.0","1757.0","912.0","758.0","154.0","822.0","43.0","779.0","794.0","43.0","751.0","28.0","0.0","28.0","290.0","46.0","244.0"
"CA-507","Marin County CoC","725.0","496.0","229.0","516.0","287.0","229.0","209.0","209.0","0.0","163.0","62.0","101.0","163.0","62.0","101.0","0.0","0.0","0.0","51.0","26.0","25.0"
"CA-508","Watsonville/Santa Cruz City & County CoC","2735.0","610.0","2125.0","2345.0","280.0","2065.0","390.0","330.0","60.0","990.0","43.0","947.0","967.0","36.0","931.0","23.0","7.0","16.0","271.0","26.0","245.0"
"CA-509","Mendocino County CoC","1441.0","127.0","1314.0","1347.0","93.0","1254.0","94.0","34.0","60.0","319.0","7.0","312.0","267.0","7.0","260.0","52.0","0.0","52.0","84.0","10.0","74.0"
"CA-510","Turlock/Modesto/Stanislaus County CoC","1470.0","679.0","791.0","861.0","262.0","599.0","609.0","417.0","192.0","306.0","166.0","140.0","288.0","166.0","122.0","18.0","0.0","18.0","49.0","19.0","30.0"
"CA-511","Stockton/San Joaquin County CoC","1569.0","1322.0","247.0","739.0","517.0","222.0","830.0","805.0","25.0","236.0","125.0","111.0","202.0","108.0","94.0","34.0","17.0","17.0","80.0","60.0","20.0"
"CA-512","Daly/San Mateo County CoC","1845.0","683.0","1162.0","1274.0","245.0","1029.0","571.0","438.0","133.0","496.0","20.0","476.0","496.0","20.0","476.0","0.0","0.0","0.0","173.0","26.0","147.0"
"CA-513","Visalia, Kings, Tulare Counties CoC","771.0","416.0","355.0","566.0","246.0","320.0","205.0","170.0","35.0","201.0","21.0","180.0","178.0","20.0","158.0","23.0","1.0","22.0","40.0","8.0","32.0"
"CA-514","Fresno/Madera County CoC","4492.0","670.0","3822.0","3554.0","330.0","3224.0","938.0","340.0","598.0","824.0","37.0","787.0","651.0","37.0","614.0","173.0","0.0","173.0","606.0","64.0","542.0"
"CA-515","Roseville/Rocklin/Placer, Nevada Counties CoC","742.0","387.0","355.0","508.0","191.0","317.0","234.0","196.0","38.0","168.0","46.0","122.0","107.0","31.0","76.0","61.0","15.0","46.0","59.0","22.0","37.0"
"CA-516","Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","524.0","342.0","182.0","384.0","232.0","152.0","140.0","110.0","30.0","180.0","92.0","88.0","79.0","40.0","39.0","101.0","52.0","49.0","67.0","38.0","29.0"
"CA-517","Napa City & County CoC","248.0","156.0","92.0","184.0","101.0","83.0","64.0","55.0","9.0","85.0","51.0","34.0","84.0","50.0","34.0","1.0","1.0","0.0","14.0","5.0","9.0"
"CA-518","Vallejo/Solano County CoC","622.0","387.0","235.0","383.0","197.0","186.0","239.0","190.0","49.0","64.0","64.0","0.0","50.0","50.0","0.0","14.0","14.0","0.0","28.0","14.0","14.0"
"CA-519","Chico/Paradise/Butte County CoC","897.0","357.0","540.0","760.0","247.0","513.0","137.0","110.0","27.0","268.0","31.0","237.0","263.0","27.0","236.0","5.0","4.0","1.0","102.0","32.0","70.0"
"CA-520","Merced City & County CoC","502.0","164.0","338.0","479.0","141.0","338.0","23.0","23.0","0.0","315.0","109.0","206.0","312.0","106.0","206.0","3.0","3.0","0.0","52.0","8.0","44.0"
"CA-521","Davis/Woodland/Yolo County CoC","513.0","250.0","263.0","383.0","137.0","246.0","130.0","113.0","17.0","198.0","31.0","167.0","186.0","31.0","155.0","12.0","0.0","12.0","45.0","9.0","36.0"
"CA-522","Humboldt County CoC","846.0","392.0","454.0","633.0","232.0","401.0","213.0","160.0","53.0","256.0","103.0","153.0","222.0","87.0","135.0","34.0","16.0","18.0","141.0","62.0","79.0"
"CA-523","Colusa, Glenn, Trinity Counties CoC","303.0","164.0","139.0","185.0","78.0","107.0","118.0","86.0","32.0","109.0","41.0","68.0","80.0","19.0","61.0","29.0","22.0","7.0","32.0","21.0","11.0"
"CA-524","Yuba City & County/Sutter County CoC","492.0","272.0","220.0","311.0","149.0","162.0","181.0","123.0","58.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","23.0","20.0","3.0"
"CA-525","El Dorado County CoC","217.0","180.0","37.0","155.0","124.0","31.0","62.0","56.0","6.0","55.0","48.0","7.0","39.0","32.0","7.0","16.0","16.0","0.0","10.0","9.0","1.0"
"CA-526","Amador, Calaveras, Tuolumne and Mariposa Counties CoC","379.0","110.0","269.0","204.0","43.0","161.0","175.0","67.0","108.0","86.0","6.0","80.0","78.0","6.0","72.0","8.0","0.0","8.0","24.0","6.0","18.0"
"CA-528","Del Norte County CoC","437.0","16.0","421.0","305.0","0.0","305.0","132.0","16.0","116.0","384.0","0.0","384.0","126.0","0.0","126.0","258.0","0.0","258.0","10.0","0.0","10.0"
"CA-600","Los Angeles City & County CoC","31553.0","13813.0","17740.0","24609.0","8833.0","15776.0","6944.0","4980.0","1964.0","7930.0","1373.0","6557.0","6604.0","1293.0","5311.0","1326.0","80.0","1246.0","4521.0","1483.0","3038.0"
"CA-601","San Diego City and County CoC","10013.0","4371.0","5642.0","7755.0","2759.0","4996.0","2258.0","1612.0","646.0","2691.0","231.0","2460.0","2541.0","212.0","2329.0","150.0","19.0","131.0","1753.0","831.0","922.0"
"CA-602","Santa Ana/Anaheim/Orange County CoC","7010.0","2738.0","4272.0","5257.0","1007.0","4250.0","1753.0","1731.0","22.0","1690.0","101.0","1589.0","1686.0","101.0","1585.0","4.0","0.0","4.0","869.0","109.0","760.0"
"CA-603","Santa Maria/Santa Barbara County CoC","1546.0","678.0","868.0","1318.0","493.0","825.0","228.0","185.0","43.0","650.0","264.0","386.0","628.0","258.0","370.0","22.0","6.0","16.0","173.0","85.0","88.0"
"CA-604","Bakersfield/Kern County CoC","1352.0","519.0","833.0","1146.0","357.0","789.0","206.0","162.0","44.0","445.0","52.0","393.0","379.0","47.0","332.0","66.0","5.0","61.0","172.0","78.0","94.0"
"CA-606","Long Beach CoC","3170.0","967.0","2203.0","2609.0","673.0","1936.0","561.0","294.0","267.0","1123.0","139.0","984.0","1090.0","128.0","962.0","33.0","11.0","22.0","629.0","320.0","309.0"
"CA-607","Pasadena CoC","904.0","467.0","437.0","779.0","348.0","431.0","125.0","119.0","6.0","260.0","41.0","219.0","230.0","14.0","216.0","30.0","27.0","3.0","52.0","5.0","47.0"
"CA-608","Riverside City & County CoC","6096.0","1006.0","5090.0","5605.0","546.0","5059.0","491.0","460.0","31.0","2643.0","192.0","2451.0","2581.0","136.0","2445.0","62.0","56.0","6.0","912.0","98.0","814.0"
"CA-609","San Bernardino City & County CoC","2532.0","840.0","1692.0","1781.0","415.0","1366.0","751.0","425.0","326.0","210.0","30.0","180.0","148.0","26.0","122.0","62.0","4.0","58.0","224.0","58.0","166.0"
"CA-611","Oxnard/San Buenaventura/Ventura County CoC","1926.0","683.0","1243.0","1627.0","423.0","1204.0","299.0","260.0","39.0","496.0","84.0","412.0","490.0","78.0","412.0","6.0","6.0","0.0","134.0","26.0","108.0"
"CA-612","Glendale CoC","299.0","179.0","120.0","165.0","45.0","120.0","134.0","134.0","0.0","116.0","28.0","88.0","107.0","19.0","88.0","9.0","9.0","0.0","14.0","4.0","10.0"
"CA-613","Imperial County CoC","239.0","136.0","103.0","158.0","55.0","103.0","81.0","81.0","0.0","179.0","21.0","158.0","95.0","16.0","79.0","84.0","5.0","79.0","6.0","0.0","6.0"
"CA-614","San Luis Obispo County CoC","2129.0","228.0","1901.0","1752.0","138.0","1614.0","377.0","90.0","287.0","502.0","14.0","488.0","313.0","12.0","301.0","189.0","2.0","187.0","225.0","14.0","211.0"
"CO-500","Colorado Balance of State CoC","9283.0","1015.0","8268.0","1615.0","295.0","1320.0","7668.0","720.0","6948.0","729.0","31.0","698.0","729.0","31.0","698.0","0.0","0.0","0.0","572.0","77.0","495.0"
"CO-503","Metropolitan Denver Homeless Initiative","6358.0","5394.0","964.0","2677.0","2014.0","663.0","3681.0","3380.0","301.0","957.0","655.0","302.0","631.0","367.0","264.0","326.0","288.0","38.0","710.0","601.0","109.0"
"CO-504","Colorado Springs/El Paso County CoC","1127.0","851.0","276.0","809.0","538.0","271.0","318.0","313.0","5.0","257.0","98.0","159.0","252.0","95.0","157.0","5.0","3.0","2.0","230.0","122.0","108.0"
"CT-503","Bridgeport/Norwalk /Stamford/Fairfield County CoC","902.0","741.0","161.0","587.0","438.0","149.0","315.0","303.0","12.0","199.0","126.0","73.0","196.0","123.0","73.0","3.0","3.0","0.0","80.0","66.0","14.0"
"CT-505","Connecticut Balance of State CoC","3307.0","2773.0","534.0","2319.0","1814.0","505.0","988.0","959.0","29.0","745.0","488.0","257.0","728.0","471.0","257.0","17.0","17.0","0.0","252.0","219.0","33.0"
"DC-500","District of Columbia CoC","6954.0","6275.0","679.0","3767.0","3088.0","679.0","3187.0","3187.0","0.0","2315.0","1773.0","542.0","1870.0","1328.0","542.0","445.0","445.0","0.0","531.0","466.0","65.0"
"DE-500","Delaware Statewide CoC","1008.0","986.0","22.0","611.0","589.0","22.0","397.0","397.0","0.0","100.0","89.0","11.0","84.0","73.0","11.0","16.0","16.0","0.0","66.0","64.0","2.0"
"FL-500","Sarasota/Bradenton/Manatee, Sarasota Counties CoC","921.0","664.0","257.0","733.0","499.0","234.0","188.0","165.0","23.0","151.0","1.0","150.0","76.0","1.0","75.0","75.0","0.0","75.0","96.0","55.0","41.0"
"FL-501","Tampa/Hillsborough County CoC","7419.0","972.0","6447.0","4515.0","624.0","3891.0","2904.0","348.0","2556.0","740.0","109.0","631.0","740.0","109.0","631.0","0.0","0.0","0.0","800.0","105.0","695.0"
"FL-502","St. Petersburg/Clearwater/Largo/Pinellas County CoC","3971.0","1951.0","2020.0","2922.0","1702.0","1220.0","1049.0","249.0","800.0","437.0","134.0","303.0","429.0","134.0","295.0","8.0","0.0","8.0","468.0","350.0","118.0"
"FL-503","Lakeland/Winter Haven/Polk County CoC","881.0","297.0","584.0","750.0","200.0","550.0","131.0","97.0","34.0","83.0","16.0","67.0","83.0","16.0","67.0","0.0","0.0","0.0","57.0","21.0","36.0"
"FL-504","Daytona Beach/Daytona/Volusia, Flagler Counties CoC","2384.0","503.0","1881.0","2123.0","242.0","1881.0","261.0","261.0","0.0","289.0","1.0","288.0","289.0","1.0","288.0","0.0","0.0","0.0","83.0","33.0","50.0"
"FL-505","Fort Walton Beach/Okaloosa, Walton Counties CoC","2438.0","510.0","1928.0","975.0","362.0","613.0","1463.0","148.0","1315.0","492.0","233.0","259.0","448.0","217.0","231.0","44.0","16.0","28.0","318.0","166.0","152.0"
"FL-506","Tallahassee/Leon County CoC","797.0","738.0","59.0","634.0","575.0","59.0","163.0","163.0","0.0","175.0","157.0","18.0","163.0","145.0","18.0","12.0","12.0","0.0","121.0","118.0","3.0"
"FL-507","Orlando/Orange, Osceola, Seminole Counties CoC","3661.0","2218.0","1443.0","2330.0","1205.0","1125.0","1331.0","1013.0","318.0","1030.0","274.0","756.0","988.0","257.0","731.0","42.0","17.0","25.0","574.0","229.0","345.0"
"FL-508","Gainesville/Alachua, Putnam Counties CoC","1814.0","389.0","1425.0","1476.0","197.0","1279.0","338.0","192.0","146.0","692.0","210.0","482.0","510.0","109.0","401.0","182.0","101.0","81.0","263.0","133.0","130.0"
"FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","1724.0","179.0","1545.0","917.0","26.0","891.0","807.0","153.0","654.0","182.0","10.0","172.0","96.0","5.0","91.0","86.0","5.0","81.0","74.0","8.0","66.0"
"FL-510","Jacksonville-Duval, Clay Counties CoC","2861.0","1542.0","1319.0","2294.0","1016.0","1278.0","567.0","526.0","41.0","439.0","132.0","307.0","363.0","86.0","277.0","76.0","46.0","30.0","292.0","141.0","151.0"
"FL-511","Pensacola/Escambia/Santa Rosa County CoC","792.0","526.0","266.0","667.0","408.0","259.0","125.0","118.0","7.0","232.0","31.0","201.0","213.0","29.0","184.0","19.0","2.0","17.0","104.0","62.0","42.0"
"FL-512","Saint Johns County CoC","1385.0","184.0","1201.0","996.0","56.0","940.0","389.0","128.0","261.0","79.0","4.0","75.0","79.0","4.0","75.0","0.0","0.0","0.0","43.0","8.0","35.0"
"FL-513","Palm Bay/Melbourne/Brevard County CoC","2062.0","743.0","1319.0","1386.0","290.0","1096.0","676.0","453.0","223.0","138.0","73.0","65.0","138.0","73.0","65.0","0.0","0.0","0.0","352.0","123.0","229.0"
"FL-514","Ocala/Marion County CoC","911.0","311.0","600.0","787.0","193.0","594.0","124.0","118.0","6.0","88.0","3.0","85.0","88.0","3.0","85.0","0.0","0.0","0.0","136.0","15.0","121.0"
"FL-515","Panama City/Bay, Jackson Counties CoC","322.0","235.0","87.0","244.0","160.0","84.0","78.0","75.0","3.0","56.0","38.0","18.0","49.0","33.0","16.0","7.0","5.0","2.0","53.0","33.0","20.0"
"FL-517","Hendry, Hardee, Highlands Counties CoC","1319.0","114.0","1205.0","559.0","114.0","445.0","760.0","0.0","760.0","412.0","0.0","412.0","206.0","0.0","206.0","206.0","0.0","206.0","10.0","0.0","10.0"
"FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","1180.0","84.0","1096.0","803.0","63.0","740.0","377.0","21.0","356.0","255.0","26.0","229.0","193.0","13.0","180.0","62.0","13.0","49.0","241.0","24.0","217.0"
"FL-519","Pasco County CoC","4351.0","192.0","4159.0","1308.0","141.0","1167.0","3043.0","51.0","2992.0","1540.0","82.0","1458.0","1097.0","55.0","1042.0","443.0","27.0","416.0","98.0","23.0","75.0"
"FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","1788.0","403.0","1385.0","1227.0","238.0","989.0","561.0","165.0","396.0","26.0","13.0","13.0","18.0","5.0","13.0","8.0","8.0","0.0","31.0","26.0","5.0"
"FL-600","Miami/Dade County CoC","3976.0","3108.0","868.0","2517.0","1649.0","868.0","1459.0","1459.0","0.0","601.0","227.0","374.0","586.0","212.0","374.0","15.0","15.0","0.0","265.0","163.0","102.0"
"FL-601","Ft Lauderdale/Broward County CoC","3183.0","1915.0","1268.0","2627.0","1390.0","1237.0","556.0","525.0","31.0","760.0","344.0","416.0","750.0","338.0","412.0","10.0","6.0","4.0","370.0","149.0","221.0"
"FL-602","Punta Gorda/Charlotte County CoC","756.0","211.0","545.0","584.0","178.0","406.0","172.0","33.0","139.0","204.0","27.0","177.0","198.0","27.0","171.0","6.0","0.0","6.0","97.0","26.0","71.0"
"FL-603","Ft Myers/Cape Coral/Lee County CoC","781.0","410.0","371.0","637.0","342.0","295.0","144.0","68.0","76.0","182.0","72.0","110.0","179.0","72.0","107.0","3.0","0.0","3.0","82.0","46.0","36.0"
"FL-604","Monroe County CoC","922.0","364.0","558.0","793.0","301.0","492.0","129.0","63.0","66.0","274.0","70.0","204.0","242.0","70.0","172.0","32.0","0.0","32.0","92.0","52.0","40.0"
"FL-605","West Palm Beach/Palm Beach County CoC","2116.0","719.0","1397.0","1667.0","435.0","1232.0","449.0","284.0","165.0","456.0","91.0","365.0","421.0","91.0","330.0","35.0","0.0","35.0","186.0","76.0","110.0"
"FL-606","Naples/Collier County CoC","455.0","350.0","105.0","300.0","195.0","105.0","155.0","155.0","0.0","41.0","28.0","13.0","40.0","27.0","13.0","1.0","1.0","0.0","25.0","16.0","9.0"
"GA-500","Atlanta Continuum of Care","6811.0","4433.0","2378.0","5458.0","3122.0","2336.0","1353.0","1311.0","42.0","1709.0","1082.0","627.0","1365.0","749.0","616.0","344.0","333.0","11.0","1232.0","798.0","434.0"
"GA-501","Georgia Balance of State CoC","11105.0","2250.0","8855.0","7872.0","594.0","7278.0","3233.0","1656.0","1577.0","1795.0","179.0","1616.0","1314.0","118.0","1196.0","481.0","61.0","420.0","850.0","141.0","709.0"
"GA-503","Athens/Clarke County CoC","361.0","138.0","223.0","273.0","58.0","215.0","88.0","80.0","8.0","71.0","21.0","50.0","71.0","21.0","50.0","0.0","0.0","0.0","29.0","9.0","20.0"
"GA-504","Augusta CoC","396.0","391.0","5.0","265.0","263.0","2.0","131.0","128.0","3.0","94.0","92.0","2.0","94.0","92.0","2.0","0.0","0.0","0.0","63.0","63.0","0.0"
"GA-505","Columbus-Muscogee/Russell County CoC","333.0","278.0","55.0","236.0","197.0","39.0","97.0","81.0","16.0","29.0","21.0","8.0","29.0","21.0","8.0","0.0","0.0","0.0","34.0","29.0","5.0"
"GA-506","Marietta/Cobb County CoC","392.0","343.0","49.0","193.0","147.0","46.0","199.0","196.0","3.0","40.0","10.0","30.0","40.0","10.0","30.0","0.0","0.0","0.0","35.0","15.0","20.0"
"GA-507","Savannah/Chatham County CoC","1118.0","487.0","631.0","1066.0","435.0","631.0","52.0","52.0","0.0","105.0","21.0","84.0","103.0","19.0","84.0","2.0","2.0","0.0","54.0","39.0","15.0"
"GU-500","Guam CoC","1301.0","187.0","1114.0","255.0","65.0","190.0","1046.0","122.0","924.0","226.0","0.0","226.0","22.0","0.0","22.0","204.0","0.0","204.0","31.0","6.0","25.0"
"HI-500","Hawaii Balance of State CoC","1893.0","691.0","1202.0","1121.0","210.0","911.0","772.0","481.0","291.0","345.0","37.0","308.0","324.0","27.0","297.0","21.0","10.0","11.0","140.0","28.0","112.0"
"HI-501","Honolulu CoC","4353.0","3035.0","1318.0","2009.0","865.0","1144.0","2344.0","2170.0","174.0","604.0","109.0","495.0","586.0","101.0","485.0","18.0","8.0","10.0","367.0","202.0","165.0"
"IA-500","Sioux City/Dakota, Woodbury Counties CoC","250.0","233.0","17.0","119.0","102.0","17.0","131.0","131.0","0.0","46.0","44.0","2.0","35.0","33.0","2.0","11.0","11.0","0.0","10.0","8.0","2.0"
"IA-501","Iowa Balance of State CoC","1860.0","1803.0","57.0","818.0","765.0","53.0","1042.0","1038.0","4.0","155.0","124.0","31.0","129.0","98.0","31.0","26.0","26.0","0.0","106.0","101.0","5.0"
"IA-502","Des Moines/Polk County CoC","818.0","744.0","74.0","509.0","435.0","74.0","309.0","309.0","0.0","106.0","50.0","56.0","106.0","50.0","56.0","0.0","0.0","0.0","101.0","96.0","5.0"
"ID-500","Boise/Ada County CoC","754.0","701.0","53.0","566.0","515.0","51.0","188.0","186.0","2.0","86.0","71.0","15.0","74.0","63.0","11.0","12.0","8.0","4.0","139.0","125.0","14.0"
"ID-501","Idaho Balance of State","1214.0","781.0","433.0","609.0","272.0","337.0","605.0","509.0","96.0","166.0","40.0","126.0","126.0","27.0","99.0","40.0","13.0","27.0","121.0","59.0","62.0"
"IL-500","McHenry County CoC","196.0","193.0","3.0","123.0","120.0","3.0","73.0","73.0","0.0","43.0","43.0","0.0","43.0","43.0","0.0","0.0","0.0","0.0","57.0","57.0","0.0"
"IL-501","Rockford/Winnebago, Boone Counties CoC","727.0","525.0","202.0","442.0","341.0","101.0","285.0","184.0","101.0","152.0","117.0","35.0","129.0","101.0","28.0","23.0","16.0","7.0","88.0","71.0","17.0"
"IL-502","Waukegan/North Chicago/Lake County CoC","450.0","445.0","5.0","259.0","254.0","5.0","191.0","191.0","0.0","66.0","66.0","0.0","60.0","60.0","0.0","6.0","6.0","0.0","62.0","62.0","0.0"
"IL-503","Champaign/Urbana/Rantoul/Champaign County CoC","209.0","183.0","26.0","134.0","117.0","17.0","75.0","66.0","9.0","25.0","2.0","23.0","19.0","2.0","17.0","6.0","0.0","6.0","25.0","25.0","0.0"
"IL-504","Madison County CoC","196.0","182.0","14.0","44.0","30.0","14.0","152.0","152.0","0.0","11.0","6.0","5.0","11.0","6.0","5.0","0.0","0.0","0.0","4.0","2.0","2.0"
"IL-506","Joliet/Bolingbrook/Will County CoC","291.0","282.0","9.0","164.0","155.0","9.0","127.0","127.0","0.0","15.0","7.0","8.0","15.0","7.0","8.0","0.0","0.0","0.0","24.0","24.0","0.0"
"IL-507","Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC","376.0","367.0","9.0","220.0","214.0","6.0","156.0","153.0","3.0","48.0","47.0","1.0","48.0","47.0","1.0","0.0","0.0","0.0","22.0","21.0","1.0"
"IL-508","East Saint Louis/Belleville/Saint Clair County CoC","451.0","166.0","285.0","193.0","48.0","145.0","258.0","118.0","140.0","70.0","4.0","66.0","38.0","2.0","36.0","32.0","2.0","30.0","67.0","46.0","21.0"
"IL-509","Dekalb City & County CoC","125.0","112.0","13.0","51.0","38.0","13.0","74.0","74.0","0.0","2.0","0.0","2.0","2.0","0.0","2.0","0.0","0.0","0.0","2.0","2.0","0.0"
"IL-510","Chicago CoC","6710.0","4988.0","1722.0","4270.0","2609.0","1661.0","2440.0","2379.0","61.0","1118.0","395.0","723.0","1112.0","395.0","717.0","6.0","0.0","6.0","520.0","270.0","250.0"
