"State","Number of CoCs","Total Homeless, 2016","Sheltered Homeless, 2016","Unsheltered Homeless, 2016","Homeless Individuals, 2016","Sheltered Homeless Individuals, 2016","Unsheltered Homeless Individuals, 2016","Homeless People in Families, 2016","Sheltered Homeless People in Families, 2016","Unsheltered Homeless People in Families, 2016","Chronically Homeless, 2016","Sheltered Chronically Homeless, 2016","Unsheltered Chronically Homeless, 2016","Chronically Homeless Individuals, 2016","Sheltered Chronically Homeless Individuals, 2016","Unsheltered Chronically Homeless Individuals, 2016","Chronically Homeless People in Families, 2016","Sheltered Chronically Homeless People in Families, 2016","Unsheltered Chronically Homeless People in Families, 2016","Homeless Veterans, 2016","Sheltered Homeless Veterans, 2016","Unsheltered Homeless Veterans, 2016","Homeless Unaccompanied Youth (Under 25), 2016","Sheltered Homeless Unaccompanied Youth (Under 25), 2016","Unsheltered Homeless Unaccompanied Youth (Under 25), 2016","Homeless Unaccompanied Children (Under 18), 2016","Sheltered Homeless Unaccompanied Children (Under 18), 2016","Unsheltered Homeless Unaccompanied Children (Under 18), 2016","Homeless Unaccompanied Young Adults (Age 18-24), 2016","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Parenting Youth (Under 25), 2016","Sheltered Parenting Youth (Under 25), 2016","Unsheltered Parenting Youth (Under 25), 2016","Parenting Youth Under 18, 2016","Sheltered Parenting Youth Under 18, 2016","Unsheltered Parenting Youth Under 18, 2016","Parenting Youth Age 18-24, 2016","Sheltered Parenting Youth Age 18-24, 2016","Unsheltered Parenting Youth Age 18-24, 2016","Children of Parenting Youth, 2016","Sheltered Children of Parenting Youth, 2016","Unsheltered Children of Parenting Youth, 2016"
"AK","2.0","1940.0","1498.0","442.0","1527.0","1089.0","438.0","413.0","409.0","4.0","122.0","94.0","28.0","112.0","84.0","28.0","10.0","10.0","0.0","168.0","112.0","56.0","173.0","137.0","36.0","19.0","19.0","0.0","154.0","118.0","36.0","9.0","9.0","0.0","0.0","0.0","0.0","9.0","9.0","0.0","10.0","10.0","0.0"
"AL","8.0","4111.0","2893.0","1218.0","3019.0","2017.0","1002.0","1092.0","876.0","216.0","420.0","172.0","248.0","390.0","163.0","227.0","30.0","9.0","21.0","373.0","321.0","52.0","254.0","173.0","81.0","28.0","28.0","0.0","226.0","145.0","81.0","31.0","25.0","6.0","5.0","5.0","0.0","26.0","20.0","6.0","45.0","39.0","6.0"
"AR","7.0","2463.0","1616.0","847.0","1838.0","1140.0","698.0","625.0","476.0","149.0","503.0","226.0","277.0","417.0","163.0","254.0","86.0","63.0","23.0","222.0","159.0","63.0","201.0","117.0","84.0","49.0","49.0","0.0","152.0","68.0","84.0","13.0","13.0","0.0","0.0","0.0","0.0","13.0","13.0","0.0","13.0","13.0","0.0"
"AZ","3.0","9707.0","6463.0","3244.0","6659.0","3564.0","3095.0","3048.0","2899.0","149.0","1395.0","468.0","927.0","1327.0","423.0","904.0","68.0","45.0","23.0","1036.0","663.0","373.0","589.0","431.0","158.0","100.0","92.0","8.0","489.0","339.0","150.0","150.0","150.0","0.0","1.0","1.0","0.0","149.0","149.0","0.0","222.0","222.0","0.0"
"CA","43.0","118142.0","39752.0","78390.0","97660.0","23720.0","73940.0","20482.0","16032.0","4450.0","31548.0","4478.0","27070.0","29802.0","3910.0","25892.0","1746.0","568.0","1178.0","9612.0","4012.0","5600.0","11222.0","2531.0","8691.0","847.0","213.0","634.0","10375.0","2318.0","8057.0","862.0","751.0","111.0","10.0","10.0","0.0","852.0","741.0","111.0","1098.0","935.0","163.0"
"CO","3.0","10550.0","7611.0","2939.0","6450.0","4352.0","2098.0","4100.0","3259.0","841.0","1829.0","949.0","880.0","1642.0","883.0","759.0","187.0","66.0","121.0","1181.0","906.0","275.0","653.0","383.0","270.0","39.0","26.0","13.0","614.0","357.0","257.0","157.0","133.0","24.0","2.0","1.0","1.0","155.0","132.0","23.0","217.0","187.0","30.0"
"CT","2.0","3902.0","3229.0","673.0","2570.0","1903.0","667.0","1332.0","1326.0","6.0","467.0","282.0","185.0","439.0","254.0","185.0","28.0","28.0","0.0","216.0","173.0","43.0","119.0","97.0","22.0","8.0","8.0","0.0","111.0","89.0","22.0","61.0","60.0","1.0","0.0","0.0","0.0","61.0","60.0","1.0","93.0","92.0","1.0"
"DC","1.0","8350.0","8032.0","318.0","3683.0","3365.0","318.0","4667.0","4667.0","0.0","1597.0","1357.0","240.0","1501.0","1261.0","240.0","96.0","96.0","0.0","350.0","322.0","28.0","211.0","178.0","33.0","10.0","10.0","0.0","201.0","168.0","33.0","527.0","527.0","0.0","0.0","0.0","0.0","527.0","527.0","0.0","688.0","688.0","0.0"
"DE","1.0","1070.0","1019.0","51.0","753.0","702.0","51.0","317.0","317.0","0.0","74.0","72.0","2.0","65.0","63.0","2.0","9.0","9.0","0.0","107.0","103.0","4.0","51.0","46.0","5.0","0.0","0.0","0.0","51.0","46.0","5.0","10.0","10.0","0.0","0.0","0.0","0.0","10.0","10.0","0.0","20.0","20.0","0.0"
"FL","27.0","33559.0","18198.0","15361.0","24201.0","11641.0","12560.0","9358.0","6557.0","2801.0","5895.0","1402.0","4493.0","5415.0","1219.0","4196.0","480.0","183.0","297.0","2902.0","1825.0","1077.0","2094.0","1106.0","988.0","514.0","279.0","235.0","1580.0","827.0","753.0","320.0","237.0","83.0","5.0","5.0","0.0","315.0","232.0","83.0","485.0","383.0","102.0"
"GA","9.0","12909.0","7543.0","5366.0","9265.0","4785.0","4480.0","3644.0","2758.0","886.0","1815.0","470.0","1345.0","1658.0","415.0","1243.0","157.0","55.0","102.0","1055.0","581.0","474.0","725.0","475.0","250.0","17.0","13.0","4.0","708.0","462.0","246.0","90.0","83.0","7.0","0.0","0.0","0.0","90.0","83.0","7.0","125.0","105.0","20.0"
