"State","Number of CoCs","Total Homeless, 2012","Sheltered Homeless, 2012","Unsheltered Homeless, 2012","Homeless Individuals, 2012","Sheltered Homeless Individuals, 2012","Unsheltered Homeless Individuals, 2012","Homeless People in Families, 2012","Sheltered Homeless People in Families, 2012","Unsheltered Homeless People in Families, 2012","Chronically Homeless, 2012","Sheltered Chronically Homeless, 2012","Unsheltered Chronically Homeless, 2012","Chronically Homeless Individuals, 2012","Sheltered Chronically Homeless Individuals, 2012","Unsheltered Chronically Homeless Individuals, 2012","Chronically Homeless People in Families, 2012","Sheltered Chronically Homeless People in Families, 2012","Unsheltered Chronically Homeless People in Families, 2012","Homeless Veterans, 2012","Sheltered Homeless Veterans, 2012","Unsheltered Homeless Veterans, 2012"
"PR","2.0","3212.0","1346.0","1866.0","2494.0","944.0","1550.0","718.0","402.0","316.0","3251.0","251.0","3000.0","1597.0","199.0","1398.0","1654.0","52.0","1602.0","116.0","29.0","87.0"
"RI","1.0","1277.0","1249.0","28.0","788.0","760.0","28.0","489.0","489.0","0.0","154.0","154.0","0.0","148.0","148.0","0.0","6.0","6.0","0.0","96.0","96.0","0.0"
"SC","4.0","4915.0","2776.0","2139.0","3327.0","1789.0","1538.0","1588.0","987.0","601.0","528.0","114.0","414.0","388.0","113.0","275.0","140.0","1.0","139.0","543.0","320.0","223.0"
"SD","1.0","859.0","795.0","64.0","512.0","465.0","47.0","347.0","330.0","17.0","138.0","125.0","13.0","113.0","100.0","13.0","25.0","25.0","0.0","124.0","114.0","10.0"
"TN","10.0","9426.0","5778.0","3648.0","6905.0","4167.0","2738.0","2521.0","1611.0","910.0","2266.0","1126.0","1140.0","2114.0","1053.0","1061.0","152.0","73.0","79.0","1285.0","973.0","312.0"
"TX","14.0","34052.0","17501.0","16551.0","20743.0","9030.0","11713.0","13309.0","8471.0","4838.0","6650.0","2180.0","4470.0","6115.0","1860.0","4255.0","535.0","320.0","215.0","4364.0","1884.0","2480.0"
"UT","3.0","3527.0","3052.0","475.0","2049.0","1641.0","408.0","1478.0","1411.0","67.0","443.0","299.0","144.0","331.0","240.0","91.0","112.0","59.0","53.0","330.0","297.0","33.0"
"VA","19.0","8424.0","6995.0","1429.0","5084.0","3799.0","1285.0","3340.0","3196.0","144.0","1646.0","1042.0","604.0","1531.0","969.0","562.0","115.0","73.0","42.0","881.0","727.0","154.0"
"VI","1.0","484.0","106.0","378.0","438.0","60.0","378.0","46.0","46.0","0.0","193.0","2.0","191.0","193.0","2.0","191.0","0.0","0.0","0.0","33.0","1.0","32.0"
"VT","2.0","1160.0","937.0","223.0","653.0","483.0","170.0","507.0","454.0","53.0","228.0","153.0","75.0","190.0","128.0","62.0","38.0","25.0","13.0","109.0","93.0","16.0"
"WA","7.0","20504.0","15027.0","5477.0","11273.0","6444.0","4829.0","9231.0","8583.0","648.0","2213.0","1227.0","986.0","2041.0","1138.0","903.0","172.0","89.0","83.0","1475.0","1097.0","378.0"
"WI","4.0","6027.0","5446.0","581.0","3033.0","2619.0","414.0","2994.0","2827.0","167.0","487.0","361.0","126.0","377.0","270.0","107.0","110.0","91.0","19.0","539.0","525.0","14.0"
"WV","4.0","2410.0","1533.0","877.0","1742.0","1033.0","709.0","668.0","500.0","168.0","410.0","215.0","195.0","346.0","172.0","174.0","64.0","43.0","21.0","268.0","219.0","49.0"
"WY","1.0","1813.0","475.0","1338.0","1302.0","292.0","1010.0","511.0","183.0","328.0","452.0","99.0","353.0","375.0","97.0","278.0","77.0","2.0","75.0","311.0","128.0","183.0"
"Total","425.0","621553.0","390155.0","231398.0","382156.0","199159.0","182997.0","239397.0","190996.0","48401.0","112037.0","39560.0","72477.0","96268.0","32647.0","63621.0","15769.0","6913.0","8856.0","60579.0","35143.0","25436.0"
