"CoC Number","CoC Name","Total Homeless, 2015","Sheltered Homeless, 2015","Unsheltered Homeless, 2015","Homeless Individuals, 2015","Sheltered Homeless Individuals, 2015","Unsheltered Homeless Individuals, 2015","Homeless People in Families, 2015","Sheltered Homeless People in Families, 2015","Unsheltered Homeless People in Families, 2015","Chronically Homeless, 2015","Sheltered Chronically Homeless, 2015","Unsheltered Chronically Homeless, 2015","Chronically Homeless Individuals, 2015","Sheltered Chronically Homeless Individuals, 2015","Unsheltered Chronically Homeless Individuals, 2015","Chronically Homeless People in Families, 2015","Sheltered Chronically Homeless People in Families, 2015","Unsheltered Chronically Homeless People in Families, 2015","Homeless Veterans, 2015","Sheltered Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Children (Under 18), 2015","Sheltered Homeless Unaccompanied Children (Under 18), 2015","Unsheltered Homeless Unaccompanied Children (Under 18), 2015","Homeless Unaccompanied Young Adults (Age 18-24), 2015","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Parenting Youth (Under 25), 2015","Sheltered Parenting Youth (Under 25), 2015","Unsheltered Parenting Youth (Under 25), 2015","Parenting Youth Under 18, 2015","Sheltered Parenting Youth Under 18, 2015","Unsheltered Parenting Youth Under 18, 2015","Parenting Youth Age 18-24, 2015","Sheltered Parenting Youth Age 18-24, 2015","Unsheltered Parenting Youth Age 18-24, 2015","Children of Parenting Youth, 2015","Sheltered Children of Parenting Youth, 2015","Unsheltered Children of Parenting Youth, 2015"
"AK-500","Anchorage CoC","1208.0","1029.0","179.0","837.0","679.0","158.0","371.0","350.0","21.0","127.0","27.0","100.0","106.0","27.0","79.0","21.0","0.0","21.0","130.0","108.0","22.0","106.0","83.0","23.0","12.0","9.0","3.0","94.0","74.0","20.0","15.0","15.0","0.0","0.0","0.0","0.0","15.0","15.0","0.0","16.0","16.0","0.0"
"AK-501","Alaska Balance of State CoC","748.0","610.0","138.0","505.0","405.0","100.0","243.0","205.0","38.0","95.0","54.0","41.0","76.0","43.0","33.0","19.0","11.0","8.0","50.0","41.0","9.0","49.0","40.0","9.0","12.0","9.0","3.0","37.0","31.0","6.0","3.0","3.0","0.0","0.0","0.0","0.0","3.0","3.0","0.0","5.0","5.0","0.0"
"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","1153.0","916.0","237.0","886.0","661.0","225.0","267.0","255.0","12.0","241.0","35.0","206.0","239.0","35.0","204.0","2.0","0.0","2.0","144.0","133.0","11.0","77.0","56.0","21.0","9.0","9.0","0.0","68.0","47.0","21.0","10.0","10.0","0.0","4.0","4.0","0.0","6.0","6.0","0.0","13.0","13.0","0.0"
"AL-501","Mobile City & County/Baldwin County CoC","578.0","364.0","214.0","470.0","277.0","193.0","108.0","87.0","21.0","107.0","25.0","82.0","92.0","23.0","69.0","15.0","2.0","13.0","94.0","66.0","28.0","29.0","20.0","9.0","1.0","1.0","0.0","28.0","19.0","9.0","3.0","3.0","0.0","0.0","0.0","0.0","3.0","3.0","0.0","6.0","6.0","0.0"
"AL-502","Florence/Northwest Alabama CoC","245.0","214.0","31.0","158.0","133.0","25.0","87.0","81.0","6.0","28.0","14.0","14.0","18.0","7.0","11.0","10.0","7.0","3.0","16.0","11.0","5.0","5.0","5.0","0.0","0.0","0.0","0.0","5.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AL-503","Huntsville/North Alabama CoC","420.0","357.0","63.0","300.0","241.0","59.0","120.0","116.0","4.0","119.0","83.0","36.0","117.0","81.0","36.0","2.0","2.0","0.0","39.0","33.0","6.0","20.0","15.0","5.0","3.0","3.0","0.0","17.0","12.0","5.0","1.0","1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0"
"AL-504","Montgomery City & County CoC","441.0","373.0","68.0","333.0","280.0","53.0","108.0","93.0","15.0","24.0","2.0","22.0","24.0","2.0","22.0","0.0","0.0","0.0","40.0","35.0","5.0","22.0","21.0","1.0","2.0","2.0","0.0","20.0","19.0","1.0","4.0","3.0","1.0","0.0","0.0","0.0","4.0","3.0","1.0","7.0","4.0","3.0"
"AL-505","Gadsden/Northeast Alabama CoC","156.0","103.0","53.0","140.0","87.0","53.0","16.0","16.0","0.0","2.0","2.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","11.0","9.0","2.0","36.0","20.0","16.0","14.0","9.0","5.0","22.0","11.0","11.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","0.0"
"AL-506","Tuscaloosa City & County CoC","339.0","144.0","195.0","188.0","126.0","62.0","151.0","18.0","133.0","50.0","0.0","50.0","40.0","0.0","40.0","10.0","0.0","10.0","81.0","77.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AL-507","Alabama Balance of State CoC","638.0","472.0","166.0","393.0","271.0","122.0","245.0","201.0","44.0","36.0","7.0","29.0","25.0","7.0","18.0","11.0","0.0","11.0","49.0","35.0","14.0","39.0","31.0","8.0","3.0","3.0","0.0","36.0","28.0","8.0","6.0","3.0","3.0","0.0","0.0","0.0","6.0","3.0","3.0","7.0","4.0","3.0"
