"CoC Number","CoC Name","Total Homeless, 2013","Sheltered Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Chronically Homeless, 2013","Sheltered Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013"
"FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","709.0","303.0","406.0","438.0","175.0","263.0","271.0","128.0","143.0","46.0","5.0","41.0","38.0","5.0","33.0","8.0","0.0","8.0","49.0","25.0","24.0"
"FL-600","Miami/Dade County CoC","3802.0","2963.0","839.0","2485.0","1646.0","839.0","1317.0","1317.0","0.0","618.0","199.0","419.0","613.0","194.0","419.0","5.0","5.0","0.0","253.0","193.0","60.0"
"FL-601","Ft Lauderdale/Broward County CoC","2810.0","1981.0","829.0","1900.0","1087.0","813.0","910.0","894.0","16.0","411.0","149.0","262.0","408.0","146.0","262.0","3.0","3.0","0.0","225.0","128.0","97.0"
"FL-602","Punta Gorda/Charlotte County CoC","573.0","186.0","387.0","429.0","85.0","344.0","144.0","101.0","43.0","211.0","19.0","192.0","191.0","10.0","181.0","20.0","9.0","11.0","109.0","21.0","88.0"
"FL-603","Ft Myers/Cape Coral/Lee County CoC","848.0","452.0","396.0","699.0","337.0","362.0","149.0","115.0","34.0","180.0","58.0","122.0","162.0","47.0","115.0","18.0","11.0","7.0","70.0","39.0","31.0"
"FL-604","Monroe County CoC","652.0","347.0","305.0","585.0","284.0","301.0","67.0","63.0","4.0","173.0","63.0","110.0","173.0","63.0","110.0","0.0","0.0","0.0","108.0","57.0","51.0"
"FL-605","West Palm Beach/Palm Beach County CoC","1559.0","612.0","947.0","1283.0","466.0","817.0","276.0","146.0","130.0","373.0","49.0","324.0","332.0","41.0","291.0","41.0","8.0","33.0","168.0","75.0","93.0"
"FL-606","Naples/Collier County CoC","396.0","342.0","54.0","285.0","236.0","49.0","111.0","106.0","5.0","32.0","26.0","6.0","29.0","23.0","6.0","3.0","3.0","0.0","27.0","17.0","10.0"
"GA-500","Atlanta Continuum of Care","5536.0","3803.0","1733.0","4956.0","3262.0","1694.0","580.0","541.0","39.0","1431.0","629.0","802.0","1378.0","582.0","796.0","53.0","47.0","6.0","983.0","655.0","328.0"
"GA-501","Georgia Balance of State CoC","7651.0","2334.0","5317.0","5271.0","688.0","4583.0","2380.0","1646.0","734.0","1136.0","169.0","967.0","848.0","130.0","718.0","288.0","39.0","249.0","496.0","58.0","438.0"
"GA-502","Fulton County Continuum of Care","428.0","298.0","130.0","206.0","76.0","130.0","222.0","222.0","0.0","55.0","12.0","43.0","55.0","12.0","43.0","0.0","0.0","0.0","33.0","22.0","11.0"
